,Player,FG,FGA,XPT,FPTS
0,Justin TuckerBAL,2.0,2.4,2.8,9.0
1,Matt GayLAR,1.9,2.2,3.3,9.0
2,Mason CrosbyGB,2.0,2.4,2.8,8.9
3,Matt PraterARI,1.7,2.0,3.6,8.7
4,Randy BullockTEN,1.7,2.1,3.0,8.3
5,Nick FolkNE,2.0,2.3,2.4,8.2
6,Ryan SuccopTB,1.7,2.0,3.1,8.2
7,JJ MolsonGB,1.7,2.1,3.0,8.2
8,Harrison ButkerKC,1.6,1.8,3.3,8.1
9,Jason SandersMIA,1.8,2.1,2.3,7.6
10,Daniel CarlsonLV,1.7,2.0,2.4,7.5
11,Younghoe KooATL,1.6,1.9,2.6,7.4
12,Zane GonzalezCAR,1.7,2.0,2.2,7.3
13,Wil LutzNO,1.7,2.0,2.1,7.3
14,Joey SlyeWAS,1.6,1.9,2.3,7.0
15,Graham GanoNYG,1.6,1.9,2.1,7.0
16,Brandon McManusDEN,1.6,1.8,2.2,7.0
17,Jake ElliottPHI,1.6,1.9,2.0,6.9
18,Jason MyersSEA,1.6,1.9,2.0,6.9
19,Chris BlewittCLE,1.6,2.0,1.9,6.9
20,Chase McLaughlinCLE,1.5,1.7,2.1,6.6
21,Evan McPhersonCIN,1.4,1.7,2.2,6.5
22,Michael BadgleyIND,1.5,1.8,1.9,6.3
23,Cairo SantosCHI,1.4,1.7,1.8,6.1
24,Austin SeibertDET,1.4,1.6,1.7,6.0
25,Brian JohnsonWAS,1.3,1.5,2.1,5.9
26,Ka'imi FairbairnHOU,1.5,1.8,1.5,5.9
27,Matt AmmendolaNYJ,1.4,1.6,1.5,5.6
