,Player,FG,FGA,XPT,FPTS
0,Justin TuckerBAL,2.2,2.5,2.7,9.2
1,Daniel CarlsonLV,2.1,2.5,2.3,8.7
2,Greg ZuerleinDAL,1.8,2.5,3.0,8.5
3,Matt PraterARI,1.8,2.2,2.9,8.4
4,Mason CrosbyGB,1.8,2.1,2.9,8.3
5,Greg JosephMIN,1.8,2.0,2.9,8.2
6,Younghoe KooATL,2.0,2.3,2.2,8.2
7,Harrison ButkerKC,1.7,2.0,3.0,8.2
8,Ryan SuccopTB,1.7,2.0,3.2,8.2
9,Nick FolkNE,2.0,2.4,2.0,8.1
10,Randy BullockTEN,1.8,2.1,2.6,8.0
11,Tyler BassBUF,1.8,2.1,2.7,8.0
12,Matt GayLAR,1.7,2.0,2.9,7.9
13,Jason MyersSEA,1.6,1.8,2.6,7.4
14,Graham GanoNYG,1.8,2.1,2.0,7.4
15,Ryan SantosoLAR,1.8,2.0,1.8,7.1
16,Chris BoswellPIT,1.8,2.1,1.8,7.1
17,Rodrigo BlankenshipIND,1.7,2.0,1.8,7.0
18,Dustin HopkinsLAC,1.7,2.1,1.8,7.0
19,Chase McLaughlinCLE,1.7,1.9,2.0,7.0
20,Cairo SantosCHI,1.7,1.9,2.0,7.0
21,Brandon McManusDEN,1.6,1.9,2.0,6.9
22,Evan McPhersonCIN,1.5,1.8,2.4,6.9
23,Matt AmmendolaNYJ,1.7,1.9,1.7,6.7
24,Jason SandersMIA,1.5,1.7,1.8,6.4
25,Jake ElliottPHI,1.5,1.7,2.0,6.4
26,Joey SlyeWAS,1.5,1.7,1.8,6.2
27,Matthew WrightJAC,1.3,1.6,2.0,6.0
28,Ka'imi FairbairnHOU,1.3,1.5,1.5,5.4
29,Robbie GouldSF,1.0,1.2,1.0,4.0
