,Player,FG,FGA,XPT,FPTS
0,Harrison ButkerKC,1.9,2.2,2.9,8.5
1,Ryan SuccopTB,1.8,2.2,3.0,8.4
2,Chase McLaughlinCLE,1.9,2.3,2.5,8.3
3,Randy BullockTEN,1.8,2.1,2.8,8.3
4,Greg ZuerleinDAL,1.8,2.3,2.7,8.1
5,Tyler BassBUF,1.7,2.0,3.0,8.0
6,Daniel CarlsonLV,1.9,2.3,2.4,7.9
7,Nick FolkNE,1.7,1.9,2.8,7.9
8,Greg JosephMIN,1.8,2.2,2.4,7.9
9,Robbie GouldSF,1.7,2.0,2.6,7.9
10,Brian JohnsonWAS,2.0,2.1,1.9,7.9
11,Dustin HopkinsLAC,1.8,2.2,2.3,7.7
12,Evan McPhersonCIN,1.7,2.1,2.4,7.5
13,Chris BoswellPIT,1.8,2.0,2.0,7.4
14,Mason CrosbyGB,1.5,1.9,2.7,7.3
15,Jason SandersMIA,1.7,2.1,2.2,7.3
16,Justin TuckerBAL,1.6,1.8,2.4,7.2
17,Matt PraterARI,1.7,2.1,2.0,7.2
18,Cairo SantosCHI,1.7,1.9,2.0,7.1
19,Jason MyersSEA,1.6,2.0,2.1,7.1
20,Graham GanoNYG,1.8,2.1,1.8,7.1
21,Jake ElliottPHI,1.7,2.0,1.9,7.0
22,Younghoe KooATL,1.6,1.9,2.0,6.9
23,Brett MaherNO,1.4,1.7,2.2,6.5
24,Chris BlewittCLE,1.5,2.2,1.9,6.5
25,Michael BadgleyIND,1.5,1.7,2.0,6.4
26,Joey SlyeWAS,1.5,1.8,1.7,6.2
27,Matt AmmendolaNYJ,1.4,1.8,1.9,6.2
28,Matthew WrightJAC,1.4,1.7,1.7,6.0
29,Ka'imi FairbairnHOU,1.4,1.7,1.7,6.0
