,Player,FG,FGA,XPT,FPTS
0,Ryan SuccopTB,1.7,2.1,3.0,8.2
1,Robbie GouldSF,1.9,2.3,2.4,8.1
2,Matt GayLAR,1.8,2.2,2.6,8.1
3,Dustin HopkinsLAC,1.7,2.0,2.9,8.0
4,Nick FolkNE,2.0,2.3,2.0,8.0
5,Mason CrosbyGB,1.7,2.2,2.8,8.0
6,Matt PraterARI,1.7,2.1,2.7,7.9
7,Greg ZuerleinDAL,1.7,2.2,2.7,7.9
8,Michael BadgleyIND,1.8,2.3,2.3,7.8
9,Daniel CarlsonLV,2.0,2.3,1.8,7.7
10,Younghoe KooATL,1.7,2.0,2.5,7.7
11,Jake ElliottPHI,1.8,2.1,2.3,7.7
12,Evan McPhersonCIN,1.8,2.1,2.2,7.6
13,Randy BullockTEN,1.9,2.2,1.9,7.5
14,Chase McLaughlinCLE,1.7,2.0,2.1,7.2
15,Greg JosephMIN,1.7,2.0,2.1,7.1
16,Brandon McManusDEN,1.7,2.0,2.1,7.1
17,Tyler BassBUF,1.7,2.0,1.9,6.9
18,Jason SandersMIA,1.6,2.0,1.9,6.8
19,Jason MyersSEA,1.4,1.8,2.5,6.8
20,Chris BoswellPIT,1.7,1.9,1.7,6.7
21,Eddy PineiroNYJ,1.5,1.7,2.1,6.7
22,Justin TuckerBAL,1.5,1.7,2.0,6.6
23,Riley PattersonDET,1.5,1.7,1.7,6.3
24,Matthew WrightJAC,1.5,1.9,1.7,6.3
25,Brett MaherNO,1.4,1.7,2.0,6.3
26,Lirim HajrullahuCAR,1.6,1.9,1.4,6.3
27,Joey SlyeWAS,1.5,1.8,1.7,6.1
28,Brian JohnsonWAS,1.5,1.6,1.8,6.1
29,Cairo SantosCHI,1.4,1.6,1.6,5.8
30,Ka'imi FairbairnHOU,1.4,1.6,1.6,5.8
31,Graham GanoNYG,1.4,1.6,1.4,5.7
32,Chris NaggarDAL,1.2,1.3,1.4,5.0
