,Player,FG,FGA,XPT,FPTS
0,Tyler BassBUF,1.8,2.2,3.1,8.6
1,Justin TuckerBAL,2.0,2.3,2.2,8.3
2,Ryan SuccopTB,1.9,2.2,2.7,8.3
3,Greg ZuerleinDAL,1.8,2.6,2.7,8.2
4,Harrison ButkerKC,1.7,1.9,3.0,8.2
5,Matt GayLAR,1.7,2.0,2.9,8.1
6,Jason MyersSEA,1.8,2.1,2.7,8.1
7,Mason CrosbyGB,1.7,2.0,2.8,8.0
8,Daniel CarlsonLV,1.8,2.2,2.5,8.0
9,Randy BullockTEN,1.7,2.1,2.7,7.9
10,Younghoe KooATL,1.8,2.1,2.2,7.6
11,Robbie GouldSF,1.6,1.9,2.6,7.5
12,Brandon McManusDEN,1.7,2.0,2.3,7.4
13,Matt PraterARI,1.7,2.0,2.2,7.3
14,Greg JosephMIN,1.6,1.8,2.5,7.2
15,Chase McLaughlinCLE,1.6,1.8,2.6,7.2
16,Cairo SantosCHI,1.6,1.8,2.3,7.1
17,Dustin HopkinsLAC,1.6,1.9,2.3,7.1
18,Nick FolkNE,1.8,2.0,1.7,7.0
19,Rodrigo BlankenshipIND,1.8,2.0,1.8,7.0
20,Evan McPhersonCIN,1.5,1.7,2.6,7.0
21,Chris BoswellPIT,1.6,1.9,1.9,6.9
22,Graham GanoNYG,1.7,1.9,1.7,6.9
23,Jason SandersMIA,1.6,1.8,2.0,6.8
24,Ryan SantosoLAR,1.6,2.1,1.8,6.7
25,Jake ElliottPHI,1.5,1.8,2.2,6.7
26,Matt AmmendolaNYJ,1.7,1.9,1.6,6.6
27,Joey SlyeWAS,1.5,1.8,1.6,6.2
28,Matthew WrightJAC,1.4,1.6,1.4,5.6
29,Ka'imi FairbairnHOU,1.3,1.5,1.3,5.3
