,Player,FG,FGA,XPT,FPTS
0,Matt GayLAR,2.0,2.4,3.0,9.0
1,Tyler BassBUF,1.8,2.1,3.3,8.5
2,Ryan SuccopTB,1.6,1.9,2.9,7.9
3,Greg ZuerleinDAL,1.7,2.1,2.8,7.8
4,Greg JosephMIN,1.8,2.1,2.3,7.7
5,Randy BullockTEN,1.8,2.0,2.4,7.7
6,Nick FolkNE,1.8,2.2,2.1,7.7
7,Joey SlyeWAS,1.8,2.1,2.1,7.6
8,Matt PraterARI,1.6,1.9,2.8,7.6
9,Evan McPhersonCIN,1.7,2.0,2.5,7.6
10,Austin SeibertDET,1.8,2.0,2.1,7.6
11,Michael BadgleyIND,1.6,2.0,2.6,7.5
12,Harrison ButkerKC,1.6,1.8,2.7,7.5
13,Younghoe KooATL,1.7,2.0,2.3,7.5
14,Jason SandersMIA,1.8,2.1,2.2,7.4
15,Chase McLaughlinCLE,1.7,2.0,2.2,7.4
16,Graham GanoNYG,1.7,1.9,2.3,7.3
17,Chris BoswellPIT,1.6,1.9,2.4,7.2
18,Zane GonzalezCAR,1.7,2.0,2.0,7.2
19,Brandon McManusDEN,1.6,1.8,2.3,7.0
20,Chris BlewittCLE,1.7,2.1,1.8,7.0
21,Brian JohnsonWAS,1.6,1.8,2.3,6.9
22,Jake ElliottPHI,1.6,1.9,2.0,6.9
23,Jason MyersSEA,1.4,1.5,2.6,6.9
24,Mason CrosbyGB,1.5,1.7,2.5,6.8
25,Cairo SantosCHI,1.6,1.9,1.8,6.7
26,Dustin HopkinsLAC,1.4,1.6,2.4,6.7
27,Ka'imi FairbairnHOU,1.6,1.9,1.7,6.5
28,Matthew WrightJAC,1.4,1.6,1.6,5.9
29,Matt AmmendolaNYJ,1.5,1.8,1.3,5.9
