rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Alfred Morris,33.0,200.0,6.1,32.0,2.0,3.0,2.0,2.0,12.0,6.0,0.0,0.0,1.0,39.2,39.2,0.0,WAS,RB,17,2012
2.0,Adrian Peterson,34.0,199.0,5.9,28.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,32.1,32.1,4.9,MIN,RB,17,2012
3.0,Frank Gore,20.0,68.0,3.4,9.0,0.0,1.0,3.0,3.0,21.0,7.0,0.0,0.0,1.0,14.9,14.9,12.2,SF,RB,17,2012
4.0,LeSean McCoy,10.0,45.0,4.5,14.0,0.0,0.0,5.0,6.0,61.0,12.2,0.0,0.0,1.0,10.6,10.6,2.0,PHI,RB,17,2012
6.0,Lamar Miller,5.0,13.0,2.6,4.0,0.0,0.0,2.0,2.0,22.0,11.0,0.0,0.0,1.0,3.5,3.5,0.0,MIA,RB,17,2012
7.0,Brandon Bolden,6.0,26.0,4.3,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,2.6,10.7,NE,RB,17,2012
8.0,Dion Lewis,3.0,15.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,2.0,PHI,RB,17,2012
159.0,Stanley Havili,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,RB,17,2012
160.0,Anthony Allen,10.0,41.0,4.1,20.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,BAL,RB,17,2012
162.0,Shaun Chapas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,DET,RB,17,2012
163.0,Bruce Miller,2.0,3.0,1.5,2.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,SF,RB,17,2012
164.0,Evan Royster,2.0,9.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WAS,RB,17,2012
165.0,Bilal Powell,12.0,56.0,4.7,18.0,0.0,0.0,2.0,6.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,NYJ,RB,17,2012
166.0,Taiwan Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,OAK,RB,17,2012
168.0,Jed Collins,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,NO,RB,17,2012
169.0,Alfonso Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ARI,RB,17,2012
171.0,Henry Hynoski,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,NYG,RB,17,2012
173.0,DuJuan Harris,14.0,70.0,5.0,12.0,0.0,0.0,2.0,2.0,17.0,8.5,0.0,0.0,1.0,0.0,0.0,0.0,GB,RB,17,2012
