,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,81,81,100,4,0,68,68,28.7,35.4
1,Adrian Peterson,RB,WAS,1,13,13,21,31,23,46,54,4.2,32.3
2,Alex Smith,QB,WAS,1,61,61,98,3,0,67,67,13.7,22.5
3,Ben Roethlisberger,QB,PIT,1,60,60,98,3,0,52,52,21.6,36.0
4,Benjamin Watson,TE,NO,1,36,36,54,0,11,11,11,3.0,8.3
5,Danny Amendola,WR,MIA,1,53,53,83,0,8,6,8,3.0,5.7
6,Drew Brees,QB,NO,1,63,63,94,3,2,51,51,26.7,42.4
7,Eli Manning,QB,NYG,1,56,56,100,2,0,66,66,19.2,34.3
8,Frank Gore,RB,MIA,1,26,26,41,46,0,46,46,6.3,24.2
9,Jared Cook,TE,OAK,1,48,48,91,0,13,8,13,2.0,4.2
10,Joe Flacco,QB,BAL,1,87,87,100,2,0,67,67,11.2,12.9
11,Julian Edelman,WR,NE,1,48,48,70,0,19,15,19,5.7,11.9
12,Larry Fitzgerald,WR,ARI,1,42,42,78,0,7,5,7,3.5,8.3
13,LeSean McCoy,RB,BUF,1,47,47,72,51,6,55,57,10.8,23.0
14,Marcedes Lewis,TE,GB,1,12,12,15,0,0,0,0,0.0,0.0
15,Marshawn Lynch,RB,OAK,1,21,21,40,43,10,52,52,4.1,19.5
16,Matt Ryan,QB,ATL,1,64,64,89,2,0,61,61,14.4,22.5
17,Matt Schaub,QB,ATL,1,8,8,11,0,13,100,100,0.1,1.3
18,Matthew Slater,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0
19,Matthew Stafford,QB,DET,1,62,62,97,2,0,44,44,15.2,24.5
20,Michael Crabtree,WR,BAL,1,72,72,83,0,17,8,17,6.6,9.2
21,Philip Rivers,QB,LAC,1,64,64,100,5,0,47,47,21.4,33.4
22,Tom Brady,QB,NE,1,69,69,100,4,0,68,68,27.5,39.9
23,Vernon Davis,TE,WAS,1,26,26,42,0,12,8,12,1.5,5.8
24,Golden Tate,WR,DET,1,48,48,75,0,15,10,15,4.2,8.8
25,Andre Roberts,WR,NYJ,1,2,2,3,0,100,50,100,0.4,20.0
26,Emmanuel Sanders,WR,DEN,1,73,73,95,0,19,12,19,7.2,9.9
27,Jimmy Graham,TE,GB,1,66,66,81,0,17,9,17,7.6,11.5
28,Rob Gronkowski,TE,NE,1,63,63,91,0,11,10,11,7.5,11.9
29,Antonio Brown,WR,PIT,1,57,57,93,0,23,11,23,22.1,38.8
30,Logan Paulsen,TE,ATL,1,19,19,26,0,0,0,0,0.0,0.0
31,A.J. Green,WR,CIN,1,51,51,85,0,20,12,20,11.2,22.0
32,Julio Jones,WR,ATL,1,53,53,74,0,17,9,17,6.2,11.7
33,Cam Newton,QB,CAR,1,71,71,99,11,0,61,61,16.4,23.1
34,Mark Ingram II,RB,NO,1,36,36,54,44,8,50,53,19.3,53.6
35,Kyle Rudolph,TE,MIN,1,54,54,86,0,9,9,9,4.1,7.6
36,Andy Dalton,QB,CIN,1,60,60,100,7,0,57,57,12.9,21.5
37,Lance Kendricks,TE,GB,1,18,18,22,0,11,11,11,6.8,37.8
38,Luke Stocker,TE,TEN,1,32,32,59,0,3,0,3,0.0,0.0
39,Taiwan Jones,RB,BUF,1,1,1,2,0,100,0,100,0.0,0.0
40,Anthony Sherman,RB,KC,1,5,5,7,0,20,20,20,1.5,30.0
41,Dion Lewis,RB,TEN,1,34,34,63,35,12,44,47,2.8,8.2
42,Lee Smith,TE,OAK,1,8,8,15,0,0,0,0,0.0,0.0
43,Virgil Green,TE,LAC,1,46,46,72,0,2,2,2,7.3,15.9
44,Ryan Tannehill,QB,MIA,1,64,64,100,5,0,59,59,7.1,11.1
45,Kirk Cousins,QB,MIN,1,62,62,98,8,0,68,68,14.1,22.7
46,Russell Wilson,QB,SEA,1,60,60,100,0,0,35,35,19.9,33.2
47,Alshon Jeffery,WR,PHI,1,55,55,93,0,15,4,15,3.9,7.1
48,Mohamed Sanu Sr.,WR,ATL,1,59,59,82,0,12,7,12,13.3,22.5
49,Marvin Jones Jr.,WR,DET,1,58,58,91,0,7,2,7,6.8,11.7
50,Rhett Ellison,TE,NYG,1,55,55,98,0,5,4,5,3.7,6.7
51,Alfred Morris,RB,SF,1,44,44,44,41,11,48,52,9.1,20.7
52,Derek Carrier,TE,OAK,1,9,9,17,0,11,0,11,0.0,0.0
53,Case Keenum,QB,DEN,1,77,77,100,0,0,66,66,21.1,27.4
54,Josh Gordon,WR,NE,1,18,18,26,0,22,11,22,11.0,61.1
55,Cole Beasley,WR,DAL,1,37,37,60,0,8,3,8,0.8,2.2
56,Chris Hogan,WR,NE,1,63,63,91,0,6,5,6,3.4,5.4
57,Garrett Celek,TE,SF,1,26,26,26,0,0,0,0,0.0,0.0
58,Jermaine Kearse,WR,NYJ,1,39,39,62,0,10,3,10,1.4,3.6
59,Travis Kelce,TE,KC,1,66,66,94,0,12,8,12,10.0,15.2
60,Russell Shepard,WR,NYG,1,32,32,57,0,13,9,13,5.2,16.3
61,DeAndre Hopkins,WR,HOU,1,80,80,100,0,16,11,16,13.1,16.4
62,Robert Woods,WR,LAR,1,66,66,100,3,11,11,14,14.5,22.0
63,Kenny Stills,WR,MIA,1,60,60,94,0,8,3,8,1.7,2.8
64,Cordarrelle Patterson,RB,NE,1,8,8,12,0,25,25,25,7.1,88.8
65,Keenan Allen,WR,LAC,1,49,49,77,2,18,18,20,9.5,19.4
66,Tavon Austin,WR,DAL,1,23,23,37,0,13,4,13,4.4,19.1
67,Theo Riddick,RB,DET,1,19,19,30,16,16,26,32,2.3,12.1
68,Chris Thompson,RB,WAS,1,40,40,65,20,20,35,40,6.2,15.5
69,Zach Ertz,TE,PHI,1,57,57,97,0,19,18,19,17.0,29.8
70,Jordan Reed,TE,WAS,1,39,39,63,0,5,3,5,2.1,5.4
71,Levine Toilolo,TE,DET,1,32,32,50,0,3,0,3,0.0,0.0
72,Vance McDonald,TE,PIT,1,37,37,61,0,5,3,5,0.6,1.6
73,Kyle Juszczyk,RB,SF,1,68,68,69,1,10,10,12,8.7,12.8
74,Luke Willson,TE,DET,1,34,34,53,0,0,0,0,0.0,0.0
75,Latavius Murray,RB,MIN,1,46,46,73,24,4,28,28,5.6,12.2
76,Ryan Griffin,TE,HOU,1,57,57,71,0,16,11,16,6.5,11.4
77,Demetrius Harris,TE,KC,1,29,29,41,0,7,3,7,0.5,1.7
78,Zach Line,RB,NO,1,15,15,22,0,0,0,0,0.0,0.0
79,James Develin,RB,NE,1,15,15,22,0,0,0,0,0.0,0.0
80,Patrick DiMarco,RB,BUF,1,13,13,20,0,0,0,0,0.0,0.0
81,Teddy Bridgewater,QB,NO,1,3,3,4,100,0,100,100,-0.3,-10.0
82,Blake Bortles,QB,JAC,1,83,83,100,5,0,78,78,20.6,24.8
83,Derek Carr,QB,OAK,1,53,53,100,2,0,64,64,13.2,24.9
84,Logan Thomas,TE,BUF,1,24,24,37,0,0,0,0,0.0,0.0
85,Carlos Hyde,RB,CLE,1,28,28,35,61,11,68,71,7.7,27.5
