,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,49,49,100,2,0,63,63,21.6,44.1
1,Adrian Peterson,RB,WAS,1,42,42,56,38,0,38,38,17.1,40.7
2,Alex Smith,QB,WAS,1,51,51,68,8,0,61,61,4.7,9.2
3,Ben Roethlisberger,QB,PIT,1,65,65,100,3,0,75,75,20.7,31.8
4,Benjamin Watson,TE,NO,1,21,21,30,0,0,0,0,0.0,0.0
5,DeSean Jackson,WR,TB,1,53,53,75,0,13,8,13,3.8,7.2
6,Drew Brees,QB,NO,1,65,65,93,0,0,46,46,30.5,46.9
7,Eli Manning,QB,NYG,1,53,53,100,2,0,36,36,17.1,32.3
8,Greg Olsen,TE,CAR,1,56,56,97,0,5,4,5,6.9,12.3
9,Jared Cook,TE,OAK,1,39,39,57,0,15,8,15,9.1,23.3
10,Larry Fitzgerald,WR,ARI,1,50,50,93,0,8,4,8,14.3,28.6
11,Marcedes Lewis,TE,GB,1,10,10,20,0,0,0,0,0.0,0.0
12,Matt Ryan,QB,ATL,1,56,56,100,2,0,63,63,13.7,24.5
13,Matthew Stafford,QB,DET,1,65,65,98,5,0,62,62,13.4,20.6
14,Michael Crabtree,WR,BAL,1,53,53,67,0,6,2,6,0.7,1.3
15,Philip Rivers,QB,LAC,1,77,77,99,1,0,57,57,19.6,25.5
16,Ryan Fitzpatrick,QB,TB,1,41,41,58,10,0,61,61,8.1,19.8
17,Vernon Davis,TE,WAS,1,28,28,37,0,7,0,7,0.0,0.0
18,Golden Tate,WR,PHI,1,36,36,71,3,22,17,25,4.0,11.1
19,Colt McCoy,QB,WAS,1,24,24,32,21,0,71,71,9.7,40.4
20,Emmanuel Sanders,WR,DEN,1,50,50,89,2,12,10,14,6.2,12.4
21,Jimmy Graham,TE,GB,1,21,21,43,0,5,5,5,1.3,6.2
22,Antonio Brown,WR,PIT,1,64,64,98,0,20,8,20,17.7,27.7
23,Logan Paulsen,TE,ATL,1,17,17,30,0,12,12,12,1.9,11.2
24,Blaine Gabbert,QB,TEN,1,28,28,44,0,0,57,57,6.7,23.9
25,Julio Jones,WR,ATL,1,51,51,91,0,18,12,18,17.8,34.9
26,Cam Newton,QB,CAR,1,57,57,98,4,0,68,68,24.5,43.0
27,Mark Ingram II,RB,NO,1,30,30,43,53,0,53,53,22.3,74.3
28,Kyle Rudolph,TE,MIN,1,61,61,90,0,8,3,8,1.3,2.1
29,Andy Dalton,QB,CIN,1,55,55,98,4,0,69,69,19.3,35.1
30,Lance Kendricks,TE,GB,1,26,26,53,0,8,8,8,1.2,4.6
31,Luke Stocker,TE,TEN,1,18,18,29,0,17,11,17,1.6,8.9
32,Anthony Sherman,RB,KC,1,1,1,1,0,0,0,0,0.0,0.0
33,Dion Lewis,RB,TEN,1,44,44,70,23,5,25,27,3.2,7.3
34,Lee Smith,TE,OAK,1,29,29,43,0,7,7,7,0.6,2.1
35,Virgil Green,TE,LAC,1,54,54,69,0,7,4,7,2.7,5.0
36,Robert Griffin III,QB,BAL,1,1,1,1,0,0,0,0,0.0,0.0
37,Kirk Cousins,QB,MIN,1,67,67,99,1,0,70,70,17.0,25.4
38,Russell Wilson,QB,SEA,1,70,70,100,7,1,53,53,17.6,25.1
39,Lamar Miller,RB,HOU,1,46,46,73,43,11,50,54,10.8,23.5
40,Alshon Jeffery,WR,PHI,1,51,51,100,0,10,8,10,3.3,6.5
