,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,76,76,100,4,0,70,70,15.3,20.1
1,Adrian Peterson,RB,WAS,1,16,16,35,56,0,56,56,15.8,98.8
2,Ben Roethlisberger,QB,PIT,1,68,68,99,0,0,66,66,17.2,25.3
3,Benjamin Watson,TE,NO,1,20,20,38,0,0,0,0,0.0,0.0
4,Chase Daniel,QB,CHI,1,83,83,99,5,0,52,52,11.8,14.2
5,Darren Sproles,RB,PHI,1,9,9,12,44,0,44,44,8.2,91.1
6,Drew Brees,QB,NO,1,52,52,100,2,0,56,56,7.3,14.0
7,Eli Manning,QB,NYG,1,72,72,99,0,0,49,49,8.8,12.2
8,Frank Gore,RB,MIA,1,20,20,36,40,5,45,45,3.1,15.5
9,Greg Olsen,TE,CAR,1,13,13,19,0,8,8,8,1.3,10.0
10,Jared Cook,TE,OAK,1,55,55,72,0,15,13,15,16.0,29.1
11,Josh McCown,QB,NYJ,1,68,68,100,1,0,46,46,3.4,5.0
12,Julian Edelman,WR,NE,1,66,66,89,3,12,8,15,6.0,9.1
13,Larry Fitzgerald,WR,ARI,1,60,60,97,0,10,5,10,4.8,8.0
14,LeSean McCoy,RB,BUF,1,54,54,75,28,7,35,35,6.4,11.9
15,Marcedes Lewis,TE,GB,1,8,8,11,0,0,0,0,0.0,0.0
16,Matt Ryan,QB,ATL,1,53,53,100,4,0,53,53,7.6,14.3
17,Matthew Stafford,QB,DET,1,72,72,100,1,0,47,47,10.0,13.9
18,Michael Crabtree,WR,BAL,1,36,36,44,0,11,8,11,3.6,10.0
19,Philip Rivers,QB,LAC,1,62,62,100,0,0,58,58,24.0,38.7
20,Tom Brady,QB,NE,1,74,74,100,3,0,46,46,14.9,20.1
21,Vernon Davis,TE,WAS,1,23,23,50,0,9,9,9,1.5,6.5
22,Golden Tate,WR,PHI,1,36,36,48,0,19,19,19,16.5,45.8
23,Andre Roberts,WR,NYJ,1,10,10,15,10,10,20,20,2.8,28.0
24,Colt McCoy,QB,WAS,1,13,13,28,0,0,31,31,2.0,15.4
25,Emmanuel Sanders,WR,DEN,1,40,40,67,0,15,10,15,1.9,4.8
26,Jimmy Graham,TE,GB,1,54,54,71,0,20,15,20,5.0,9.3
27,Rob Gronkowski,TE,NE,1,73,73,99,0,5,4,5,2.6,3.6
28,Antonio Brown,WR,PIT,1,67,67,97,0,19,15,19,21.4,31.9
29,Logan Paulsen,TE,ATL,1,19,19,36,0,0,0,0,0.0,0.0
30,A.J. Green,WR,CIN,1,17,17,25,0,6,6,6,0.7,4.1
31,Blaine Gabbert,QB,TEN,1,1,1,1,100,0,100,100,-0.1,-10.0
32,Julio Jones,WR,ATL,1,41,41,77,0,20,5,20,1.8,4.4
33,Cam Newton,QB,CAR,1,69,69,99,9,0,68,68,15.3,22.2
34,Mark Ingram II,RB,NO,1,21,21,40,33,14,43,48,2.8,13.3
35,Randall Cobb,WR,GB,1,61,61,80,0,8,5,8,2.5,4.1
36,Kyle Rudolph,TE,MIN,1,60,60,98,0,5,5,5,3.8,6.3
37,Lance Kendricks,TE,GB,1,12,12,16,0,0,0,0,0.0,0.0
38,Luke Stocker,TE,TEN,1,25,25,37,0,0,0,0,0.0,0.0
39,Anthony Sherman,RB,KC,1,6,6,8,0,0,0,0,0.0,0.0
40,Dion Lewis,RB,TEN,1,40,40,59,15,8,20,23,3.4,8.5
41,Lee Smith,TE,OAK,1,17,17,22,0,6,6,6,6.1,35.9
42,Dwayne Harris,WR,OAK,1,7,7,9,0,14,14,14,0.9,12.9
43,Virgil Green,TE,LAC,1,41,41,66,0,0,0,0,0.0,0.0
44,Robert Griffin III,QB,BAL,1,16,16,20,0,0,25,25,0.8,5.0
45,Ryan Tannehill,QB,MIA,1,55,55,98,5,0,49,49,15.0,27.3
46,Kirk Cousins,QB,MIN,1,61,61,100,0,0,72,72,8.0,13.1
47,Russell Wilson,QB,SEA,1,58,58,98,7,0,36,36,24.8,42.8
48,Lamar Miller,RB,HOU,1,41,41,53,46,2,49,49,11.5,28.0
49,Alshon Jeffery,WR,PHI,1,66,66,88,0,8,5,8,3.1,4.7
50,Mohamed Sanu Sr.,WR,ATL,1,44,44,83,0,9,9,11,3.7,8.4
51,T.Y. Hilton,WR,IND,1,66,66,87,0,20,12,20,7.7,11.7
52,Travis Benjamin,WR,LAC,1,28,28,45,4,7,11,11,10.5,37.5
53,Rhett Ellison,TE,NYG,1,68,68,93,0,10,6,10,4.2,6.2
54,Brandon Bolden,RB,MIA,1,3,3,5,33,0,33,33,1.0,33.3
55,Derek Carrier,TE,OAK,1,14,14,18,0,0,0,0,0.0,0.0
56,Case Keenum,QB,DEN,1,59,59,98,3,0,39,39,10.9,18.5
57,Josh Gordon,WR,NE,1,48,48,65,0,6,6,6,11.8,24.6
58,Cole Beasley,WR,DAL,1,47,47,66,0,6,4,6,0.9,1.9
59,Chris Hogan,WR,NE,1,32,32,43,0,6,6,6,2.0,6.3
60,Garrett Celek,TE,SF,1,16,16,21,0,0,0,0,0.0,0.0
61,Jermaine Kearse,WR,NYJ,1,48,48,71,0,0,0,0,0.0,0.0
62,Josh Bellamy,WR,CHI,1,20,20,24,0,5,5,5,0.8,4.0
63,Travis Kelce,TE,KC,1,69,69,96,0,19,17,19,26.8,38.8
64,Russell Shepard,WR,NYG,1,7,7,10,0,29,29,29,11.9,170.0
65,DeAndre Hopkins,WR,HOU,1,75,75,97,0,16,9,16,9.1,12.1
66,Robert Woods,WR,LAR,1,66,66,96,3,14,11,17,13.8,20.9
67,Kenny Stills,WR,MIA,1,48,48,86,0,13,8,13,9.7,20.2
68,Cordarrelle Patterson,RB,NE,1,8,8,11,13,25,38,38,5.9,73.8
