"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Ty Johnson (NYJ)","61","238","3.9","24","0","2","34","55","372","10.9","2","1","15","83.0","5.5","15.8%"
"53","Zack Moss (BUF)","96","345","3.6","17","0","4","23","32","197","8.6","1","1","13","82.2","6.3","36.8%"
"54","Mark Ingram II (NO)","160","554","3.5","28","0","2","27","35","162","6.0","0","1","14","81.6","5.8","39.1%"
"55","Rex Burkhead (HOU)","122","427","3.5","36","0","3","25","32","186","7.4","0","0","15","79.3","5.3","31.5%"
"56","Nyheim Hines (IND)","56","276","4.9","34","0","2","40","57","310","7.8","1","2","17","72.6","4.3","44.8%"
"57","Kenyan Drake (LV)","63","254","4.0","21","0","2","30","40","291","9.7","1","0","12","72.5","6.0","29.4%"
"58","Ronald Jones II (TB)","101","428","4.2","30","0","4","10","13","64","6.4","0","2","15","69.2","4.6","83.5%"
"59","Khalil Herbert (CHI)","103","433","4.2","29","0","2","14","16","96","6.9","0","0","16","64.9","4.1","13.4%"
"60","Justin Jackson (LAC)","68","364","5.4","75","0","2","22","25","178","8.1","0","1","14","64.2","4.6","42.5%"
"61","Jordan Howard (PHI)","86","406","4.7","25","0","3","2","5","19","9.5","0","0","7","60.5","8.6","18.7%"
"62","Alex Collins (SEA)","108","411","3.8","25","0","2","9","10","87","9.7","0","1","11","59.8","5.4","18.8%"
"63","Samaje Perine (CIN)","55","246","4.5","46","0","1","27","31","196","7.3","1","0","15","56.2","3.7","15.2%"
"64","Duke Johnson Jr. (MIA)","71","330","4.6","27","0","3","4","5","41","10.3","0","0","5","55.1","11.0","7.4%"
"65","Dontrell Hilliard (TEN)","56","350","6.3","68","0","2","19","26","87","4.6","0","1","8","53.7","6.7","27.5%"
"66","Ameer Abdullah (CAR)","51","166","3.3","15","0","0","38","53","289","7.6","1","0","17","51.5","3.0","10.4%"
"67","David Johnson (HOU)","67","228","3.4","15","0","0","32","42","225","7.0","1","1","13","49.3","3.8","35.4%"
"68","Derrick Gore (KC)","51","256","5.0","51","0","2","8","9","105","13.1","0","0","8","48.1","6.0","4.0%"
"69","Jaret Patterson (WAS)","68","266","3.9","13","0","2","10","12","73","7.3","0","0","14","45.9","3.3","23.7%"
"70","Travis Homer (SEA)","21","177","8.4","73","0","1","16","20","161","10.1","0","0","14","45.8","3.3","0.3%"
"71","Jeremy McNichols (FA)","41","156","3.8","14","0","0","28","38","240","8.6","1","0","13","45.6","3.5","7.6%"
"72","Damien Williams (CHI)","40","164","4.1","23","0","2","16","23","103","6.4","1","0","12","44.7","3.7","4.4%"
"73","Jeff Wilson Jr. (SF)","79","294","3.7","17","0","2","7","8","31","4.4","0","0","9","44.5","4.9","56.1%"
"74","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","30","38","296","9.9","1","0","15","43.8","2.9","1.0%"
"75","Chris Carson (SEA)","54","232","4.3","33","0","3","6","6","29","4.8","0","1","4","42.1","10.5","31.7%"
"76","Phillip Lindsay (MIA)","88","249","2.8","35","0","1","4","5","45","11.3","1","0","14","41.4","3.0","9.0%"
"77","Tevin Coleman (NYJ)","84","356","4.2","20","0","0","11","16","49","4.5","0","0","11","40.5","3.7","18.5%"
"78","Peyton Barber (LV)","55","212","3.9","27","0","2","10","13","67","6.7","0","0","10","39.9","4.0","1.2%"
"79","DeeJay Dallas (SEA)","33","138","4.2","15","0","2","21","23","133","6.3","0","0","17","39.1","2.3","2.3%"
"80","Dare Ogunbowale (JAC)","43","137","3.2","12","0","1","13","21","114","8.8","1","0","13","37.1","2.9","31.1%"
"81","Giovani Bernard (TB)","8","58","7.3","24","0","0","23","29","123","5.3","3","0","10","36.1","3.6","5.4%"
"82","Matt Breida (BUF)","26","125","4.8","28","0","1","7","9","72","10.3","2","1","7","35.7","5.1","8.2%"
"83","Chris Evans (CIN)","17","77","4.5","13","0","0","15","17","151","10.1","2","0","9","34.8","3.9","0.5%"
"84","Carlos Hyde (JAC)","72","253","3.5","18","0","1","12","22","65","5.4","0","2","12","33.8","2.8","6.9%"
"85","Le'Veon Bell (FA)","39","101","2.6","12","0","2","5","7","30","6.0","1","0","8","33.1","4.1","5.4%"
"86","Ty'Son Williams (BAL)","35","185","5.3","35","0","1","9","12","84","9.3","0","0","8","32.9","4.1","5.2%"
"87","Ke'Shawn Vaughn (TB)","36","180","5.0","55","0","2","4","8","26","6.5","0","0","6","32.6","5.4","7.8%"
"88","Demetric Felton (CLE)","7","24","3.4","12","0","0","18","21","181","10.1","2","0","15","32.5","2.2","0.7%"
"89","Craig Reynolds (DET)","55","230","4.2","35","0","0","7","8","52","7.4","0","0","5","28.2","5.6","12.7%"
"90","Elijhaa Penny (NYG)","24","99","4.1","12","0","1","9","13","30","3.3","1","0","13","26.9","2.1","0.1%"
"91","Salvon Ahmed (MIA)","54","149","2.8","16","0","0","12","19","117","9.8","0","0","11","26.6","2.4","1.6%"
"92","JaMycal Hasty (SF)","16","68","4.3","21","0","1","23","29","157","6.8","0","1","11","26.5","2.4","4.2%"
"93","Trey Sermon (SF)","41","167","4.1","16","0","1","3","4","26","8.7","0","0","6","25.3","4.2","13.9%"
"94","Royce Freeman (HOU)","56","169","3.0","13","0","0","10","16","77","7.7","0","0","12","24.6","2.1","5.2%"
"95","Corey Clement (DAL)","33","140","4.2","38","0","0","6","7","29","4.8","1","0","11","22.9","2.1","0.8%"
"96","Jerick McKinnon (KC)","12","62","5.2","18","0","0","13","20","107","8.2","1","0","9","22.9","2.5","0.8%"
"97","Adrian Peterson (SEA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","22.6","5.7","4.9%"
"98","Eno Benjamin (ARI)","34","118","3.5","21","0","1","6","7","42","7.0","0","0","8","22.0","2.8","1.2%"
"99","Jermar Jefferson (DET)","15","74","4.9","28","0","2","4","5","23","5.8","0","0","5","21.7","4.3","6.7%"
"100","Malcolm Brown (MIA)","33","125","3.8","24","0","1","3","5","10","3.3","0","0","6","19.5","3.3","3.6%"
"101","James White (NE)","10","38","3.8","10","0","1","12","14","94","7.8","0","0","3","19.2","6.4","7.9%"
"102","Kene Nwangwu (MIN)","13","61","4.7","19","0","0","4","5","9","2.3","0","0","9","19.0","2.1","1.0%"
"103","Tony Jones Jr. (NO)","54","142","2.6","11","0","0","5","8","29","5.8","0","0","10","17.1","1.7","2.9%"
"104","Austin Walter (NYJ)","26","101","3.9","14","0","1","2","3","9","4.5","0","0","4","17.0","4.3","1.4%"
"105","Jonathan Williams (WAS)","17","79","4.6","23","0","1","4","6","28","7.0","0","0","5","16.7","3.3","0.6%"
"106","C.J. Ham (MIN)","7","34","4.9","30","0","0","17","18","125","7.4","0","0","15","15.9","1.1","0.1%"
"107","Qadree Ollison (ATL)","21","105","5.0","19","0","1","4","6","12","3.0","0","1","6","15.7","2.6","0.3%"
"108","Patrick Taylor Jr. (GB)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","15.2","3.0","0.3%"
"109","Larry Rountree III (LAC)","36","87","2.4","13","0","1","1","2","-1","-1.0","0","0","10","14.6","1.5","0.7%"
"110","Alec Ingold (LV)","2","1","0.5","1","0","0","10","12","85","8.5","1","0","7","14.6","2.1","0.1%"
"111","J.J. Taylor (NE)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","14.5","2.9","0.7%"
"112","Godwin Igwebuike (DET)","18","118","6.6","42","0","1","7","10","60","8.6","0","2","15","14.0","0.9","3.4%"
"113","Ty Montgomery (NO)","15","44","2.9","9","0","0","16","26","95","5.9","0","0","14","13.9","1.0","0.6%"
"114","Patrick Ricard (BAL)","2","4","2.0","2","0","0","8","13","63","7.9","1","0","8","12.7","1.6","0.1%"
"115","Wayne Gallman Jr. (MIN)","28","104","3.7","17","0","0","1","3","21","21.0","0","0","9","12.5","1.4","1.0%"
"116","Joshua Kelley (LAC)","33","102","3.1","14","0","0","5","6","38","7.6","0","1","8","12.0","1.5","1.1%"
"117","Michael Burton (KC)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","11.7","1.2","0.1%"
"118","Jalen Richard (LV)","9","40","4.4","23","0","0","12","14","72","6.0","0","0","9","11.2","1.2","0.7%"
"119","Benny Snell Jr. (PIT)","36","98","2.7","9","0","0","2","4","13","6.5","0","0","16","11.1","0.7","0.9%"
"120","Marlon Mack (IND)","28","101","3.6","22","0","0","2","5","8","4.0","0","0","6","10.9","1.8","1.6%"
"121","Ryquell Armstead (JAC)","15","80","5.3","26","0","0","3","4","16","5.3","0","0","2","9.6","4.8","0.0%"
"122","Deon Jackson (IND)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","0.0%"
"123","JaQuan Hardy (DAL)","4","29","7.3","22","0","1","0","0","0","0","0","0","2","8.9","4.5","0.0%"
"124","Andy Janovich (CLE)","2","0","0.0","1","0","1","3","4","9","3.0","0","0","6","8.9","1.5","0.1%"
"125","Keith Smith (ATL)","9","31","3.4","8","0","0","9","10","56","6.2","0","0","13","8.7","0.7","0.0%"
"126","Alex Armah Jr. (WAS)","5","21","4.2","9","0","0","1","1","1","1.0","1","0","10","8.2","0.8","0.0%"
"127","Johnny Stanton (CLE)","3","5","1.7","3","0","0","2","2","7","3.5","1","0","3","7.2","2.4","0.0%"
"128","Jonathan Ward (ARI)","9","33","3.7","7","0","0","3","4","34","11.3","0","0","9","6.7","0.7","0.1%"
"129","Ito Smith (DAL)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"130","Mike Boone (DEN)","4","35","8.8","16","0","0","2","2","22","11.0","0","0","3","5.7","1.9","1.5%"
"131","Trayveon Williams (CIN)","15","51","3.4","10","0","0","1","2","4","4.0","0","0","4","5.5","1.4","0.1%"
"132","Jason Huntley (PHI)","13","51","3.9","18","0","0","0","1","0","0","0","0","1","5.1","5.1","0.2%"
"133","Rodney Smith (FA)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","4.8","4.8","0.1%"
"134","Wendell Smallwood (FA)","5","25","5.0","13","0","0","4","5","22","5.5","0","0","2","4.7","2.4","0.0%"
"135","Kalen Ballage (PIT)","12","36","3.0","13","0","0","2","7","8","4.0","0","0","9","4.4","0.5","0.1%"
"136","Jakob Johnson (NE)","0","0","0","0","0","0","4","5","43","10.8","0","0","7","4.3","0.6","0.0%"
"137","La'Mical Perine (NYJ)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.2%"
"138","Kylin Hill (GB)","10","24","2.4","8","0","0","1","2","5","5.0","0","0","8","2.9","0.4","0.2%"
"139","Dwayne Washington (NO)","4","16","4.0","5","0","0","2","2","12","6.0","0","0","8","2.8","0.4","0.1%"
"140","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","3","5","23","7.7","0","0","8","2.6","0.3","0.0%"
"141","Gabe Nabers (LAC)","3","8","2.7","4","0","0","3","3","17","5.7","0","0","7","2.5","0.4","0.0%"
"142","Jaylen Samuels (ARI)","5","9","1.8","3","0","0","3","4","14","4.7","0","0","3","2.3","0.8","0.1%"
"143","Scottie Phillips (HOU)","6","13","2.2","4","0","0","2","3","9","4.5","0","0","3","2.2","0.7","0.0%"
"144","Adam Prentice (NO)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","2.1","0.4","0.0%"
"145","Patrick Laird (MIA)","1","4","4.0","4","0","0","3","3","17","5.7","0","0","3","2.1","0.7","0.0%"
"146","Raheem Mostert (SF)","2","20","10.0","11","0","0","0","0","0","0","0","0","1","2.0","2.0","13.0%"
"147","Nick Bawden (NYJ)","0","0","0","0","0","0","1","1","20","20.0","0","0","1","2.0","2.0","0.0%"
"148","Darrynton Evans (TEN)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","1.8","0.9","0.9%"
"149","Reggie Bonnafon (WAS)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","1.6","1.6","0.0%"
"150","Derek Watt (PIT)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","1.6","0.1","0.1%"
"151","Trey Ragas (LV)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","1.5","1.5","0.0%"
"152","Anthony McFarland Jr. (PIT)","3","3","1.0","3","0","0","1","1","11","11.0","0","0","3","1.4","0.5","0.2%"
"153","John Kelly (CLE)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"154","Cam Akers (LAR)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","1.3","0.7","13.8%"
"155","Jacques Patrick (FA)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"156","Buddy Howell (LAR)","5","11","2.2","4","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"157","Mekhi Sargent (JAC)","5","11","2.2","3","0","0","0","1","0","0","0","0","5","1.1","0.2","0.5%"
"158","Gary Brightwell (NYG)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","7","1.0","0.1","0.0%"
"159","Ryan Nall (CHI)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","5","0.8","0.2","0.0%"
"160","Damarea Crockett (DEN)","3","7","2.3","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"161","Jake Funk (LAR)","2","5","2.5","6","0","0","0","0","0","0","0","0","5","0.5","0.1","0.2%"
"162","Devine Ozigbo (NE)","1","-3","-3.0","0","0","0","1","1","7","7.0","0","0","2","0.4","0.2","0.0%"
"163","Nathan Cottrell (JAC)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"164","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Pete Guerriero (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"169","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","2","0","0","0","0","9","0.0","0.0","0.0%"
"171","Antonio Williams (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Dalyn Dawkins (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"175","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"176","Elijah Holyfield (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Jason Cabinda (DET)","3","23","7.7","21","0","0","4","7","16","4.0","1","0","10","0.0","0.0","0.0%"
"178","Jordan Wilkins (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"179","Gus Edwards (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.6%"
"180","Travis Etienne Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.8%"
"181","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","10.3%"
"182","LeVante Bellamy (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"183","Caleb Huntley (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Michael Warren II (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Javon Leake (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Tavien Feaster (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Darius Anderson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Darius Bradwell (CAR)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.0%"
"189","Adrian Killins Jr. (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Artavis Pierce (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"191","Dexter Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Trevon Wesco (NYJ)","0","0","0","0","0","0","3","5","35","11.7","0","0","8","0.0","0.0","0.0%"
"194","Jordan Scarlett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Darwin Thompson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"197","Sutton Smith (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"198","Cullen Gillaspia (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"199","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"200","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"201","Josh Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"202","Tre Harbison III (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","B.J. Emmons (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"204","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"205","A.J. Rose Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Tory Carter (TEN)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"207","Gerrid Doaks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"208","Mason Stokke (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Bo Scarbrough (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Taiwan Jones (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"212","Isaac Odim (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Andre Anderson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Nick Bellore (SEA)","0","0","0","0","0","0","1","1","4","4.0","0","0","10","0.0","0.0","0.0%"
"219","Jamize Olawale (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Alfred Morris (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Mike Bell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Matt Lawrence (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Marcus Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Marcus Mailei (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","J.P. Holtz (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"233","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Josh Adams (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
