,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Todd Gurley II(FA),256,"1,251",4.9,36,11,17,59,81,580,9.8,4,1,14,313.1,22.4,0.4%
1,2,Saquon Barkley(NYG),261,"1,307",5.0,78,16,11,91,121,721,7.9,4,0,16,294.8,18.4,97.6%
2,3,Christian McCaffrey(CAR),219,"1,098",5.0,59,6,7,107,124,867,8.1,6,1,16,278.5,17.4,47.2%
3,4,Alvin Kamara(NO),194,883,4.6,49,1,14,81,105,709,8.8,4,0,15,273.2,18.2,100.0%
4,5,Ezekiel Elliott(DAL),304,"1,435",4.7,41,11,6,77,95,567,7.4,3,1,15,252.2,16.8,99.7%
5,6,Melvin Gordon III(DEN),175,885,5.1,34,9,10,50,66,490,9.8,4,0,12,225.5,18.8,87.8%
6,7,James Conner(ARI),215,973,4.5,30,9,12,55,71,497,9.0,1,2,13,225.0,17.3,94.6%
7,8,Kareem Hunt(CLE),181,824,4.6,45,7,7,26,35,378,14.5,7,0,11,204.2,18.6,82.1%
8,9,Joe Mixon(CIN),237,"1,168",4.9,51,11,8,43,55,296,6.9,1,0,14,200.4,14.3,98.1%
9,10,David Johnson(HOU),258,940,3.6,53,2,7,50,76,446,8.9,3,2,16,196.7,12.3,35.4%
10,11,James White(NE),94,425,4.5,27,5,5,87,123,751,8.6,7,0,16,189.6,11.9,7.9%
11,12,Phillip Lindsay(MIA),192,"1,037",5.4,65,8,9,35,47,241,6.9,1,0,15,187.8,12.5,9.0%
12,13,Derrick Henry(TEN),215,"1,059",4.9,99,4,12,15,18,99,6.6,0,1,16,186.3,11.6,78.0%
13,14,Chris Carson(SEA),247,"1,151",4.7,61,8,9,20,24,163,8.2,0,2,14,181.4,13.0,31.7%
14,15,Nick Chubb(CLE),192,996,5.2,92,11,8,20,29,149,7.5,2,0,16,174.5,10.9,99.8%
15,16,Adrian Peterson(SEA),251,"1,042",4.2,90,5,7,20,26,208,10.4,1,2,16,169.0,10.6,4.9%
16,17,Tarik Cohen(CHI),99,444,4.5,32,7,3,71,90,725,10.2,5,3,16,162.9,10.2,3.0%
17,18,Tevin Coleman(NYJ),167,800,4.8,65,8,4,32,44,276,8.6,5,0,16,161.6,10.1,18.5%
18,19,Marlon Mack(IND),195,908,4.7,49,7,9,17,26,103,6.1,1,2,12,161.1,13.4,1.6%
19,20,Jordan Howard(PHI),250,935,3.7,42,5,9,20,27,145,7.3,0,1,16,160.0,10.0,18.7%
20,21,Kenyan Drake(LV),120,535,4.5,54,4,4,53,73,477,9.0,5,1,16,153.2,9.6,29.4%
21,22,Lamar Miller(FA),210,973,4.6,97,6,5,25,35,163,6.5,1,1,14,147.6,10.5,0.0%
