,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
143,144,Tony Brooks-James(FA),8,7,0.9,8,0,0,0,0,0,0,0,0,3,0.7,0.2,0.0%
144,145,De'Lance Turner(FA),4,6,1.5,5,0,0,0,0,0,0,0,0,9,0.6,0.1,0.1%
145,146,Jakob Johnson(NE),0,0,0,0,0,0,1,2,5,5.0,0,0,4,0.5,0.1,0.0%
146,147,Roosevelt Nix(FA),0,0,0,0,0,0,2,3,4,2.0,0,0,3,0.4,0.1,0.0%
147,148,Alfred Morris(NYG),1,4,4.0,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%
148,149,Senorise Perry(FA),3,3,1.0,6,0,0,1,1,1,1.0,0,0,11,0.4,0.0,0.0%
149,150,James Develin(FA),2,3,1.5,2,0,0,0,0,0,0,0,0,2,0.3,0.2,0.0%
150,151,Pete Guerriero(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
151,152,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
152,153,Chuba Hubbard(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1%
153,154,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
154,155,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
155,156,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
156,157,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
157,158,Gabe Nabers(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
158,159,Ty'Son Williams(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2%
159,160,Rico Dowdle(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
160,161,Jason Huntley(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
161,162,Sewo Olonilua(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
162,163,Josh Hokit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
