,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Chicago Bears(CHI),4,3,2,3,1,0,0,1,21.0,21.0,35.9%
1,2,New York Jets(NYJ),1,1,1,0,2,0,0,1,16.0,16.0,3.3%
2,3,Jacksonville Jaguars(JAC),9,0,1,2,0,0,0,1,15.0,15.0,6.9%
3,4,New England Patriots(NE),5,1,0,0,0,0,0,1,14.0,14.0,93.2%
4,5,Green Bay Packers(GB),6,1,2,2,0,0,0,1,13.0,13.0,60.6%
5,6,Carolina Panthers(CAR),8,2,0,0,0,0,0,1,13.0,13.0,27.8%
6,7,Dallas Cowboys(DAL),3,0,1,1,0,0,0,1,12.0,12.0,82.9%
7,8,Pittsburgh Steelers(PIT),1,2,3,1,0,0,0,1,11.0,11.0,44.6%
8,9,Buffalo Bills(BUF),2,2,2,2,0,0,0,1,11.0,11.0,95.9%
9,10,Cleveland Browns(CLE),2,2,1,1,0,0,0,1,9.0,9.0,40.8%
10,11,Los Angeles Rams(LAR),3,1,0,1,0,0,0,1,9.0,9.0,74.5%
11,12,New Orleans Saints(NO),0,0,1,1,1,0,1,1,8.0,8.0,79.3%
12,13,Houston Texans(HOU),5,0,1,1,0,0,0,1,8.0,8.0,6.4%
13,14,Tampa Bay Buccaneers(TB),5,0,2,2,0,0,0,1,8.0,8.0,98.0%
14,15,Minnesota Vikings(MIN),4,1,0,0,0,0,0,1,7.0,7.0,28.0%
15,16,San Francisco 49ers(SF),2,1,1,2,0,0,0,1,7.0,7.0,79.5%
16,17,Detroit Lions(DET),3,0,2,2,0,0,1,1,7.0,7.0,1.1%
17,18,Cincinnati Bengals(CIN),1,1,1,2,0,0,0,1,5.0,5.0,14.7%
18,19,New York Giants(NYG),4,1,0,0,0,0,0,1,5.0,5.0,4.5%
19,20,Washington Commanders(WAS),3,1,0,0,0,0,0,1,5.0,5.0,27.5%
20,21,Los Angeles Chargers(LAC),2,0,1,0,0,0,0,1,4.0,4.0,44.3%
21,22,Seattle Seahawks(SEA),0,0,1,0,0,0,0,1,2.0,2.0,39.4%
22,23,Miami Dolphins(MIA),1,1,0,0,0,0,0,1,2.0,2.0,60.2%
23,24,Kansas City Chiefs(KC),3,0,0,0,0,0,0,1,2.0,2.0,45.7%
24,25,Indianapolis Colts(IND),0,1,0,0,0,0,0,1,2.0,2.0,66.4%
25,26,Atlanta Falcons(ATL),1,0,0,0,0,0,0,1,1.0,1.0,5.8%
26,27,Tennessee Titans(TEN),0,0,0,0,0,0,0,1,1.0,1.0,48.4%
27,28,Philadelphia Eagles(PHI),0,0,0,0,0,0,0,1,0.0,0.0,52.5%
28,29,Denver Broncos(DEN),0,0,0,0,0,0,0,1,0.0,0.0,48.5%
29,30,Baltimore Ravens(BAL),1,0,0,2,0,0,0,1,0.0,0.0,51.9%
30,31,Arizona Cardinals(ARI),2,0,1,2,0,0,0,1,0.0,0.0,60.9%
31,32,Las Vegas Raiders(LV),0,0,0,0,0,0,0,1,-1.0,-1.0,7.6%
