Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
85,James Develin(FA),6,8,1.3,2,0,4,12,18,61,5.1,0,0,16,30.9,1.9,0.0%
86,Wayne Gallman Jr.(MIN),51,176,3.5,9,0,1,14,22,89,6.4,0,1,15,30.5,2.0,1.0%
87,Kalen Ballage(PIT),36,191,5.3,75,1,1,9,11,56,6.2,0,1,12,28.7,2.4,0.1%
88,Marcus Murphy(FA),52,250,4.8,30,1,0,11,19,26,2.4,0,0,11,27.6,2.5,0.0%
89,Brandon Bolden(NE),8,91,11.4,54,1,2,3,3,13,4.3,1,1,16,26.4,1.7,10.7%
90,Rod Smith(FA),44,127,2.9,14,0,1,9,12,60,6.7,0,0,16,24.7,1.5,0.0%
91,Andy Janovich(CLE),2,5,2.5,3,0,0,8,10,112,14.0,1,0,16,17.7,1.1,0.1%
92,Zach Line(FA),9,41,4.6,9,0,0,5,10,14,2.8,2,0,16,17.5,1.1,0.0%
93,Anthony Sherman(FA),1,2,2.0,2,0,0,8,9,96,12.0,1,0,16,15.8,1.0,0.0%
94,Dwayne Washington(NO),27,154,5.7,28,3,0,0,0,0,0,0,0,13,15.4,1.2,0.1%
95,Taquan Mizzell(NYG),9,16,1.8,7,0,0,8,10,78,9.8,1,0,9,15.4,1.7,0.0%
96,Brian Hill(SF),20,157,7.9,60,3,0,1,2,9,9.0,0,1,10,14.6,1.5,0.1%
97,Cameron Artis-Payne(FA),19,69,3.6,15,0,1,3,4,15,5.0,0,0,9,14.4,1.6,0.0%
98,Alex Armah Jr.(WAS),9,15,1.7,4,0,2,1,1,5,5.0,0,0,16,14.0,0.9,0.0%
99,Ronald Jones II(TB),23,44,1.9,9,0,1,7,9,33,4.7,0,0,9,13.7,1.5,83.5%
100,Darrel Williams(KC),13,44,3.4,8,0,0,3,3,27,9.0,1,0,6,13.1,2.2,79.6%
101,Stevan Ridley(FA),29,80,2.8,12,0,1,3,4,18,6.0,0,2,10,11.8,1.2,0.0%
102,Corey Grant(FA),13,40,3.1,8,0,0,9,12,67,7.4,0,0,5,10.7,2.1,0.0%
103,DeAndre Washington(FA),30,115,3.8,13,0,0,1,1,9,9.0,0,1,10,10.4,1.0,11.0%
104,John Kelly(CLE),27,74,2.7,7,0,0,2,3,27,13.5,0,0,4,10.1,2.5,0.0%
105,Keith Ford(FA),21,79,3.8,11,0,0,3,5,21,7.0,0,0,2,10.0,5.0,0.1%
106,Charcandrick West(FA),2,-1,-0.5,1,0,0,2,3,37,18.5,1,0,3,9.6,3.2,0.0%
107,C.J. Ham(MIN),6,8,1.3,5,0,0,11,15,85,7.7,0,0,15,9.3,0.6,0.1%
108,Devonta Freeman(BAL),14,68,4.9,20,2,0,5,7,23,4.6,0,0,2,9.1,4.6,74.2%
109,D'Onta Foreman(TEN),7,-1,-0.1,2,0,0,2,2,28,14.0,1,0,1,8.7,8.7,66.5%
110,Dontrell Hilliard(TEN),0,0,0,0,0,0,9,10,105,11.7,0,0,11,8.5,0.8,27.5%
111,Mark Walton(FA),14,34,2.4,10,0,0,5,8,41,8.2,0,0,14,7.5,0.5,2.0%
112,Elijhaa Penny(NYG),7,25,3.6,8,0,0,8,9,50,6.3,0,0,14,7.5,0.5,0.1%
113,Kenjon Barner(TB),19,71,3.7,11,0,0,1,1,3,3.0,0,0,9,7.4,0.8,0.0%
114,Patrick DiMarco(FA),1,9,9.0,9,0,0,3,4,62,20.7,0,0,16,7.1,0.4,0.0%
115,Detrez Newsome(FA),11,49,4.5,16,0,0,2,2,19,9.5,0,0,9,6.8,0.8,0.0%
116,Ryan Hewitt(FA),0,0,0,0,0,0,1,2,1,1.0,1,0,12,6.1,0.5,0.0%
117,Roc Thomas(FA),8,30,3.8,23,1,0,2,4,21,10.5,0,0,5,5.1,1.0,0.0%
118,Mike Boone(DEN),11,47,4.3,20,1,0,2,3,1,0.5,0,0,8,4.8,0.6,1.5%
119,Roosevelt Nix(FA),1,4,4.0,4,0,0,4,6,38,9.5,0,0,16,4.2,0.3,0.0%
120,Tommy Bohanon(FA),1,0,0.0,0,0,0,6,9,41,6.8,0,0,16,4.1,0.3,0.0%
121,Byron Marshall(FA),3,9,3.0,4,0,0,4,6,30,7.5,0,0,6,3.9,0.7,0.1%
122,T.J. Logan(FA),2,2,1.0,5,0,0,7,7,37,5.3,0,0,10,3.9,0.4,0.0%
123,Tre Madden(FA),3,3,1.0,2,0,0,2,3,35,17.5,0,0,14,3.8,0.3,0.1%
124,Samaje Perine(CIN),8,32,4.0,11,0,0,3,4,5,1.7,0,0,5,3.7,0.7,15.2%
125,David Williams(FA),8,36,4.5,15,0,0,0,0,0,0,0,0,6,3.6,0.6,0.0%
126,Tyler Ervin(FA),0,0,0,0,0,0,3,4,35,11.7,0,0,9,3.5,0.4,0.0%
127,Shaun Wilson(FA),6,29,4.8,9,0,0,3,5,5,1.7,0,0,5,3.4,0.7,0.0%
128,Mike Gillislee(FA),16,43,2.7,5,0,0,1,1,9,9.0,0,1,4,3.2,0.8,0.0%
129,Jeremy Hill(FA),4,25,6.3,11,0,0,1,1,6,6.0,0,0,1,3.1,3.1,0.0%
130,Benny Cunningham Jr.(FA),11,20,1.8,6,0,0,1,2,9,9.0,0,0,15,2.9,0.2,0.0%
131,Jeremy Langford(FA),9,25,2.8,7,0,0,0,0,0,0,0,0,1,2.5,2.5,0.0%
132,Keith Smith(ATL),1,0,0.0,0,0,0,5,7,23,4.6,0,0,16,2.3,0.1,0.0%
133,Travaris Cadet(FA),11,17,1.5,5,0,0,1,1,5,5.0,0,0,1,2.2,2.2,0.0%
134,De'Lance Turner(FA),1,4,4.0,4,0,0,2,2,17,8.5,0,0,4,2.1,0.5,0.1%
135,Derrick Coleman(FA),2,3,1.5,2,0,0,2,3,17,8.5,0,0,16,2.0,0.1,0.1%
136,Justin Davis(FA),2,19,9.5,19,0,0,0,0,0,0,0,0,11,1.9,0.2,0.0%
137,C.J. Prosise(FA),1,-3,-3.0,0,0,0,3,3,22,7.3,0,0,5,1.9,0.4,0.0%
138,Jonathan Stewart(FA),6,17,2.8,5,0,0,0,0,0,0,0,0,3,1.7,0.6,0.0%
139,Darius Jackson(FA),6,16,2.7,4,0,0,0,1,0,0,0,0,4,1.6,0.4,0.0%
140,David Fluellen(FA),4,16,4.0,13,0,0,0,0,0,0,0,0,7,1.6,0.2,0.0%
141,Brandon Wilds(FA),6,15,2.5,5,0,0,0,0,0,0,0,0,3,1.5,0.5,0.0%
142,Jamaal Charles(FA),6,7,1.2,5,0,0,2,3,7,3.5,0,0,2,1.4,0.7,0.1%
143,Derek Watt(PIT),4,11,2.8,8,0,0,1,1,2,2.0,0,0,16,1.3,0.1,0.1%
144,Jamize Olawale(DAL),0,0,0,0,0,0,2,4,13,6.5,0,0,16,1.3,0.1,0.0%
145,Ricky Ortiz(FA),0,0,0,0,0,0,3,4,11,3.7,0,0,12,1.1,0.1,0.0%
146,Christine Michael(FA),2,9,4.5,8,0,0,0,0,0,0,0,0,1,0.9,0.9,0.0%
147,Ameer Abdullah(CAR),1,1,1.0,1,0,0,3,4,28,9.3,0,1,10,0.9,0.1,10.4%
148,Robert Kelley(FA),4,8,2.0,6,0,0,0,0,0,0,0,0,2,0.8,0.4,0.0%
149,J.D. McKissic(WAS),3,8,2.7,6,0,0,0,1,0,0,0,0,5,0.8,0.2,32.9%
150,Michael Burton(KC),0,0,0,0,0,0,1,1,6,6.0,0,0,8,0.6,0.1,0.1%
151,Jeremy McNichols(FA),2,4,2.0,7,0,0,0,0,0,0,0,0,1,0.4,0.4,7.6%
152,Danny Vitale(FA),0,0,0,0,0,0,1,2,2,2.0,0,0,5,0.2,0.0,0.0%
153,Jonathan Williams(WAS),3,0,0.0,1,0,0,1,1,1,1.0,0,0,3,0.1,0.0,0.6%
154,Mekhi Sargent(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5%
155,Jaret Patterson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7%
156,Trey Ragas(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
157,Sandro Platzgummer(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
158,Josh Jacobs(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0%
159,Demetric Felton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
160,Devin Singletary(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1%
161,Jermar Jefferson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
162,Pooka Williams Jr.(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
163,Dexter Williams(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
164,Deon Jackson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
165,Miles Sanders(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0%
166,Ty Johnson(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8%
167,Patrick Laird(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
168,Elijah Holyfield(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
169,Dalyn Dawkins(DET),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
170,Justice Hill(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
171,David Montgomery(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7%
172,Johnny Stanton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
173,Damien Harris(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
174,Qadree Ollison(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
175,Caleb Huntley(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
176,Tavien Feaster(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
177,Javon Leake(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
178,Trey Sermon(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9%
179,Darrynton Evans(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
180,Michael Warren II(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
181,Anthony McFarland Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
182,Joshua Kelley(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
183,Eno Benjamin(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
184,AJ Dillon(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4%
185,Ke'Shawn Vaughn(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
186,La'Mical Perine(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
187,J.J. Taylor(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
188,Kylin Hill(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
189,Tony Jones Jr.(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9%
190,Adrian Killins Jr.(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
191,Devine Ozigbo(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
192,Darius Bradwell(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
193,Salvon Ahmed(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
194,Darius Anderson(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
195,Sutton Smith(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
196,Jakob Johnson(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
197,Clyde Edwards-Helaire(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8%
198,Najee Harris(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
199,John Lovett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
200,Khari Blasingame(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
201,Craig Reynolds(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7%
202,Cam Akers(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8%
203,D'Andre Swift(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2%
204,Zack Moss(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8%
205,J.K. Dobbins(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3%
206,Travis Etienne Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
207,Jonathan Taylor(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%
208,Cullen Gillaspia(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
209,Tony Pollard(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3%
210,Andrew Beck(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
211,Derrick Gore(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0%
212,D'Ernest Johnson(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7%
213,DeeJay Dallas(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3%
214,Josh Hokit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
215,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
216,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
217,Chuba Hubbard(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1%
218,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
219,Pete Guerriero(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
220,Trevon Wesco(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
221,Sewo Olonilua(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
222,Jason Huntley(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
223,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
224,Gabe Nabers(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
225,Aca'Cedric Ware(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
226,Austin Walter(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
227,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
228,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
229,Ryquell Armstead(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
230,Benny Snell Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
231,Travis Homer(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
232,Damarea Crockett(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
233,Mike Weber(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
234,Darwin Thompson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
235,Alexander Mattison(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0%
236,Trayveon Williams(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
237,Larry Rountree III(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
238,Rico Dowdle(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
239,Alec Ingold(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
240,Ty'Son Williams(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2%
241,James Robinson(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3%
242,JaMycal Hasty(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2%
243,Antonio Gibson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9%
244,Darrell Henderson Jr.(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0%
245,Raymond Calais(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
246,Scottie Phillips(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
247,Patrick Taylor Jr.(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
248,Tre Harbison III(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
249,Nick Ralston(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
250,A.J. Rose Jr.(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
251,JaQuan Hardy(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
252,Tory Carter(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
253,Kenneth Gainwell(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8%
254,Josh Johnson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
255,Gary Brightwell(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
