rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Chicago Bears,50.0,27.0,9.0,17.0,6.0,1.0,0.0,16.0,191.0,11.9,35.9,CHI,DST,2018
2.0,Los Angeles Rams,41.0,18.0,12.0,12.0,4.0,2.0,0.0,16.0,147.0,9.2,74.5,LAR,DST,2018
3.0,Houston Texans,43.0,15.0,14.0,19.0,4.0,0.0,0.0,16.0,144.0,9.0,6.4,HOU,DST,2018
4.0,New England Patriots,30.0,18.0,10.0,12.0,2.0,0.0,2.0,16.0,135.0,8.4,93.2,NE,DST,2018
5.0,Baltimore Ravens,43.0,12.0,5.0,8.0,3.0,0.0,1.0,16.0,126.0,7.9,51.9,BAL,DST,2018
6.0,Minnesota Vikings,50.0,12.0,8.0,7.0,3.0,0.0,0.0,16.0,124.0,7.8,28.0,MIN,DST,2018
7.0,Kansas City Chiefs,53.0,15.0,12.0,21.0,4.0,0.0,1.0,16.0,123.0,7.7,45.7,KC,DST,2018
8.0,Denver Broncos,44.0,17.0,10.0,13.0,2.0,0.0,0.0,16.0,122.0,7.6,48.5,DEN,DST,2018
9.0,Seattle Seahawks,43.0,12.0,14.0,17.0,2.0,0.0,0.0,16.0,122.0,7.6,39.4,SEA,DST,2018
10.0,Washington Commanders,46.0,15.0,11.0,18.0,1.0,0.0,0.0,16.0,120.0,7.5,27.5,WAS,DST,2018
11.0,Indianapolis Colts,38.0,15.0,11.0,15.0,0.0,0.0,0.0,16.0,116.0,7.3,66.4,IND,DST,2018
12.0,Tennessee Titans,39.0,11.0,6.0,10.0,2.0,0.0,1.0,16.0,113.0,7.1,48.4,TEN,DST,2018
13.0,Pittsburgh Steelers,52.0,8.0,7.0,11.0,3.0,2.0,0.0,16.0,110.0,6.9,44.6,PIT,DST,2018
14.0,New Orleans Saints,49.0,12.0,12.0,19.0,1.0,0.0,0.0,16.0,108.0,6.8,79.3,NO,DST,2018
15.0,Jacksonville Jaguars,37.0,11.0,6.0,6.0,2.0,2.0,1.0,16.0,107.0,6.7,6.9,JAC,DST,2018
16.0,Buffalo Bills,36.0,16.0,11.0,18.0,0.0,1.0,0.0,16.0,107.0,6.7,95.9,BUF,DST,2018
17.0,Los Angeles Chargers,38.0,13.0,7.0,5.0,2.0,0.0,1.0,16.0,107.0,6.7,44.3,LAC,DST,2018
18.0,Miami Dolphins,31.0,21.0,7.0,10.0,3.0,0.0,2.0,16.0,104.0,6.5,60.2,MIA,DST,2018
19.0,Arizona Cardinals,49.0,7.0,9.0,13.0,2.0,0.0,0.0,16.0,100.0,6.3,60.9,ARI,DST,2018
20.0,Detroit Lions,43.0,7.0,7.0,9.0,2.0,0.0,0.0,16.0,98.0,6.1,1.1,DET,DST,2018
21.0,Dallas Cowboys,39.0,9.0,11.0,14.0,1.0,0.0,0.0,16.0,98.0,6.1,82.9,DAL,DST,2018
22.0,Cleveland Browns,37.0,17.0,14.0,16.0,0.0,1.0,0.0,16.0,98.0,6.1,40.8,CLE,DST,2018
23.0,Philadelphia Eagles,44.0,10.0,7.0,12.0,0.0,0.0,0.0,16.0,97.0,6.1,52.5,PHI,DST,2018
24.0,Green Bay Packers,44.0,7.0,8.0,8.0,1.0,0.0,0.0,16.0,92.0,5.8,60.6,GB,DST,2018
25.0,New York Jets,39.0,13.0,7.0,12.0,3.0,0.0,2.0,16.0,91.0,5.7,3.3,NYJ,DST,2018
26.0,Carolina Panthers,35.0,13.0,9.0,13.0,1.0,0.0,0.0,16.0,88.0,5.5,27.8,CAR,DST,2018
27.0,New York Giants,30.0,16.0,5.0,9.0,3.0,0.0,0.0,16.0,84.0,5.3,4.5,NYG,DST,2018
28.0,Cincinnati Bengals,33.0,12.0,6.0,9.0,5.0,0.0,0.0,16.0,83.0,5.2,14.7,CIN,DST,2018
29.0,Atlanta Falcons,37.0,15.0,4.0,8.0,2.0,0.0,0.0,16.0,77.0,4.8,5.8,ATL,DST,2018
30.0,Tampa Bay Buccaneers,38.0,9.0,8.0,11.0,1.0,0.0,0.0,16.0,68.0,4.3,98.0,TB,DST,2018
31.0,San Francisco 49ers,37.0,2.0,5.0,8.0,1.0,1.0,1.0,16.0,53.0,3.3,79.5,SF,DST,2018
32.0,Las Vegas Raiders,13.0,14.0,3.0,5.0,1.0,0.0,1.0,16.0,39.0,2.4,7.6,LV,DST,2018
