player,sacks_proj,ints_proj,frec,ff,defense_td,sfty,pts_against,yds_against,fantasy_points,team,position,week,year
Denver Broncos,2.8,1.2,0.5,0.6,0.2,0.1,16.4,303.2,8.4,DEN,DST,3,2021
Pittsburgh Steelers,3.0,0.9,0.7,1.1,0.2,0.0,19.1,330.5,8.1,PIT,DST,3,2021
Arizona Cardinals,2.6,1.0,0.6,1.1,0.2,0.0,19.8,324.8,8.1,ARI,DST,3,2021
Buffalo Bills,2.5,1.0,0.7,1.1,0.2,0.1,19.0,321.1,8.0,BUF,DST,3,2021
Carolina Panthers,2.7,0.9,0.6,1.1,0.2,0.0,19.1,314.8,7.8,CAR,DST,3,2021
Cleveland Browns,2.4,1.0,0.6,0.8,0.2,0.1,18.9,326.6,7.7,CLE,DST,3,2021
New England Patriots,2.3,1.3,0.5,0.7,0.2,0.0,20.5,331.8,7.1,NE,DST,3,2021
Minnesota Vikings,3.1,0.7,0.6,0.8,0.1,0.1,26.5,377.6,6.6,MIN,DST,3,2021
Atlanta Falcons,2.5,0.8,0.7,1.2,0.1,0.0,23.9,345.1,6.4,ATL,DST,3,2021
Dallas Cowboys,2.5,0.8,0.7,1.0,0.1,0.0,23.6,371.6,6.4,DAL,DST,3,2021
Tennessee Titans,2.5,0.8,0.6,0.7,0.1,0.1,21.8,338.4,6.3,TEN,DST,3,2021
Green Bay Packers,2.2,0.9,0.6,1.0,0.2,0.0,24.7,367.0,6.2,GB,DST,3,2021
Washington Commanders,2.4,0.8,0.6,0.9,0.1,0.0,25.9,358.1,6.2,WAS,DST,3,2021
Tampa Bay Buccaneers,2.5,0.8,0.6,0.9,0.1,0.0,26.1,362.7,6.2,TB,DST,3,2021
Baltimore Ravens,1.9,0.9,0.6,0.9,0.2,0.0,20.1,344.8,6.1,BAL,DST,3,2021
Kansas City Chiefs,2.2,0.8,0.6,0.8,0.2,0.1,22.8,396.9,6.1,KC,DST,3,2021
New Orleans Saints,2.4,0.8,0.5,0.7,0.1,0.0,21.2,328.8,6.0,NO,DST,3,2021
Philadelphia Eagles,2.3,0.7,0.6,1.0,0.1,0.0,26.3,401.1,6.0,PHI,DST,3,2021
New York Giants,2.4,0.7,0.6,0.8,0.1,0.0,22.0,356.2,6.0,NYG,DST,3,2021
Seattle Seahawks,2.3,0.7,0.6,1.0,0.1,0.1,24.5,374.1,6.0,SEA,DST,3,2021
Las Vegas Raiders,2.4,0.7,0.6,0.9,0.2,0.0,21.2,319.2,5.9,LV,DST,3,2021
Chicago Bears,2.0,0.8,0.6,0.9,0.2,0.1,25.4,356.0,5.9,CHI,DST,3,2021
Los Angeles Rams,2.1,0.8,0.6,0.9,0.1,0.1,25.6,358.0,5.8,LAR,DST,3,2021
Miami Dolphins,2.0,0.7,0.7,1.4,0.2,0.0,25.1,390.3,5.8,MIA,DST,3,2021
Indianapolis Colts,2.2,0.7,0.6,1.0,0.2,0.0,25.1,375.8,5.7,IND,DST,3,2021
Houston Texans,2.3,0.8,0.5,0.7,0.1,0.0,24.4,370.3,5.7,HOU,DST,3,2021
Detroit Lions,2.1,0.7,0.6,0.8,0.1,0.1,27.8,382.6,5.6,DET,DST,3,2021
Jacksonville Jaguars,1.9,0.8,0.5,0.6,0.1,0.0,28.6,396.1,5.5,JAC,DST,3,2021
New York Jets,2.0,0.7,0.6,0.8,0.1,0.0,25.3,356.6,5.5,NYJ,DST,3,2021
San Francisco 49ers,2.1,0.6,0.6,0.9,0.1,0.0,23.2,356.6,5.2,SF,DST,3,2021
Cincinnati Bengals,1.3,0.8,0.5,0.7,0.2,0.0,23.5,331.9,4.9,CIN,DST,3,2021
Los Angeles Chargers,1.5,0.6,0.5,0.7,0.1,0.0,29.3,402.8,4.3,LAC,DST,3,2021
