player,sacks,defense_int,fumble_recovery,fumble_forced,defense_td,defense_safety,pa,yds_against,fantasy_points,team,week,position
Atlanta Falcons,2.6,1.2,0.5,0.8,0.2,0.0,19.7,329.6,8.1,,5,DST
Las Vegas Raiders,2.9,1.0,0.6,0.7,0.2,0.0,19.4,316.4,8.0,,5,DST
New England Patriots,2.6,1.1,0.5,0.8,0.2,0.0,16.1,308.1,7.9,,5,DST
Tampa Bay Buccaneers,2.7,0.8,0.6,1.1,0.2,0.0,19.6,292.9,7.5,,5,DST
Baltimore Ravens,2.6,0.8,0.6,0.9,0.2,0.1,19.5,324.8,7.4,,5,DST
Pittsburgh Steelers,2.6,0.8,0.7,1.0,0.1,0.0,19.5,348.1,7.4,,5,DST
Minnesota Vikings,2.1,0.8,0.6,0.9,0.2,0.0,19.6,357.9,7.0,,5,DST
Arizona Cardinals,2.6,0.9,0.8,1.5,0.1,0.0,21.1,351.3,6.9,,5,DST
Washington Commanders,2.3,1.2,0.5,0.7,0.2,0.0,23.2,326.3,6.7,,5,DST
Philadelphia Eagles,2.8,0.9,0.6,0.7,0.1,0.0,24.5,347.9,6.6,,5,DST
Los Angeles Rams,3.2,0.7,0.6,0.8,0.1,0.1,24.8,344.4,6.6,,5,DST
Dallas Cowboys,2.7,0.8,0.7,1.0,0.2,0.0,21.6,358.8,6.6,,5,DST
Denver Broncos,1.7,0.9,0.5,0.6,0.2,0.1,19.1,308.5,6.5,,5,DST
Carolina Panthers,2.8,0.8,0.6,0.8,0.1,0.0,20.1,344.0,6.5,,5,DST
New Orleans Saints,2.0,1.1,0.6,0.8,0.2,0.1,20.2,325.9,6.3,,5,DST
Tennessee Titans,2.0,1.1,0.5,0.6,0.2,0.0,21.7,342.6,6.3,,5,DST
Green Bay Packers,2.5,0.8,0.6,0.9,0.1,0.0,23.8,340.7,6.3,,5,DST
Indianapolis Colts,2.3,0.8,0.7,1.0,0.1,0.1,26.1,366.5,6.2,,5,DST
San Francisco 49ers,2.2,0.9,0.6,0.9,0.1,0.0,27.6,364.6,6.1,,5,DST
Cleveland Browns,2.4,0.8,0.6,0.8,0.1,0.0,23.1,363.8,6.1,,5,DST
Chicago Bears,2.2,0.7,0.7,1.0,0.1,0.1,25.2,375.0,5.9,,5,DST
New York Jets,2.4,0.7,0.6,0.8,0.1,0.0,23.1,341.4,5.7,,5,DST
Seattle Seahawks,2.3,0.7,0.6,0.8,0.1,0.0,25.8,385.8,5.7,,5,DST
Houston Texans,2.1,0.8,0.6,0.8,0.1,0.0,22.9,362.9,5.7,,5,DST
Kansas City Chiefs,2.0,0.8,0.6,0.9,0.2,0.0,26.8,392.9,5.6,,5,DST
Los Angeles Chargers,2.0,0.8,0.5,0.8,0.1,0.0,21.7,358.4,5.5,,5,DST
Jacksonville Jaguars,2.1,0.7,0.6,0.7,0.1,0.0,26.0,403.1,5.3,,5,DST
Buffalo Bills,1.7,0.8,0.6,1.1,0.1,0.0,26.8,373.3,5.3,,5,DST
Detroit Lions,2.1,0.6,0.6,0.9,0.1,0.0,28.8,401.2,5.3,,5,DST
Miami Dolphins,1.8,0.7,0.6,1.1,0.1,0.0,28.3,392.4,5.3,,5,DST
New York Giants,1.8,0.6,0.6,1.0,0.1,0.0,29.2,401.6,5.2,,5,DST
Cincinnati Bengals,1.8,0.5,0.5,0.8,0.1,0.0,25.6,366.9,4.7,,5,DST
