player,sacks,defense_int,fumble_recovery,fumble_forced,defense_td,defense_safety,pa,yds_against,fantasy_points,team,week,position
Baltimore Ravens,3.5,1.1,0.7,0.7,0.2,0.0,19.7,302.0,9.1,,11,DST
Tennessee Titans,2.9,0.9,0.6,0.9,0.2,0.1,16.8,305.4,8.1,,11,DST
Tampa Bay Buccaneers,2.8,0.9,0.7,1.2,0.2,0.0,18.9,321.5,8.0,,11,DST
Carolina Panthers,2.4,1.0,0.7,1.0,0.2,0.0,19.1,317.4,7.9,,11,DST
Cleveland Browns,2.6,0.9,0.6,0.7,0.2,0.0,16.2,309.9,7.7,,11,DST
Buffalo Bills,2.3,0.8,0.7,1.0,0.2,0.1,19.5,323.8,7.3,,11,DST
New England Patriots,2.2,1.0,0.5,0.7,0.2,0.0,19.9,331.4,7.2,,11,DST
San Francisco 49ers,1.9,0.9,0.6,1.0,0.2,0.0,19.0,315.6,6.9,,11,DST
Miami Dolphins,2.5,1.0,0.6,1.0,0.2,0.0,20.4,332.1,6.6,,11,DST
Washington Commanders,2.7,0.9,0.5,0.8,0.2,0.0,23.4,340.7,6.6,,11,DST
Las Vegas Raiders,2.7,0.9,0.6,0.9,0.1,0.0,24.3,351.2,6.6,,11,DST
Chicago Bears,2.4,1.0,0.6,0.8,0.2,0.1,20.9,353.6,6.5,,11,DST
New York Jets,2.3,0.9,0.7,1.1,0.2,0.0,24.0,355.7,6.4,,11,DST
Seattle Seahawks,2.4,0.9,0.6,0.7,0.2,0.0,20.3,334.9,6.4,,11,DST
Arizona Cardinals,3.0,0.6,0.7,1.2,0.1,0.0,22.8,315.5,6.4,,11,DST
New Orleans Saints,2.1,0.8,0.6,0.8,0.1,0.0,21.4,329.0,5.9,,11,DST
Indianapolis Colts,2.0,0.8,0.7,1.1,0.1,0.0,27.1,386.9,5.8,,11,DST
Cincinnati Bengals,2.1,0.8,0.6,0.7,0.1,0.1,24.6,375.4,5.7,,11,DST
Pittsburgh Steelers,2.2,0.7,0.6,0.8,0.1,0.0,25.3,369.9,5.7,,11,DST
Jacksonville Jaguars,1.9,0.8,0.6,0.9,0.1,0.0,24.8,379.8,5.7,,11,DST
Philadelphia Eagles,2.4,0.7,0.5,0.8,0.1,0.0,21.0,327.0,5.6,,11,DST
Dallas Cowboys,1.9,0.8,0.6,1.1,0.1,0.0,26.9,404.6,5.6,,11,DST
Houston Texans,2.3,0.7,0.6,1.0,0.1,0.0,27.8,373.4,5.6,,11,DST
Kansas City Chiefs,2.0,0.8,0.6,0.9,0.1,0.0,25.6,412.4,5.6,,11,DST
Green Bay Packers,1.9,0.7,0.6,0.9,0.1,0.0,22.9,364.4,5.5,,11,DST
Detroit Lions,2.2,0.7,0.6,0.8,0.1,0.0,26.8,377.6,5.5,,11,DST
Atlanta Falcons,1.8,0.7,0.6,1.0,0.1,0.0,26.4,358.2,5.4,,11,DST
Los Angeles Chargers,1.7,0.7,0.5,0.9,0.1,0.0,20.9,332.5,5.0,,11,DST
New York Giants,1.6,0.7,0.5,0.9,0.1,0.0,29.2,375.5,5.0,,11,DST
Minnesota Vikings,2.1,0.5,0.5,0.9,0.1,0.0,23.5,360.6,4.9,,11,DST
