,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Joey Slye(WAS),3,3,100.0,40,0,2,0,1,0,4,4,1,14.0,14.0,1.6%
1,2,Robbie Gould(SF),2,3,66.7,52,0,0,0,1,1,5,5,1,14.0,14.0,22.5%
2,3,Dustin Hopkins(LAC),3,4,75.0,48,0,0,1,2,0,1,1,1,12.0,12.0,14.5%
3,4,Chris Boswell(PIT),3,3,100.0,45,0,2,0,1,0,2,2,1,12.0,12.0,51.0%
4,5,Matt Gay(LAR),2,2,100.0,53,0,1,0,0,1,4,4,1,12.0,12.0,89.8%
5,6,Greg Zuerlein(DAL),3,5,60.0,48,0,1,1,1,0,2,3,1,12.0,12.0,74.2%
6,7,Nick Folk(NE),3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,81.8%
7,8,Daniel Carlson(LV),2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,11.0,74.3%
8,9,Tyler Bass(BUF),3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,84.8%
9,10,Justin Tucker(BAL),2,2,100.0,47,0,0,0,2,0,3,3,1,11.0,11.0,98.0%
10,11,Evan McPherson(CIN),2,2,100.0,53,0,0,1,0,1,3,3,1,11.0,11.0,34.2%
11,12,Harrison Butker(KC),2,2,100.0,43,0,1,0,1,0,3,3,1,10.0,10.0,76.6%
12,13,Brandon McManus(DEN),2,2,100.0,36,0,1,1,0,0,3,3,1,9.0,9.0,44.3%
13,14,Aldrick Rosas(FA),1,1,100.0,44,0,0,0,1,0,5,5,1,9.0,9.0,1.8%
14,15,Greg Joseph(MIN),1,1,100.0,53,0,0,0,0,1,3,3,1,8.0,8.0,69.1%
15,16,Matt Prater(ARI),1,2,50.0,34,0,0,1,0,0,5,5,1,8.0,8.0,52.8%
16,17,Tristan Vizcaino(FA),2,2,100.0,33,0,1,1,0,0,2,2,1,8.0,8.0,0.8%
17,18,Ryan Succop(TB),1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,7.0,57.4%
18,19,Jake Elliott(PHI),1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,22.5%
19,20,Ryan Santoso(LAR),2,2,100.0,29,0,2,0,0,0,1,2,1,7.0,7.0,0.1%
20,21,Austin Seibert(DET),1,2,50.0,49,0,0,0,1,0,2,2,1,6.0,6.0,0.1%
21,22,Younghoe Koo(ATL),2,2,100.0,27,0,2,0,0,0,0,0,1,6.0,6.0,40.9%
22,23,Jason Sanders(MIA),1,1,100.0,48,0,0,0,1,0,2,2,1,6.0,6.0,22.6%
23,24,Rodrigo Blankenship(IND),1,1,100.0,21,0,1,0,0,0,1,1,1,4.0,4.0,4.1%
24,25,Jason Myers(SEA),0,0,0,0,0,0,0,0,0,4,4,1,4.0,4.0,22.1%
25,26,Chase McLaughlin(CLE),0,0,0,0,0,0,0,0,0,3,3,1,3.0,3.0,7.1%
26,27,Mason Crosby(GB),1,1,100.0,39,0,0,1,0,0,0,0,1,3.0,3.0,40.7%
27,28,Josh Lambo(FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,3.2%
28,29,Cairo Santos(CHI),0,0,0,0,0,0,0,0,0,2,2,1,2.0,2.0,2.1%
29,30,Michael Badgley(IND),0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,19.9%
30,31,Graham Gano(NYG),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,31.4%
31,32,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
32,33,Elliott Fry(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.4%
33,34,Matthew Wright(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
34,35,Eddy Pineiro(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
35,36,Wil Lutz(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3%
36,37,Ka'imi Fairbairn(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
37,38,Ty Long(LAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
38,39,Sam Ficken(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
39,40,Zane Gonzalez(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%
40,41,Cameron Nizialek(PIT),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
41,42,Riley Patterson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
42,43,Alex Kessman(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,44,Jose Borregales(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,45,Quinn Nordin(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
45,46,Chris Naggar(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
46,47,Brian Johnson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6%
47,48,Michael Palardy(MIA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%
48,49,Jake Verity(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,50,JJ Molson(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,51,Sam Sloman(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,52,Matt Ammendola(NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
52,53,Lirim Hajrullahu(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
53,54,Austin MacGinnis(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Parker Douglass(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Piotr Czech(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Steven Weatherford(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,58,Zac Derr(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Ricky Schmit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
59,60,Andrew Wellock(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
60,61,Carlos Martinez(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,62,Garrett Rivas(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,63,Jason Reda(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,64,MacKenzie Hoambrecker(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,65,Mark Hickok(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,66,Randy Bullock(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8%
66,67,Giorgio Tavecchio(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
67,68,Brett Maher(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
68,69,Andrew Jacas(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Sergio Castillo(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
70,71,Saverio Rocca(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
71,72,Garrett Lindholm(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
72,73,Connor Hughes(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
73,74,Clint Stitser(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,75,Kai Forbath(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0%
