rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
44,Wayne Gallman Jr.,9,27,3.0,8,0,0,2,3,5,2.5,0,0,1,3.2,3.2,1.0,MIN,6,RB
45,Ty Montgomery,10,28,2.8,7,0,0,1,3,3,3.0,0,0,1,3.1,3.1,0.6,NO,6,RB
46,Travaris Cadet,1,3,3.0,3,0,0,3,3,26,8.7,0,0,1,2.9,2.9,0.0,FA,6,RB
47,Jalen Richard,2,-1,-0.5,2,0,0,3,4,27,9.0,0,0,1,2.6,2.6,0.7,FA,6,RB
48,Mike Gillislee,10,44,4.4,9,0,0,0,0,0,0.0,0,1,1,2.4,2.4,0.0,FA,6,RB
49,Damien Williams,4,9,2.3,5,0,0,3,3,14,4.7,0,0,1,2.3,2.3,4.4,CHI,6,RB
50,Elijah McGuire,10,22,2.2,12,0,0,0,0,0,0.0,0,0,1,2.2,2.2,0.0,FA,6,RB
51,Jamaal Charles,5,19,3.8,6,0,0,1,3,2,2.0,0,0,1,2.1,2.1,0.1,FA,6,RB
52,Marlon Mack,2,18,9.0,22,1,0,0,2,0,0.0,0,0,1,1.8,1.8,1.6,IND,6,RB
53,Jay Prosch,0,0,0.0,0,0,0,1,1,18,18.0,0,0,1,1.8,1.8,0.0,FA,6,RB
54,C.J. Anderson,9,17,1.9,6,0,0,0,0,0,0.0,0,0,1,1.7,1.7,1.0,FA,6,RB
55,Malcolm Brown,3,17,5.7,8,0,0,0,0,0,0.0,0,0,1,1.7,1.7,3.6,MIA,6,RB
56,Raheem Mostert,1,16,16.0,16,0,0,0,0,0,0.0,0,0,1,1.6,1.6,13.0,SF,6,RB
57,Kenjon Barner,5,7,1.4,6,0,0,1,2,9,9.0,0,0,1,1.6,1.6,0.0,TB,6,RB
58,James Conner,2,14,7.0,11,0,0,0,0,0,0.0,0,0,1,1.4,1.4,94.6,ARI,6,RB
59,Kerwynn Williams,3,14,4.7,11,0,0,0,0,0,0.0,0,0,1,1.4,1.4,0.0,FA,6,RB
60,Mack Brown,2,2,1.0,3,0,0,1,1,11,11.0,0,0,1,1.3,1.3,0.0,FA,6,RB
61,Bobby Rainey,0,0,0.0,0,0,0,2,2,11,5.5,0,0,1,1.1,1.1,0.0,FA,6,RB
62,Charcandrick West,0,0,0.0,0,0,0,1,1,9,9.0,0,0,1,0.9,0.9,0.0,FA,6,RB
63,Austin Ekeler,1,1,1.0,1,0,0,1,2,8,8.0,0,0,1,0.9,0.9,99.9,LAC,6,RB
64,Michael Burton,0,0,0.0,0,0,0,1,1,8,8.0,0,0,1,0.8,0.8,0.1,KC,6,RB
65,Jacquizz Rodgers,3,1,0.3,1,0,0,1,1,6,6.0,0,0,1,0.7,0.7,0.0,FA,6,RB
66,Danny Vitale,0,0,0.0,0,0,0,1,1,7,7.0,0,0,1,0.7,0.7,0.0,FA,6,RB
67,Shane Vereen,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0,FA,6,RB
68,Akeem Hunt,1,3,3.0,3,0,0,0,0,0,0.0,0,0,1,0.3,0.3,0.0,FA,6,RB
69,Terrell Watson,1,3,3.0,3,0,0,0,0,0,0.0,0,0,1,0.3,0.3,0.0,FA,6,RB
70,DeAndre Washington,3,-8,-2.7,0,0,0,1,1,10,10.0,0,0,1,0.2,0.2,11.0,FA,6,RB
71,Corey Clement,2,2,1.0,3,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.8,DAL,6,RB
72,Reggie Gilliam,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,BUF,6,RB
73,Jonathan Ward,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,ARI,6,RB
74,Antonio Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NYG,6,RB
75,Josh Hokit,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,SF,6,RB
76,Nathan Cottrell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,JAC,6,RB
77,Gabe Nabers,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LAC,6,RB
78,Jake Bargas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,MIN,6,RB
79,Chuba Hubbard,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,58.1,CAR,6,RB
80,Raymond Calais,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LAR,6,RB
81,Scottie Phillips,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,HOU,6,RB
82,JaMycal Hasty,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.2,SF,6,RB
83,Patrick Taylor Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3,GB,6,RB
84,Larry Rountree III,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.7,LAC,6,RB
85,DeeJay Dallas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.3,SEA,6,RB
86,Antonio Gibson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,95.9,WAS,6,RB
87,James Robinson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,76.3,JAC,6,RB
88,Giovanni Ricci,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CAR,6,RB
89,Jermar Jefferson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,6.7,DET,6,RB
90,Pete Guerriero,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,PIT,6,RB
91,Sewo Olonilua,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DAL,6,RB
92,Ty'Son Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,5.2,BAL,6,RB
93,Jason Huntley,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2,PHI,6,RB
94,Rico Dowdle,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DAL,6,RB
95,Pooka Williams Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CIN,6,RB
96,Mekhi Sargent,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.5,JAC,6,RB
97,Demetric Felton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.7,CLE,6,RB
98,Jaret Patterson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,23.7,WAS,6,RB
99,Deon Jackson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,IND,6,RB
100,Trey Ragas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LV,6,RB
101,Sandro Platzgummer,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NYG,6,RB
102,Adrian Killins Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DEN,6,RB
103,Darrynton Evans,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9,TEN,6,RB
104,Johnny Stanton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CLE,6,RB
105,Dontrell Hilliard,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.5,TEN,6,RB
106,Jeff Wilson Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,56.1,SF,6,RB
107,Dalyn Dawkins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,DET,6,RB
108,Elijah Holyfield,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CIN,6,RB
