rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
2.0,DeMarco Murray,14.0,42.0,3.0,9.0,0.0,2.0,4.0,4.0,30.0,7.5,1.0,0.0,1.0,25.2,25.2,0.1,RB,10,2017,TEN
3.0,Austin Ekeler,10.0,42.0,4.2,11.0,0.0,0.0,5.0,5.0,77.0,15.4,2.0,1.0,1.0,21.9,21.9,99.9,RB,10,2017,LAC
4.0,Alvin Kamara,12.0,106.0,8.8,19.0,0.0,1.0,5.0,5.0,32.0,6.4,0.0,0.0,1.0,19.8,19.8,100.0,RB,10,2017,NO
5.0,Christian McCaffrey,5.0,23.0,4.6,16.0,0.0,1.0,3.0,7.0,27.0,9.0,1.0,0.0,1.0,17.0,17.0,47.2,RB,10,2017,CAR
6.0,Isaiah Crowell,16.0,90.0,5.6,21.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,15.5,15.5,0.1,RB,10,2017,CLE
7.0,Kenyan Drake,7.0,82.0,11.7,66.0,1.0,1.0,2.0,2.0,10.0,5.0,0.0,0.0,1.0,15.2,15.2,29.4,RB,10,2017,MIA
8.0,Tevin Coleman,20.0,83.0,4.2,19.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,14.8,14.8,18.5,RB,10,2017,ATL
10.0,Latavius Murray,17.0,68.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,22.2,RB,10,2017,MIN
11.0,Cameron Artis-Payne,7.0,68.0,9.7,43.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,0.0,RB,10,2017,CAR
13.0,Rex Burkhead,10.0,36.0,3.6,8.0,0.0,0.0,3.0,3.0,27.0,9.0,1.0,0.0,1.0,12.3,12.3,31.5,RB,10,2017,NE
14.0,Matt Breida,9.0,55.0,6.1,33.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,11.8,11.8,8.2,RB,10,2017,SF
