rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
43.0,Peyton Barber,13.0,53.0,4.1,9.0,0.0,0.0,3.0,3.0,15.0,5.0,0.0,1.0,1.0,4.8,4.8,1.2,RB,15,2017,TB
44.0,Terron Ward,8.0,40.0,5.0,13.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,4.6,4.6,0.0,RB,15,2017,ATL
45.0,Malcolm Brown,10.0,45.0,4.5,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,3.6,RB,15,2017,LAR
46.0,Elijhaa Penny,10.0,45.0,4.5,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,0.1,RB,15,2017,ARI
47.0,Chris Ivory,17.0,42.0,2.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,0.0,RB,15,2017,JAC
48.0,Theo Riddick,8.0,49.0,6.1,12.0,0.0,0.0,3.0,3.0,12.0,4.0,0.0,1.0,1.0,4.1,4.1,0.0,RB,15,2017,DET
49.0,Carlos Hyde,16.0,25.0,1.6,8.0,0.0,0.0,2.0,2.0,14.0,7.0,0.0,0.0,1.0,3.9,3.9,6.9,RB,15,2017,SF
50.0,Mike Davis,6.0,19.0,3.2,11.0,0.0,0.0,2.0,2.0,20.0,10.0,0.0,0.0,1.0,3.9,3.9,49.7,RB,15,2017,SEA
51.0,Travaris Cadet,4.0,24.0,6.0,12.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,3.8,3.8,0.0,RB,15,2017,BUF
52.0,Jonathan Stewart,11.0,27.0,2.5,9.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,3.6,3.6,0.0,RB,15,2017,CAR
53.0,Tion Green,10.0,35.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,0.0,RB,15,2017,DET
54.0,Matt Forte,7.0,24.0,3.4,11.0,0.0,0.0,2.0,5.0,10.0,5.0,0.0,0.0,1.0,3.4,3.4,19.1,RB,15,2017,NYJ
55.0,Lamar Miller,9.0,32.0,3.6,11.0,0.0,0.0,2.0,4.0,1.0,0.5,0.0,0.0,1.0,3.3,3.3,0.0,RB,15,2017,HOU
56.0,Danny Woodhead,1.0,1.0,1.0,1.0,0.0,0.0,6.0,7.0,31.0,5.2,0.0,0.0,1.0,3.2,3.2,20.6,RB,15,2017,BAL
57.0,Jamaal Williams,10.0,30.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,58.2,RB,15,2017,GB
58.0,Shane Vereen,5.0,15.0,3.0,17.0,0.0,0.0,5.0,5.0,15.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,RB,15,2017,NYG
59.0,Derrick Henry,7.0,19.0,2.7,10.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,2.8,2.8,78.0,RB,15,2017,TEN
60.0,D.J. Foster,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,22.0,5.5,0.0,0.0,1.0,2.2,2.2,0.0,RB,15,2017,ARI
61.0,Jalen Richard,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,10.5,0.0,0.0,1.0,2.1,2.1,0.7,RB,15,2017,LV
62.0,Ameer Abdullah,1.0,8.0,8.0,8.0,0.0,0.0,3.0,4.0,13.0,4.3,0.0,0.0,1.0,2.1,2.1,10.4,RB,15,2017,DET
63.0,LeGarrette Blount,7.0,21.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.1,RB,15,2017,PHI
64.0,Kenjon Barner,2.0,21.0,10.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.0,RB,15,2017,PHI
65.0,DeAndre Washington,2.0,3.0,1.5,2.0,0.0,0.0,2.0,3.0,16.0,8.0,0.0,0.0,1.0,1.9,1.9,11.0,RB,15,2017,LV
66.0,Corey Clement,4.0,17.0,4.3,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.8,1.8,0.8,RB,15,2017,PHI
67.0,Tarik Cohen,2.0,1.0,0.5,4.0,0.0,0.0,4.0,6.0,16.0,4.0,0.0,0.0,1.0,1.7,1.7,3.0,RB,15,2017,CHI
68.0,Kyle Juszczyk,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,16.0,8.0,0.0,0.0,1.0,1.6,1.6,1.0,RB,15,2017,SF
69.0,Matt Breida,5.0,16.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,8.2,RB,15,2017,SF
70.0,Marlon Mack,6.0,14.0,2.3,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,1.6,RB,15,2017,IND
71.0,James Conner,3.0,13.0,4.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.3,94.6,RB,15,2017,PIT
72.0,Zach Line,2.0,8.0,4.0,5.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,1.3,1.3,0.0,RB,15,2017,NO
73.0,Brian Hill,5.0,12.0,2.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.1,RB,15,2017,CIN
74.0,Keith Smith,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,1.2,1.2,0.0,RB,15,2017,DAL
75.0,James White,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,4.0,0.0,0.0,1.0,0.8,0.8,7.9,RB,15,2017,NE
76.0,Charles Sims,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,1.5,0.0,0.0,1.0,0.6,0.6,0.0,RB,15,2017,TB
77.0,C.J. Ham,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,0.6,0.6,0.1,RB,15,2017,MIN
78.0,Patrick DiMarco,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,0.6,0.6,0.0,RB,15,2017,BUF
79.0,Charcandrick West,5.0,6.0,1.2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,RB,15,2017,KC
80.0,Fitzgerald Toussaint,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.0,RB,15,2017,PIT
81.0,Jay Prosch,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.3,0.3,0.0,RB,15,2017,HOU
82.0,Fozzy Whittaker,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.0,RB,15,2017,CAR
83.0,LeShun Daniels,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0,RB,15,2017,WAS
84.0,Michael Burton,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.1,RB,15,2017,CHI
244.0,Lawrence Thomas,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,15,2017,NYJ
302.0,Andy Janovich,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,-0.1,0.1,RB,15,2017,DEN
303.0,Austin Ekeler,2.0,13.0,6.5,13.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,1.0,1.0,-0.1,-0.1,99.9,RB,15,2017,LAC
