,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Washington Commanders(WAS),2,2,2,3,0,0,0,1,17.0,17.0,27.5%
1,2,Pittsburgh Steelers(PIT),5,1,1,1,1,0,0,1,15.0,15.0,44.6%
2,3,Green Bay Packers(GB),6,1,1,0,0,0,0,1,14.0,14.0,60.6%
3,4,Los Angeles Chargers(LAC),4,0,1,1,0,0,0,1,13.0,13.0,44.3%
4,5,Chicago Bears(CHI),6,2,1,3,0,0,0,1,12.0,12.0,35.9%
5,6,Buffalo Bills(BUF),3,2,0,0,0,0,0,1,11.0,11.0,95.9%
6,7,Kansas City Chiefs(KC),5,2,0,1,0,0,0,1,10.0,10.0,45.7%
7,8,New Orleans Saints(NO),4,2,0,0,0,0,0,1,9.0,9.0,79.3%
8,9,Tennessee Titans(TEN),3,0,0,0,0,0,0,1,7.0,7.0,48.4%
9,10,Cleveland Browns(CLE),2,0,2,2,0,0,0,1,7.0,7.0,40.8%
10,11,Los Angeles Rams(LAR),4,0,1,1,0,0,0,1,5.0,5.0,74.5%
11,12,Arizona Cardinals(ARI),5,0,0,1,0,0,0,1,5.0,5.0,60.9%
12,13,Dallas Cowboys(DAL),2,1,0,0,0,0,0,1,5.0,5.0,82.9%
13,14,Las Vegas Raiders(LV),1,1,0,0,0,0,0,1,4.0,4.0,7.6%
14,15,New York Giants(NYG),0,2,0,0,0,0,0,1,4.0,4.0,4.5%
15,16,Tampa Bay Buccaneers(TB),3,0,0,0,0,0,0,1,4.0,4.0,98.0%
16,17,Philadelphia Eagles(PHI),4,0,0,1,0,0,0,1,4.0,4.0,52.5%
17,18,Miami Dolphins(MIA),2,0,1,0,0,0,0,1,3.0,3.0,60.2%
18,19,Indianapolis Colts(IND),0,0,1,1,0,0,0,1,2.0,2.0,66.4%
19,20,New England Patriots(NE),2,0,0,1,0,0,0,1,1.0,1.0,93.2%
20,21,Atlanta Falcons(ATL),0,1,0,1,0,0,0,1,1.0,1.0,5.8%
21,22,San Francisco 49ers(SF),1,0,0,0,0,0,0,1,1.0,1.0,79.5%
22,23,Jacksonville Jaguars(JAC),0,1,0,0,0,0,0,1,1.0,1.0,6.9%
23,24,Denver Broncos(DEN),0,0,0,0,0,0,0,0,0,0,48.5%
24,25,Minnesota Vikings(MIN),0,0,0,0,0,0,0,0,0,0,28.0%
25,26,Detroit Lions(DET),1,0,0,0,0,0,0,1,0.0,0.0,1.1%
26,27,Baltimore Ravens(BAL),0,0,0,0,0,0,0,0,0,0,51.9%
27,28,Houston Texans(HOU),0,0,0,0,0,0,0,0,0,0,6.4%
28,29,Seattle Seahawks(SEA),2,0,0,0,0,0,0,1,-2.0,-2.0,39.4%
29,30,New York Jets(NYJ),1,0,0,1,0,0,0,1,-3.0,-3.0,3.3%
30,31,Carolina Panthers(CAR),1,0,0,0,0,0,0,1,-3.0,-3.0,27.8%
31,32,Cincinnati Bengals(CIN),0,0,0,0,0,0,0,1,-4.0,-4.0,14.7%
