,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,New York Jets(NYJ),0,5,0,0,1,0,1,1,20.0,20.0,3.3%
1,2,Minnesota Vikings(MIN),3,3,1,2,1,0,0,1,18.0,18.0,28.0%
2,3,Baltimore Ravens(BAL),6,2,0,0,0,0,0,1,17.0,17.0,51.9%
3,4,Los Angeles Rams(LAR),1,3,0,0,1,0,0,1,17.0,17.0,74.5%
4,5,Cleveland Browns(CLE),4,3,3,3,0,0,0,1,16.0,16.0,40.8%
5,6,Chicago Bears(CHI),4,1,1,2,1,0,0,1,14.0,14.0,35.9%
6,7,Washington Commanders(WAS),2,1,1,1,0,0,0,1,13.0,13.0,27.5%
7,8,Carolina Panthers(CAR),6,0,1,1,0,0,0,1,12.0,12.0,27.8%
8,9,Cincinnati Bengals(CIN),2,1,1,1,1,0,0,1,12.0,12.0,14.7%
9,10,Denver Broncos(DEN),6,2,1,2,0,0,0,1,12.0,12.0,48.5%
10,11,Jacksonville Jaguars(JAC),2,1,1,0,1,0,0,1,11.0,11.0,6.9%
11,12,Philadelphia Eagles(PHI),4,1,0,1,0,0,0,1,10.0,10.0,52.5%
12,13,Pittsburgh Steelers(PIT),7,1,0,1,0,0,0,1,9.0,9.0,44.6%
13,14,New England Patriots(NE),3,1,1,0,0,0,0,1,8.0,8.0,93.2%
14,15,Tampa Bay Buccaneers(TB),1,0,2,2,1,0,0,1,7.0,7.0,98.0%
15,16,Seattle Seahawks(SEA),1,3,0,0,0,0,0,1,7.0,7.0,39.4%
16,17,Miami Dolphins(MIA),0,3,0,0,0,0,1,1,7.0,7.0,60.2%
17,18,Green Bay Packers(GB),4,0,1,1,0,0,0,1,7.0,7.0,60.6%
18,19,Houston Texans(HOU),2,1,2,2,0,0,0,1,6.0,6.0,6.4%
19,20,Detroit Lions(DET),2,1,1,0,1,0,0,1,6.0,6.0,1.1%
20,21,San Francisco 49ers(SF),3,0,1,1,0,0,0,1,6.0,6.0,79.5%
21,22,Dallas Cowboys(DAL),3,0,1,2,0,0,0,1,6.0,6.0,82.9%
22,23,Atlanta Falcons(ATL),2,1,1,0,0,0,0,1,5.0,5.0,5.8%
23,24,Indianapolis Colts(IND),2,1,1,2,0,0,0,1,5.0,5.0,66.4%
24,25,Tennessee Titans(TEN),1,2,0,0,0,0,1,1,5.0,5.0,48.4%
25,26,Arizona Cardinals(ARI),3,0,1,2,0,0,0,1,5.0,5.0,60.9%
26,27,New York Giants(NYG),1,1,0,0,0,0,0,1,4.0,4.0,4.5%
27,28,Kansas City Chiefs(KC),1,1,1,0,0,0,1,1,2.0,2.0,45.7%
28,29,Las Vegas Raiders(LV),1,0,0,1,0,0,0,1,1.0,1.0,7.6%
29,30,Buffalo Bills(BUF),2,0,1,1,0,0,0,1,0.0,0.0,95.9%
30,31,Los Angeles Chargers(LAC),1,0,0,0,0,0,0,1,-3.0,-3.0,44.3%
31,32,New Orleans Saints(NO),0,0,0,1,0,0,0,1,-4.0,-4.0,79.3%
