,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,New England Patriots(NE),3,1,1,1,1,0,0,1,20.0,20.0,93.2%
1,2,Cincinnati Bengals(CIN),6,4,0,0,1,0,0,1,19.0,19.0,14.7%
2,3,Washington Commanders(WAS),7,2,0,0,0,0,0,1,15.0,15.0,27.5%
3,4,New Orleans Saints(NO),4,1,1,1,1,0,0,1,15.0,15.0,79.3%
4,5,San Francisco 49ers(SF),3,1,1,1,0,1,0,1,10.0,10.0,79.5%
5,6,Seattle Seahawks(SEA),3,1,2,0,0,0,0,1,10.0,10.0,39.4%
6,7,Kansas City Chiefs(KC),5,1,1,2,0,0,0,1,9.0,9.0,45.7%
7,8,Jacksonville Jaguars(JAC),4,1,1,1,0,0,0,1,8.0,8.0,6.9%
8,9,Carolina Panthers(CAR),2,2,1,1,0,0,0,1,8.0,8.0,27.8%
9,10,Los Angeles Rams(LAR),3,0,1,0,0,1,0,1,7.0,7.0,74.5%
10,11,Pittsburgh Steelers(PIT),2,1,0,0,0,1,0,1,7.0,7.0,44.6%
11,12,Philadelphia Eagles(PHI),4,0,1,1,0,0,0,1,7.0,7.0,52.5%
12,13,Arizona Cardinals(ARI),4,0,0,0,0,0,0,1,5.0,5.0,60.9%
13,14,Chicago Bears(CHI),1,0,0,0,0,0,0,1,5.0,5.0,35.9%
14,15,Green Bay Packers(GB),5,0,0,0,0,0,0,1,4.0,4.0,60.6%
15,16,Houston Texans(HOU),2,1,0,0,0,0,0,1,4.0,4.0,6.4%
16,17,Cleveland Browns(CLE),1,1,1,2,0,0,0,1,4.0,4.0,40.8%
17,18,Denver Broncos(DEN),2,1,0,0,0,0,0,1,3.0,3.0,48.5%
18,19,New York Giants(NYG),0,0,1,1,0,0,0,1,3.0,3.0,4.5%
19,20,Buffalo Bills(BUF),2,0,0,1,0,0,0,1,3.0,3.0,95.9%
20,21,Minnesota Vikings(MIN),0,1,0,0,0,0,0,1,2.0,2.0,28.0%
21,22,New York Jets(NYJ),2,0,0,0,0,0,0,1,2.0,2.0,3.3%
22,23,Indianapolis Colts(IND),0,0,1,1,0,0,0,1,1.0,1.0,66.4%
23,24,Tampa Bay Buccaneers(TB),2,0,0,0,0,0,0,1,1.0,1.0,98.0%
24,25,Detroit Lions(DET),2,0,0,0,0,0,0,1,1.0,1.0,1.1%
25,26,Atlanta Falcons(ATL),0,0,0,0,0,0,0,0,0,0,5.8%
26,27,Dallas Cowboys(DAL),0,0,0,0,0,0,0,0,0,0,82.9%
27,28,Los Angeles Chargers(LAC),0,0,0,0,0,0,0,0,0,0,44.3%
28,29,Tennessee Titans(TEN),0,0,0,0,0,0,0,0,0,0,48.4%
29,30,Las Vegas Raiders(LV),0,0,0,0,0,0,0,1,-4.0,-4.0,7.6%
30,31,Baltimore Ravens(BAL),0,0,0,0,0,0,0,1,-4.0,-4.0,51.9%
31,32,Miami Dolphins(MIA),0,0,0,0,0,0,0,1,-4.0,-4.0,60.2%
