,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Chicago Bears(CHI),4,3,1,1,2,0,0,1,28.0,28.0,35.9%
1,2,Miami Dolphins(MIA),4,4,0,0,1,0,0,1,25.0,25.0,60.2%
2,3,Minnesota Vikings(MIN),10,0,1,0,1,0,0,1,22.0,22.0,28.0%
3,4,San Francisco 49ers(SF),8,0,0,0,0,0,0,1,15.0,15.0,79.5%
4,5,Los Angeles Chargers(LAC),4,1,0,0,1,0,0,1,13.0,13.0,44.3%
5,6,Tennessee Titans(TEN),5,1,1,1,0,0,0,1,10.0,10.0,48.4%
6,7,New York Jets(NYJ),4,0,0,0,0,0,0,1,8.0,8.0,3.3%
7,8,Dallas Cowboys(DAL),4,0,2,1,0,0,0,1,7.0,7.0,82.9%
8,9,Atlanta Falcons(ATL),3,1,0,0,0,0,0,1,6.0,6.0,5.8%
9,10,Detroit Lions(DET),1,1,1,0,0,0,0,1,6.0,6.0,1.1%
10,11,Carolina Panthers(CAR),3,2,0,1,0,0,0,1,6.0,6.0,27.8%
11,12,Denver Broncos(DEN),4,0,0,0,0,0,0,1,5.0,5.0,48.5%
12,13,Houston Texans(HOU),2,0,1,1,0,0,0,1,5.0,5.0,6.4%
13,14,Kansas City Chiefs(KC),2,1,0,0,0,0,0,1,4.0,4.0,45.7%
14,15,New England Patriots(NE),1,0,1,2,0,0,0,1,4.0,4.0,93.2%
15,16,Seattle Seahawks(SEA),2,0,0,0,0,0,0,1,3.0,3.0,39.4%
16,17,Pittsburgh Steelers(PIT),2,0,0,0,0,0,0,1,3.0,3.0,44.6%
17,18,Buffalo Bills(BUF),1,1,0,1,0,0,0,1,2.0,2.0,95.9%
18,19,Green Bay Packers(GB),2,0,0,0,0,0,0,1,1.0,1.0,60.6%
19,20,Baltimore Ravens(BAL),1,0,0,0,0,0,0,1,1.0,1.0,51.9%
20,21,Philadelphia Eagles(PHI),0,0,0,0,0,0,0,0,0,0,52.5%
21,22,Arizona Cardinals(ARI),0,0,0,0,0,0,0,0,0,0,60.9%
22,23,New York Giants(NYG),0,0,0,0,0,0,0,0,0,0,4.5%
23,24,Jacksonville Jaguars(JAC),0,0,0,0,0,0,0,0,0,0,6.9%
24,25,Indianapolis Colts(IND),0,0,0,0,0,0,0,0,0,0,66.4%
25,26,Cleveland Browns(CLE),2,1,0,0,0,0,0,1,0.0,0.0,40.8%
26,27,Cincinnati Bengals(CIN),0,0,0,0,0,0,0,0,0,0,14.7%
27,28,Washington Commanders(WAS),2,1,0,0,0,0,0,1,0.0,0.0,27.5%
28,29,Las Vegas Raiders(LV),0,0,0,0,0,0,0,1,-1.0,-1.0,7.6%
29,30,New Orleans Saints(NO),0,1,0,0,0,0,0,1,-2.0,-2.0,79.3%
30,31,Los Angeles Rams(LAR),0,0,1,1,0,0,0,1,-2.0,-2.0,74.5%
31,32,Tampa Bay Buccaneers(TB),2,0,0,1,0,0,0,1,-2.0,-2.0,98.0%
