rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Matt Prater,3,3,100.0,53,0,0,0,2,1,4,4,1,17.0,17.0,52.8,ARI,K,3,2013
2,Justin Tucker,3,3,100.0,45,0,1,0,2,0,3,3,1,14.0,14.0,98.0,BAL,K,3,2013
3,Ryan Succop,4,5,80.0,38,0,0,4,0,0,2,2,1,14.0,14.0,57.4,TB,K,3,2013
4,Stephen Gostkowski,3,3,100.0,53,0,0,1,1,1,2,2,1,14.0,14.0,0.1,FA,K,3,2013
5,Mason Crosby,3,3,100.0,41,1,1,0,1,0,3,3,1,13.0,13.0,40.7,GB,K,3,2013
6,Robbie Gould,2,2,100.0,47,0,0,1,1,0,4,4,1,11.0,11.0,22.5,SF,K,3,2013
7,Graham Gano,1,1,100.0,53,0,0,0,0,1,5,5,1,10.0,10.0,31.4,NYG,K,3,2013
8,Nick Folk,2,2,100.0,47,0,0,1,1,0,3,3,1,10.0,10.0,81.8,NE,K,3,2013
9,Randy Bullock,3,3,100.0,47,0,2,0,1,0,0,0,1,10.0,10.0,10.8,TEN,K,3,2013
10,Stephen Hauschka,1,1,100.0,21,0,1,0,0,0,6,6,1,9.0,9.0,0.0,FA,K,3,2013
11,Dan Bailey,1,2,50.0,19,1,0,0,0,0,4,4,1,7.0,7.0,0.0,FA,K,3,2013
12,Mike Nugent,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,1.0,FA,K,3,2013
13,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,74.2,DAL,K,3,2013
14,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,3,2013
15,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,3,2013
16,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,3,2013
17,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,3,2013
18,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,3,2013
19,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,3,2013
20,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,3,2013
21,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,3,2013
22,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,3,2013
23,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,3,2013
24,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,3,2013
25,Adam Vinatieri,2,3,66.7,43,0,0,0,2,0,3,3,1,0.0,0.0,0.2,FA,K,3,2013
26,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,K,3,2013
