rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Dan Bailey,3,4,75.0,43,0,0,1,2,0,2,2,1,13.0,13.0,0.0,FA,K,6,2012
2,Stephen Gostkowski,3,3,100.0,35,0,1,2,0,0,2,2,1,11.0,11.0,0.1,FA,K,6,2012
3,Kai Forbath,1,1,100.0,50,0,0,0,0,1,5,5,1,10.0,10.0,3.0,LAR,K,6,2012
4,Greg Zuerlein,2,5,40.0,48,0,0,1,1,0,0,0,1,7.0,7.0,74.2,DAL,K,6,2012
5,Mike Nugent,1,1,100.0,44,0,0,0,1,0,3,3,1,7.0,7.0,1.0,FA,K,6,2012
6,Justin Tucker,1,1,100.0,38,0,0,1,0,0,4,4,1,7.0,7.0,98.0,BAL,K,6,2012
7,Mason Crosby,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,40.7,GB,K,6,2012
8,Stephen Hauschka,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,0.0,FA,K,6,2012
9,Nick Folk,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,81.8,NE,K,6,2012
10,Matt Prater,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,52.8,ARI,K,6,2012
11,Ryan Succop,1,1,100.0,38,0,0,1,0,0,1,1,1,4.0,4.0,57.4,TB,K,6,2012
12,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,6,2012
13,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,6,2012
14,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,6,2012
15,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,6,2012
16,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,6,2012
17,Adam Vinatieri,3,3,100.0,50,0,1,0,1,1,0,0,1,0.0,0.0,0.2,FA,K,6,2012
18,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,6,2012
19,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,6,2012
20,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,6,2012
21,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,6,2012
22,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,6,2012
23,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,K,6,2012
24,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,K,6,2012
25,Jason Myers,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.1,SEA,K,6,2012
26,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,K,6,2012
27,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,6,2012
28,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,HOU,K,6,2012
29,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NO,K,6,2012
30,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,K,6,2012
31,Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,PHI,K,6,2012
32,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,K,6,2012
33,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,6,2012
34,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,K,6,2012
35,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,K,6,2012
36,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,6,2012
37,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,K,6,2012
38,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,K,6,2012
39,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,K,6,2012
40,Dominik Eberle,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,6,2012
41,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,K,6,2012
42,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.3,MIA,K,6,2012
43,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,K,6,2012
44,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,K,6,2012
45,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,6,2012
46,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,6,2012
47,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,K,6,2012
48,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,K,6,2012
49,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,K,6,2012
50,Shaun Suisham,3,4,75.0,52,0,2,0,0,1,2,2,1,0.0,0.0,0.0,FA,K,6,2012
51,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,6,2012
52,Phil Dawson,2,2,100.0,41,0,0,1,1,0,4,4,1,0.0,0.0,0.1,FA,K,6,2012
53,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,6,2012
54,Rian Lindell,1,1,100.0,25,0,1,0,0,0,2,2,1,0.0,0.0,0.0,FA,K,6,2012
55,Rob Bironas,4,4,100.0,47,0,1,1,2,0,2,2,1,0.0,0.0,0.0,FA,K,6,2012
56,Robbie Gould,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,SF,K,6,2012
57,Sebastian Janikowski,2,2,100.0,52,0,1,0,0,1,2,2,1,0.0,0.0,20.0,FA,K,6,2012
58,Shayne Graham,1,1,100.0,51,0,0,0,0,1,3,3,1,0.0,0.0,0.0,FA,K,6,2012
59,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,6,2012
60,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,6,2012
61,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,6,2012
62,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,K,6,2012
63,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,K,6,2012
64,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,K,6,2012
65,Connor Barth,1,2,50.0,27,0,1,0,0,0,5,5,1,0.0,0.0,0.0,FA,K,6,2012
66,Dan Carpenter,1,1,100.0,42,0,0,0,1,0,2,2,1,0.0,0.0,0.2,FA,K,6,2012
67,David Akers,1,3,33.3,42,0,0,0,1,0,0,0,1,0.0,0.0,0.0,FA,K,6,2012
68,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,6,2012
69,Graham Gano,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.4,NYG,K,6,2012
70,Jay Feely,3,4,75.0,61,0,0,0,2,1,1,1,1,0.0,0.0,0.0,FA,K,6,2012
71,Matt Bryant,3,4,75.0,55,0,1,0,1,1,2,2,1,0.0,0.0,1.1,FA,K,6,2012
72,Lawrence Tynes,4,5,80.0,34,0,1,3,0,0,2,2,1,0.0,0.0,0.0,FA,K,6,2012
