rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Adrian Peterson,29.0,158.0,5.4,35.0,1.0,2.0,2.0,4.0,29.0,14.5,0.0,0.0,1.0,30.7,30.7,4.9,MIN,RB,12,2015
2.0,C.J. Anderson,15.0,113.0,7.5,48.0,1.0,2.0,4.0,4.0,40.0,10.0,0.0,0.0,1.0,27.3,27.3,1.0,DEN,RB,12,2015
3.0,Eddie Lacy,17.0,105.0,6.2,29.0,1.0,0.0,4.0,5.0,34.0,8.5,1.0,1.0,1.0,17.9,17.9,0.3,GB,RB,12,2015
4.0,DeAngelo Williams,8.0,29.0,3.6,7.0,0.0,1.0,7.0,7.0,88.0,12.6,0.0,0.0,1.0,17.7,17.7,0.1,PIT,RB,12,2015
5.0,Spencer Ware,19.0,114.0,6.0,35.0,1.0,1.0,3.0,3.0,1.0,0.3,0.0,0.0,1.0,17.5,17.5,0.0,KC,RB,12,2015
6.0,Chris Ivory,21.0,87.0,4.1,31.0,1.0,1.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,16.2,16.2,0.0,NYJ,RB,12,2015
7.0,Brandon Bolden,4.0,11.0,2.8,9.0,0.0,0.0,4.0,4.0,84.0,21.0,1.0,0.0,1.0,15.5,15.5,10.7,NE,RB,12,2015
8.0,Javorius Allen,12.0,55.0,4.6,21.0,1.0,0.0,4.0,5.0,29.0,7.3,1.0,0.0,1.0,14.4,14.4,0.1,BAL,RB,12,2015
9.0,Joique Bell,7.0,25.0,3.6,9.0,0.0,1.0,2.0,3.0,57.0,28.5,0.0,0.0,1.0,14.2,14.2,0.2,DET,RB,12,2015
10.0,Thomas Rawls,21.0,81.0,3.9,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.1,14.1,0.1,SEA,RB,12,2015
11.0,Alfred Blue,16.0,77.0,4.8,12.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,14.1,14.1,0.0,HOU,RB,12,2015
12.0,LeSean McCoy,19.0,70.0,3.7,12.0,0.0,0.0,3.0,5.0,31.0,10.3,1.0,1.0,1.0,14.1,14.1,2.0,BUF,RB,12,2015
13.0,Theo Riddick,2.0,6.0,3.0,3.0,0.0,0.0,5.0,5.0,62.0,12.4,1.0,0.0,1.0,12.8,12.8,0.0,DET,RB,12,2015
14.0,Ronnie Hillman,14.0,59.0,4.2,19.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.9,11.9,0.0,DEN,RB,12,2015
15.0,Jeremy Langford,12.0,48.0,4.0,14.0,0.0,1.0,1.0,3.0,5.0,5.0,0.0,0.0,1.0,11.3,11.3,0.0,CHI,RB,12,2015
16.0,Jeremy Hill,16.0,86.0,5.4,15.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,10.0,10.0,0.0,CIN,RB,12,2015
17.0,Doug Martin,14.0,97.0,6.9,56.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,9.8,9.8,0.0,TB,RB,12,2015
19.0,Tevin Coleman,18.0,110.0,6.1,46.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,18.5,ATL,RB,12,2015
20.0,Alfred Morris,23.0,78.0,3.4,9.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,9.0,9.0,0.0,WAS,RB,12,2015
21.0,David Johnson,8.0,21.0,2.6,10.0,0.0,1.0,2.0,4.0,8.0,4.0,0.0,0.0,1.0,8.9,8.9,35.4,ARI,RB,12,2015
22.0,Shaun Draughn,15.0,51.0,3.4,19.0,0.0,0.0,5.0,5.0,35.0,7.0,0.0,0.0,1.0,8.6,8.6,0.0,CIN,RB,12,2015
23.0,Latavius Murray,22.0,59.0,2.7,8.0,0.0,0.0,1.0,3.0,23.0,23.0,0.0,0.0,1.0,8.2,8.2,22.2,OAK,RB,12,2015
24.0,T.J. Yeldon,9.0,36.0,4.0,21.0,1.0,0.0,4.0,5.0,46.0,11.5,0.0,0.0,1.0,8.2,8.2,0.0,JAC,RB,12,2015
25.0,James Starks,7.0,39.0,5.6,10.0,0.0,0.0,4.0,5.0,41.0,10.3,0.0,0.0,1.0,8.0,8.0,0.0,GB,RB,12,2015
27.0,Jonathan Stewart,21.0,68.0,3.2,8.0,0.0,0.0,3.0,4.0,9.0,3.0,0.0,0.0,1.0,7.7,7.7,0.0,CAR,RB,12,2015
28.0,Darren McFadden,10.0,11.0,1.1,8.0,0.0,0.0,4.0,6.0,45.0,11.3,0.0,0.0,1.0,7.6,7.6,7.0,DAL,RB,12,2015
