Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Rashad Jennings(FA),27,170,6.3,35,3,1,2,5,6,3.0,0,0,1,23.6,23.6,0.0%
2,Ronnie Hillman(FA),15,117,7.8,23,3,1,2,3,10,5.0,0,0,1,18.7,18.7,0.0%
3,Jeremy Hill(FA),16,96,6.0,38,1,1,2,3,19,9.5,0,0,1,17.5,17.5,0.0%
4,Jonathan Grimes(FA),4,26,6.5,11,0,1,4,5,28,7.0,1,0,1,17.4,17.4,0.0%
5,Matt Forte(FA),17,76,4.5,13,0,0,3,3,34,11.3,1,0,1,17.0,17.0,19.1%
6,Tim Hightower(FA),16,66,4.1,11,0,1,5,5,41,8.2,0,0,1,16.7,16.7,0.0%
7,DuJuan Harris(FA),16,67,4.2,47,1,0,8,12,86,10.8,0,0,1,15.3,15.3,0.0%
8,Devonta Freeman(BAL),25,76,3.0,10,0,0,2,4,18,9.0,1,1,1,13.9,13.9,74.2%
9,Spencer Ware(FA),16,76,4.8,15,0,1,0,0,0,0,0,0,1,13.6,13.6,0.0%
10,David Cobb(FA),19,73,3.8,12,0,1,0,0,0,0,0,0,1,13.3,13.3,0.0%
11,C.J. Anderson(FA),15,95,6.3,27,1,1,1,3,-5,-5.0,0,1,1,13.0,13.0,1.0%
12,Adrian Peterson(SEA),19,67,3.5,10,0,1,1,1,1,1.0,0,0,1,12.8,12.8,4.9%
13,Darren McFadden(FA),12,92,7.7,30,2,0,5,8,53,10.6,0,1,1,12.5,12.5,7.0%
14,Cameron Artis-Payne(FA),14,44,3.1,11,0,1,2,2,17,8.5,0,0,1,12.1,12.1,0.0%
15,Steven Jackson(FA),14,35,2.5,6,0,1,1,1,20,20.0,0,0,1,11.5,11.5,0.0%
16,DeMarco Murray(FA),12,69,5.8,54,1,1,0,1,0,0,0,1,1,10.9,10.9,0.1%
17,Doug Martin(FA),15,48,3.2,30,1,0,7,7,60,8.6,0,0,1,10.8,10.8,0.0%
18,Darren Sproles(FA),3,24,8.0,13,0,1,3,3,20,6.7,0,0,1,10.4,10.4,0.1%
19,Tre Mason(FA),18,44,2.4,11,0,1,0,0,0,0,0,0,1,10.4,10.4,0.6%
20,Alfred Blue(FA),21,102,4.9,12,0,0,1,1,2,2.0,0,0,1,10.4,10.4,0.0%
21,Christine Michael(FA),17,102,6.0,45,1,0,0,1,0,0,0,0,1,10.2,10.2,0.0%
22,Alfred Morris(NYG),19,100,5.3,23,1,0,0,0,0,0,0,0,1,10.0,10.0,0.0%
23,Donald Brown(FA),21,81,3.9,20,1,0,2,3,10,5.0,0,0,1,9.1,9.1,0.0%
24,Charles Sims(FA),4,15,3.8,12,0,0,9,11,74,8.2,0,0,1,8.9,8.9,0.0%
25,Karlos Williams(FA),6,24,4.0,6,0,1,3,3,3,1.0,0,0,1,8.7,8.7,0.6%
26,Shane Vereen(FA),4,12,3.0,4,0,0,6,8,72,12.0,0,0,1,8.4,8.4,0.0%
27,Chris Ivory(FA),6,81,13.5,58,1,0,0,0,0,0,0,0,1,8.1,8.1,0.0%
28,Bryce Brown(FA),9,20,2.2,5,0,1,0,0,0,0,0,0,1,8.0,8.0,0.0%
29,Kyle Juszczyk(SF),0,0,0,0,0,0,2,2,18,9.0,1,0,1,7.8,7.8,1.0%
30,Frank Gore(FA),19,76,4.0,15,0,0,0,4,0,0,0,0,1,7.6,7.6,12.2%
31,Benny Cunningham Jr.(FA),4,38,9.5,40,1,0,3,3,34,11.3,0,0,1,7.2,7.2,0.0%
32,Javorius Allen(FA),15,38,2.5,14,0,0,6,10,32,5.3,0,0,1,7.0,7.0,0.1%
