player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,72,72,100,4,0,54,54,24.1,33.5,4,2015
Ben Roethlisberger,QB,PIT,1,60,60,100,0,0,67,67,10.3,17.2,4,2015
DeSean Jackson,WR,LAR,1,22,22,32,0,14,5,14,0.6,2.7,4,2015
Jared Cook,TE,LAC,1,39,39,52,0,18,15,18,13.0,33.3,4,2015
Marcedes Lewis,TE,GB,1,35,35,49,0,6,3,6,0.7,2.0,4,2015
Matt Ryan,QB,ATL,1,76,76,100,1,0,57,57,29.0,38.2,4,2015
Matthew Slater,WR,NE,1,1,1,2,0,0,0,0,0.0,0.0,4,2015
Matthew Stafford,QB,LAR,1,68,68,100,9,0,69,69,20.3,29.9,4,2015
Tom Brady,QB,TB,1,78,78,100,5,0,60,60,11.1,14.2,4,2015
Andre Roberts,WR,HOU,1,2,2,4,0,0,0,0,0.0,0.0,4,2015
Colt McCoy,QB,ARI,1,2,2,3,100,0,100,100,-0.2,-10.0,4,2015
Emmanuel Sanders,WR,BUF,1,51,51,72,2,12,12,14,8.1,15.9,4,2015
Antonio Brown,WR,TB,1,40,40,51,0,28,18,28,6.3,15.8,4,2015
A.J. Green,WR,ARI,1,67,67,86,0,9,7,9,12.7,19.0,4,2015
Mark Ingram II,RB,HOU,1,10,10,21,60,0,60,60,2.4,24.0,4,2015
Randall Cobb,WR,GB,1,33,33,46,0,18,15,18,18.9,57.3,4,2015
Kyle Rudolph,TE,NYG,1,37,37,59,0,8,5,8,2.4,6.5,4,2015
Ryan Tannehill,QB,TEN,1,100,100,100,3,0,52,52,18.8,18.8,4,2015
Kirk Cousins,QB,MIN,1,67,67,100,3,0,60,60,11.1,16.6,4,2015
Russell Wilson,QB,SEA,1,56,56,100,7,0,48,48,22.6,40.4,4,2015
Mohamed Sanu Sr.,WR,SF,1,39,39,51,0,13,10,13,3.5,9.0,4,2015
Marvin Jones Jr.,WR,JAC,1,52,52,93,0,6,6,6,2.4,4.6,4,2015
Brandon Bolden,RB,NE,1,19,19,32,5,32,37,37,5.1,26.8,4,2015
Cole Beasley,WR,BUF,1,36,36,51,0,6,6,6,1.6,4.4,4,2015
Chris Hogan,WR,NO,1,14,14,21,0,14,14,14,1.5,10.7,4,2015
Travis Kelce,TE,KC,1,59,59,88,0,10,7,10,2.3,3.9,4,2015
Marquise Goodwin,WR,CHI,1,29,29,50,3,7,3,10,0.1,0.3,4,2015
DeAndre Hopkins,WR,ARI,1,75,75,96,0,9,5,9,6.7,8.9,4,2015
Robert Woods,WR,LAR,1,65,65,96,0,9,6,9,10.8,16.6,4,2015
Kenny Stills,WR,NO,1,17,17,25,0,6,0,6,0.0,0.0,4,2015
Cordarrelle Patterson,RB,ATL,1,23,23,30,26,26,48,52,29.6,128.7,4,2015
Keenan Allen,WR,LAC,1,66,66,88,0,17,11,17,3.6,5.5,4,2015
Tavon Austin,WR,JAC,1,41,41,73,0,7,2,7,0.8,2.0,4,2015
Le'Veon Bell,RB,BAL,1,20,20,27,20,5,20,25,1.1,5.5,4,2015
Rex Burkhead,RB,HOU,1,3,3,6,33,0,33,33,-0.1,-3.3,4,2015
Zach Ertz,TE,PHI,1,37,37,50,0,22,16,22,6.0,16.2,4,2015
Kyle Juszczyk,RB,SF,1,62,62,82,0,6,6,6,4.1,6.6,4,2015
Latavius Murray,RB,BAL,1,45,45,62,40,0,40,40,11.9,26.4,4,2015
Ryan Griffin,TE,NYJ,1,35,35,57,0,11,3,11,0.8,2.3,4,2015
Demetrius Harris,TE,ARI,1,9,9,12,0,0,0,0,0.0,0.0,4,2015
Jack Doyle,TE,IND,1,21,21,30,0,5,5,5,2.4,11.4,4,2015
Teddy Bridgewater,QB,DEN,1,31,31,51,3,0,55,55,6.8,21.9,4,2015
Derek Carr,QB,LV,1,57,57,100,5,0,65,65,15.4,27.0,4,2015
Devonta Freeman,RB,BAL,1,6,6,8,17,0,17,17,0.4,6.7,4,2015
Sammy Watkins,WR,BAL,1,53,53,73,0,13,8,13,4.9,9.2,4,2015
Mike Evans,WR,TB,1,69,69,88,0,17,10,17,7.5,10.9,4,2015
Brandin Cooks,WR,HOU,1,41,41,87,0,17,12,17,4.7,11.5,4,2015
Davante Adams,WR,GB,1,63,63,88,0,17,10,17,6.4,10.2,4,2015
Allen Robinson II,WR,CHI,1,40,40,69,0,8,8,8,6.3,15.8,4,2015
Odell Beckham Jr.,WR,CLE,1,62,62,79,2,11,5,13,3.1,5.0,4,2015
Eric Ebron,TE,PIT,1,28,28,47,0,7,7,7,0.8,2.9,4,2015
Jimmy Garoppolo,QB,SF,1,37,37,49,0,0,62,62,9.6,25.9,4,2015
Jerick McKinnon,RB,KC,1,8,8,12,0,0,0,0,0.0,0.0,4,2015
Damien Williams,RB,CHI,1,19,19,33,42,11,53,53,13.0,68.4,4,2015
Albert Wilson,WR,MIA,1,25,25,48,0,8,4,8,1.1,4.4,4,2015
Willie Snead IV,WR,LV,1,5,5,9,0,20,20,20,1.5,30.0,4,2015
Keith Smith,RB,ATL,1,16,16,21,6,0,6,6,0.2,1.3,4,2015
Adam Thielen,WR,MIN,1,66,66,99,0,12,5,12,4.6,7.0,4,2015
Cameron Brate,TE,TB,1,50,50,64,0,12,4,12,2.9,5.8,4,2015
Diontae Spencer,WR,DEN,1,3,3,5,0,33,0,33,0.0,0.0,4,2015
Jameis Winston,QB,NO,1,60,60,88,0,0,38,38,13.0,21.7,4,2015
Amari Cooper,WR,DAL,1,29,29,48,0,10,10,10,12.9,44.5,4,2015
DeVante Parker,WR,MIA,1,47,47,90,0,19,9,19,13.7,29.1,4,2015
Melvin Gordon III,RB,DEN,1,30,30,49,30,13,37,43,6.7,22.3,4,2015
Maxx Williams,TE,ARI,1,45,45,58,0,11,11,11,12.6,28.0,4,2015
Ameer Abdullah,RB,MIN,1,5,5,7,0,20,20,20,0.2,4.0,4,2015
Tevin Coleman,RB,NYJ,1,11,11,18,36,18,55,55,3.1,28.2,4,2015
Taylor Heinicke,QB,WAS,1,67,67,100,7,0,57,57,27.9,41.6,4,2015
Mike Davis,RB,ATL,1,51,51,67,25,4,29,29,8.6,16.9,4,2015
David Johnson,RB,HOU,1,27,27,57,19,15,30,33,4.8,17.8,4,2015
Malcolm Brown,RB,MIA,1,35,35,67,23,3,26,26,2.7,7.7,4,2015
Tyler Kroft,TE,NYJ,1,46,46,75,0,2,0,2,0.0,0.0,4,2015
MyCole Pruitt,TE,TEN,1,28,28,28,0,4,4,4,3.4,12.1,4,2015
Nelson Agholor,WR,NE,1,43,43,73,2,12,9,14,5.9,13.7,4,2015
Tyler Lockett,WR,SEA,1,48,48,86,0,10,8,10,2.4,5.0,4,2015
Jamison Crowder,WR,NYJ,1,38,38,62,0,24,18,24,12.1,31.8,4,2015
Ty Montgomery,RB,NO,1,34,34,50,6,9,15,15,4.9,14.4,4,2015
Stefon Diggs,WR,BUF,1,53,53,75,0,21,13,21,11.4,21.5,4,2015
Chris Manhertz,TE,JAC,1,24,24,43,0,4,4,4,0.7,2.9,4,2015
Jake Kumerow,WR,BUF,1,12,12,17,0,0,0,0,0.0,0.0,4,2015
C.J. Uzomah,TE,CIN,1,48,48,83,0,13,10,13,21.5,44.8,4,2015
DeAndre Carter,WR,WAS,1,11,11,16,0,9,9,9,8.4,76.4,4,2015
Darren Waller,TE,LV,1,53,53,93,0,13,8,13,11.0,20.8,4,2015
Chris Conley,WR,HOU,1,41,41,87,0,2,0,2,0.0,0.0,4,2015
Geoff Swaim,TE,TEN,1,32,32,32,0,3,0,3,0.0,0.0,4,2015
Michael Burton,RB,KC,1,4,4,6,25,0,25,25,0.5,12.5,4,2015
Adam Humphries,WR,WAS,1,45,45,67,0,2,2,2,1.9,4.2,4,2015
Ezekiel Elliott,RB,DAL,1,46,46,75,43,2,43,46,20.3,44.1,4,2015
Jared Goff,QB,DET,1,71,71,100,4,0,58,58,16.8,23.7,4,2015
Derrick Henry,RB,TEN,1,59,59,59,56,3,59,59,23.7,40.2,4,2015
Carson Wentz,QB,IND,1,71,71,100,7,0,52,52,17.9,25.2,4,2015
Alex Collins,RB,SEA,1,22,22,39,45,9,55,55,13.8,62.7,4,2015
Tyler Boyd,WR,CIN,1,36,36,62,0,31,25,31,11.8,32.8,4,2015
Devontae Booker,RB,NYG,1,7,7,11,14,14,29,29,1.2,17.1,4,2015
Hunter Henry,TE,NE,1,40,40,68,0,13,10,13,9.2,23.0,4,2015
Austin Hooper,TE,CLE,1,56,56,72,0,9,2,9,1.1,2.0,4,2015
Rashard Higgins,WR,CLE,1,41,41,53,0,17,10,17,6.3,15.4,4,2015
Tajae Sharpe,WR,ATL,1,21,21,28,0,10,10,10,1.5,7.1,4,2015
Dak Prescott,QB,DAL,1,61,61,100,7,0,43,43,27.0,44.3,4,2015
Tyler Higbee,TE,LAR,1,54,54,79,0,11,7,11,3.6,6.7,4,2015
William Fuller V,WR,MIA,1,14,14,27,0,14,7,14,0.6,4.3,4,2015
Kenyan Drake,RB,LV,1,20,20,35,5,0,5,5,0.2,1.0,4,2015
Jacoby Brissett,QB,MIA,1,52,52,100,6,0,63,63,14.8,28.5,4,2015
Robby Anderson,WR,CAR,1,59,59,84,2,19,10,20,4.9,8.3,4,2015
Alex Erickson,WR,CAR,1,8,8,11,0,0,0,0,0.0,0.0,4,2015
Stephen Anderson,TE,LAC,1,23,23,31,0,4,4,4,3.4,14.8,4,2015
Andy Janovich,RB,CLE,1,5,5,6,0,0,0,0,2.0,40.0,4,2015
Derek Watt,RB,PIT,1,2,2,3,0,0,0,0,0.0,0.0,4,2015
Tyreek Hill,WR,KC,1,54,54,81,0,22,20,22,36.6,67.8,4,2015
Dwayne Washington,RB,NO,1,5,5,7,20,20,40,40,1.1,22.0,4,2015
Mike Thomas,WR,CIN,1,18,18,31,0,6,6,6,0.0,0.0,4,2015
Peyton Barber,RB,LV,1,1,1,2,100,0,100,100,0.0,0.0,4,2015
J.P. Holtz,TE,CHI,1,11,11,19,0,0,0,0,0.0,0.0,4,2015
Chester Rogers,WR,TEN,1,66,66,66,0,9,8,9,6.3,9.5,4,2015
Kalif Raymond,WR,DET,1,53,53,75,0,11,6,11,16.6,31.3,4,2015
Jaydon Mickens,WR,TB,1,3,3,4,0,0,0,0,0.0,0.0,4,2015
C.J. Ham,RB,MIN,1,21,21,31,5,0,5,5,0.1,0.5,4,2015
J.D. McKissic,RB,WAS,1,27,27,40,26,19,44,44,11.9,44.1,4,2015
Garrett Griffin,TE,NO,1,17,17,25,0,0,0,0,0.0,0.0,4,2015
Dalvin Cook,RB,MIN,1,33,33,49,27,18,33,45,4.4,13.3,4,2015
Mike Williams,WR,LAC,1,64,64,85,0,6,2,6,1.1,1.7,4,2015
