Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Kyler Murray(ARI),21,26,80.8,283,10.9,3,0,1,11,106,1,1,1,37.9,37.9,99.3%
2,Josh Allen(BUF),31,38,81.6,415,10.9,3,0,7,7,14,1,0,1,36.0,36.0,100.0%
3,Patrick Mahomes II(KC),30,45,66.7,372,8.3,4,0,2,1,6,0,0,1,31.5,31.5,100.0%
4,Drew Lock(SEA),25,48,52.1,313,6.5,2,1,1,7,47,1,0,1,30.2,30.2,1.5%
5,Aaron Rodgers(GB),25,31,80.6,305,9.8,4,0,1,1,7,0,0,1,28.9,28.9,97.4%
6,Teddy Bridgewater(DEN),36,49,73.5,310,6.3,2,0,2,2,19,1,0,1,28.3,28.3,15.6%
7,Ben Roethlisberger(FA),29,42,69.0,306,7.3,3,0,0,1,8,0,0,1,25.0,25.0,23.8%
8,Cam Newton(CAR),27,35,77.1,274,7.8,0,0,0,10,16,2,0,1,24.6,24.6,20.3%
9,Deshaun Watson(HOU),19,32,59.4,281,8.8,2,0,2,10,50,0,0,1,24.2,24.2,5.0%
10,Russell Wilson(DEN),28,41,68.3,390,9.5,2,2,5,2,5,1,2,1,24.1,24.1,90.4%
11,Justin Herbert(LAC),28,42,66.7,326,7.8,2,0,2,5,24,0,0,1,23.4,23.4,98.8%
12,Matt Ryan(ATL),25,35,71.4,284,8.1,3,1,2,3,10,0,0,1,23.4,23.4,36.3%
13,Drew Brees(FA),26,32,81.3,222,6.9,4,0,1,2,-2,0,1,1,22.7,22.7,35.7%
14,Jake Luton(JAC),26,38,68.4,304,8.0,1,1,2,1,13,1,0,1,22.5,22.5,0.0%
15,Nick Foles(CHI),36,52,69.2,335,6.4,2,0,3,2,2,0,0,1,21.6,21.6,0.7%
16,Joe Flacco(NYJ),18,25,72.0,262,10.5,3,1,1,0,0,0,0,1,21.5,21.5,0.3%
17,Tua Tagovailoa(MIA),20,28,71.4,248,8.9,2,0,3,7,35,0,0,1,21.4,21.4,44.2%
18,Kirk Cousins(MIN),13,20,65.0,220,11.0,3,0,1,0,0,0,0,1,20.8,20.8,70.7%
19,Lamar Jackson(BAL),19,23,82.6,170,7.4,0,0,2,13,58,1,0,1,18.6,18.6,94.0%
20,Garrett Gilbert(WAS),21,38,55.3,243,6.4,1,1,2,3,28,0,0,1,15.5,15.5,0.1%
21,Ryan Tannehill(TEN),10,21,47.6,158,7.5,2,0,3,3,3,0,0,1,14.6,14.6,62.7%
22,Alex Smith(FA),24,32,75.0,325,10.2,1,3,2,0,0,0,0,1,14.0,14.0,5.0%
23,Derek Carr(LV),13,23,56.5,165,7.2,2,0,1,2,14,0,1,1,14.0,14.0,58.1%
24,Daniel Jones(NYG),23,34,67.6,212,6.2,1,0,5,6,4,0,0,1,12.9,12.9,13.6%
25,Nick Mullens(CLE),22,35,62.9,291,8.3,1,1,1,1,0,0,1,1,12.6,12.6,0.3%
26,Matthew Stafford(LAR),23,32,71.9,211,6.6,1,2,2,0,0,0,0,1,10.4,10.4,97.2%
27,Taysom Hill(NO),2,2,100.0,48,24.0,0,0,0,7,54,0,0,1,9.4,9.4,53.2%
28,Philip Rivers(FA),25,43,58.1,227,5.3,0,1,0,0,0,0,0,1,8.1,8.1,20.6%
