Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Devonta Freeman(BAL),20,139,7.0,34,2,3,2,2,16,8.0,0,1,1,31.5,31.5,74.2%
2,LeSean McCoy(FA),19,153,8.1,24,2,2,3,3,16,5.3,0,0,1,28.9,28.9,2.0%
3,Ezekiel Elliott(DAL),23,159,6.9,42,2,1,3,3,29,9.7,0,0,1,24.8,24.8,99.7%
4,David Johnson(HOU),12,53,4.4,13,0,2,4,5,55,13.8,0,0,1,22.8,22.8,35.4%
5,Ryan Mathews(FA),20,128,6.4,19,0,1,1,1,5,5.0,0,0,1,21.3,21.3,0.0%
6,Derrick Henry(TEN),9,58,6.4,15,0,2,0,0,0,0,0,0,1,17.8,17.8,78.0%
7,Robert Turbin(FA),7,32,4.6,12,0,2,2,2,22,11.0,0,0,1,17.4,17.4,0.0%
8,Jordan Howard(PHI),17,90,5.3,13,0,1,4,4,23,5.8,0,0,1,17.3,17.3,18.7%
9,Tim Hightower(FA),11,37,3.4,9,0,2,3,3,11,3.7,0,0,1,16.8,16.8,0.0%
10,Bilal Powell(FA),16,84,5.3,13,0,0,11,12,78,7.1,0,0,1,16.2,16.2,0.0%
11,Lamar Miller(FA),22,63,2.9,11,0,1,2,2,26,13.0,0,0,1,14.9,14.9,0.0%
12,DeMarco Murray(FA),18,89,4.9,12,0,0,5,6,52,10.4,0,0,1,14.1,14.1,0.1%
13,Jonathan Stewart(FA),25,132,5.3,34,1,0,1,2,8,8.0,0,0,1,14.0,14.0,0.0%
14,Le'Veon Bell(FA),23,93,4.0,12,0,0,5,8,38,7.6,0,0,1,13.1,13.1,5.4%
15,Kerwynn Williams(FA),3,63,21.0,49,1,1,0,0,0,0,0,0,1,12.3,12.3,0.0%
16,Terrance West(FA),13,77,5.9,41,1,0,4,4,45,11.3,0,0,1,12.2,12.2,0.0%
17,Robert Kelley(FA),9,8,0.9,5,0,1,4,4,47,11.8,0,0,1,11.5,11.5,0.0%
18,Frank Gore(FA),26,101,3.9,9,0,0,4,4,14,3.5,0,0,1,11.5,11.5,12.2%
19,Jeremy Hill(FA),20,43,2.2,12,0,1,1,1,8,8.0,0,0,1,11.1,11.1,0.0%
20,Travaris Cadet(FA),1,16,16.0,16,0,0,5,5,30,6.0,1,0,1,10.6,10.6,0.0%
21,Christine Michael(FA),4,45,11.3,42,1,1,0,0,0,0,0,0,1,10.5,10.5,0.0%
22,Dion Lewis(FA),18,95,5.3,14,0,0,2,3,9,4.5,0,0,1,10.4,10.4,2.0%
23,Mike Tolbert(FA),2,13,6.5,10,0,0,3,3,28,9.3,1,0,1,10.1,10.1,0.0%
24,Mike Gillislee(FA),9,37,4.1,8,0,1,0,0,0,0,0,0,1,9.7,9.7,0.0%
25,Kenneth Dixon(FA),9,36,4.0,16,0,1,0,1,0,0,0,0,1,9.6,9.6,0.1%
26,Spencer Ware(FA),18,69,3.8,9,0,0,3,3,25,8.3,0,0,1,9.5,9.5,0.0%
27,Duke Johnson Jr.(MIA),5,31,6.2,13,0,0,5,7,62,12.4,0,0,1,9.3,9.3,7.4%
28,Mark Ingram II(NO),17,78,4.6,14,0,0,2,4,14,7.0,0,0,1,9.2,9.2,39.1%
29,LeGarrette Blount(FA),17,31,1.8,5,0,1,0,0,0,0,0,0,1,9.1,9.1,0.1%
30,Latavius Murray(BAL),13,81,6.2,33,2,0,1,1,11,11.0,0,1,1,7.2,7.2,22.2%
31,Jerick McKinnon(KC),3,12,4.0,6,0,0,9,9,59,6.6,0,0,1,7.1,7.1,0.8%
32,Tevin Coleman(NYJ),14,58,4.1,29,2,0,2,2,8,4.0,0,0,1,6.6,6.6,18.5%
33,T.J. Yeldon(FA),8,28,3.5,12,0,0,5,7,34,6.8,0,0,1,6.2,6.2,0.0%
34,Carlos Hyde(JAC),13,71,5.5,17,0,0,1,3,6,6.0,0,1,1,5.7,5.7,6.9%
35,Paul Perkins(FA),11,56,5.1,11,0,0,0,1,0,0,0,0,1,5.6,5.6,0.0%
36,Justin Forsett(FA),10,37,3.7,13,0,0,4,5,16,4.0,0,0,1,5.3,5.3,0.0%
37,Terron Ward(FA),6,52,8.7,45,1,0,0,0,0,0,0,0,1,5.2,5.2,0.0%
38,Jay Ajayi(FA),19,51,2.7,8,0,0,0,0,0,0,0,0,1,5.1,5.1,7.0%
39,Rex Burkhead(HOU),7,32,4.6,10,0,0,2,3,18,9.0,0,0,1,5.0,5.0,31.5%
40,Jalen Richard(FA),6,36,6.0,23,1,0,4,5,13,3.3,0,0,1,4.9,4.9,0.7%
41,Zach Zenner(FA),3,12,4.0,7,0,0,4,5,52,13.0,0,1,1,4.4,4.4,0.0%
42,Chris Ivory(FA),10,44,4.4,17,0,0,0,1,0,0,0,0,1,4.4,4.4,0.0%
43,Doug Martin(FA),16,42,2.6,8,0,0,0,0,0,0,0,0,1,4.2,4.2,0.0%
44,Dwayne Washington(NO),14,31,2.2,12,0,0,2,4,9,4.5,0,0,1,4.0,4.0,0.1%
45,Thomas Rawls(FA),21,34,1.6,12,0,0,2,2,5,2.5,0,0,1,3.9,3.9,0.1%
46,Rashad Jennings(FA),18,38,2.1,6,0,0,0,0,0,0,0,0,1,3.8,3.8,0.0%
47,Chris Thompson(FA),2,10,5.0,6,0,0,5,7,26,5.2,0,0,1,3.6,3.6,0.0%
48,Todd Gurley II(FA),14,38,2.7,22,1,0,1,4,-2,-2.0,0,0,1,3.6,3.6,0.4%
49,James White(NE),3,11,3.7,8,0,0,3,8,24,8.0,0,0,1,3.5,3.5,7.9%
50,DeAndre Washington(FA),5,23,4.6,12,0,0,1,3,11,11.0,0,0,1,3.4,3.4,11.0%
51,Ronnie Hillman(FA),7,34,4.9,17,0,0,0,0,0,0,0,0,1,3.4,3.4,0.0%
52,Devontae Booker(FA),6,17,2.8,5,0,0,2,3,16,8.0,0,0,1,3.3,3.3,23.3%
53,Kenneth Farrow(FA),15,39,2.6,6,0,0,2,3,14,7.0,0,1,1,3.3,3.3,0.0%
54,Kenjon Barner(TB),3,6,2.0,2,0,0,2,5,25,12.5,0,0,1,3.1,3.1,0.0%
55,Isaiah Crowell(FA),8,28,3.5,25,1,0,0,2,0,0,0,0,1,2.8,2.8,0.1%
56,Fozzy Whittaker(FA),3,3,1.0,2,0,0,1,1,25,25.0,0,0,1,2.8,2.8,0.0%
57,Matt Forte(FA),4,21,5.3,8,0,0,1,1,7,7.0,0,0,1,2.8,2.8,19.1%
58,Jeremy Langford(FA),1,4,4.0,4,0,0,1,1,18,18.0,0,0,1,2.2,2.2,0.0%
59,Shane Vereen(FA),2,11,5.5,8,0,0,2,4,9,4.5,0,0,1,2.0,2.0,0.0%
60,Lance Dunbar(FA),0,0,0,0,0,0,2,2,20,10.0,0,0,1,2.0,2.0,0.0%
61,Matt Asiata(FA),0,0,0,0,0,0,1,1,20,20.0,0,0,1,2.0,2.0,0.0%
62,Charles Sims(FA),3,4,1.3,8,0,0,3,5,15,5.0,0,0,1,1.9,1.9,0.0%
63,Jordan Todman(FA),4,19,4.8,12,0,0,0,0,0,0,0,0,1,1.9,1.9,0.0%
64,Danny Vitale(FA),0,0,0,0,0,0,1,1,17,17.0,0,0,1,1.7,1.7,0.0%
65,Kenyan Drake(LV),5,16,3.2,16,0,0,0,0,0,0,0,0,1,1.6,1.6,29.4%
66,Jonathan Grimes(FA),1,3,3.0,3,0,0,2,3,12,6.0,0,0,1,1.5,1.5,0.0%
67,Shaun Draughn(FA),4,15,3.8,9,0,0,0,0,0,0,0,0,1,1.5,1.5,0.0%
68,Kyle Juszczyk(SF),0,0,0,0,0,0,3,4,15,5.0,0,0,1,1.5,1.5,1.0%
69,Akeem Hunt(FA),3,15,5.0,7,0,0,0,0,0,0,0,0,1,1.5,1.5,0.0%
70,James Develin(FA),0,0,0,0,0,0,1,1,13,13.0,0,0,1,1.3,1.3,0.0%
71,Jerome Felton(FA),0,0,0,0,0,0,1,1,12,12.0,0,0,1,1.2,1.2,0.0%
72,Jamize Olawale(DAL),0,0,0,0,0,0,1,1,12,12.0,0,0,1,1.2,1.2,0.0%
73,Jonathan Williams(WAS),3,10,3.3,5,0,0,0,0,0,0,0,0,1,1.0,1.0,0.6%
74,Marcel Reece(FA),1,0,0.0,0,0,0,1,1,9,9.0,0,0,1,0.9,0.9,0.0%
75,Andre Ellington(FA),0,0,0,0,0,0,1,1,9,9.0,0,0,1,0.9,0.9,0.1%
76,Malcolm Brown(MIA),1,-4,-4.0,0,0,0,1,1,12,12.0,0,0,1,0.8,0.8,3.6%
77,Darren McFadden(FA),3,10,3.3,7,0,0,1,1,-2,-2.0,0,0,1,0.8,0.8,7.0%
78,Alfred Blue(FA),1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,0.5,0.5,0.0%
79,Charcandrick West(FA),4,5,1.3,3,0,0,0,0,0,0,0,0,1,0.5,0.5,0.0%
80,Adrian Peterson(SEA),6,22,3.7,13,0,0,1,1,1,1.0,0,1,1,0.3,0.3,4.9%
81,Jalston Fowler(FA),1,3,3.0,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0%
82,John Kuhn(FA),1,1,1.0,1,0,0,2,2,1,0.5,0,0,1,0.2,0.2,0.0%
83,Ka'Deem Carey(FA),1,1,1.0,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.0%
84,Josh Ferguson(FA),2,1,0.5,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.0%
85,Chuba Hubbard(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1%
86,Demetric Felton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
87,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
88,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
89,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
90,Mekhi Sargent(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5%
91,Pete Guerriero(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
92,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
93,Gabe Nabers(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
95,Josh Hokit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
96,Jermar Jefferson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
97,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
98,Pooka Williams Jr.(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,Deon Jackson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
100,Jaret Patterson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7%
101,Sandro Platzgummer(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,Trey Ragas(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,Devin Singletary(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1%
104,Ty Johnson(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8%
105,Patrick Laird(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
106,Elijah Holyfield(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
107,Miles Sanders(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0%
108,Josh Jacobs(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0%
109,Justice Hill(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
110,David Montgomery(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7%
111,Damien Harris(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
112,Dalyn Dawkins(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
113,Trayveon Williams(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
114,Alexander Mattison(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0%
115,Darwin Thompson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
116,Mike Weber(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
117,Damarea Crockett(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
118,Travis Homer(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
119,Benny Snell Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
120,Dexter Williams(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
121,Darrell Henderson Jr.(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0%
122,Alec Ingold(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
123,Trevon Wesco(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
124,Ryquell Armstead(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
125,Aca'Cedric Ware(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
126,Qadree Ollison(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
127,Mike Boone(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
128,Ryan Nall(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
129,Gus Edwards(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6%
130,Buddy Howell(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
131,Boston Scott(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7%
132,Reggie Bonnafon(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
133,Dontrell Hilliard(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5%
134,Johnny Stanton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
135,Jeff Wilson Jr.(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1%
136,Sewo Olonilua(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
137,Salvon Ahmed(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
138,Adrian Killins Jr.(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
139,Darius Bradwell(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
140,Tony Jones Jr.(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9%
141,Darius Anderson(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
142,DeeJay Dallas(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3%
143,Joshua Kelley(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
144,J.J. Taylor(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
145,Tavien Feaster(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
146,Javon Leake(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
147,Trey Sermon(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9%
148,Darrynton Evans(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
149,Michael Warren II(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
150,Caleb Huntley(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
151,Eno Benjamin(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
152,Antonio Gibson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9%
153,Jason Huntley(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
154,Rico Dowdle(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
155,Ty'Son Williams(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2%
156,James Robinson(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3%
157,JaMycal Hasty(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2%
158,Raymond Calais(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
159,Larry Rountree III(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
160,Scottie Phillips(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
161,Patrick Taylor Jr.(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
162,Anthony McFarland Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
163,AJ Dillon(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4%
164,Devine Ozigbo(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
165,Khari Blasingame(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
166,John Lovett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
167,Andrew Beck(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
168,Tony Pollard(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3%
169,Cullen Gillaspia(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
170,Jakob Johnson(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
171,Sutton Smith(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
172,Austin Walter(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
173,Ke'Shawn Vaughn(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
174,Jonathan Taylor(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%
175,La'Mical Perine(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
176,Clyde Edwards-Helaire(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8%
177,Kylin Hill(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
178,Najee Harris(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
179,Cam Akers(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8%
180,Zack Moss(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8%
181,J.K. Dobbins(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3%
182,Travis Etienne Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
183,D'Andre Swift(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2%
184,Derrick Gore(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0%
185,D'Ernest Johnson(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7%
