,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Mike Nugent(FA),5,5,100.0,47,0,2,0,3,0,1,1,1,19.0,19.0,1.0%
1,2,Jason Myers(SEA),3,3,100.0,49,0,1,0,2,0,3,3,1,14.0,14.0,22.1%
2,3,Matt Bryant(FA),2,2,100.0,53,0,1,0,0,1,6,6,1,14.0,14.0,1.1%
3,4,Adam Vinatieri(FA),2,2,100.0,53,0,0,0,1,1,3,3,1,12.0,12.0,0.2%
4,5,Nick Novak(FA),2,3,66.7,53,0,0,0,1,1,3,3,1,12.0,12.0,0.1%
5,6,Dan Carpenter(FA),3,4,75.0,44,0,0,1,2,0,1,1,1,12.0,12.0,0.2%
6,7,Josh Lambo(FA),2,2,100.0,47,0,0,1,1,0,4,4,1,11.0,11.0,3.2%
7,8,Stephen Hauschka(FA),2,2,100.0,53,0,0,1,0,1,3,3,1,11.0,11.0,0.0%
8,9,Cody Parkey(FA),2,2,100.0,51,0,0,0,1,1,2,2,1,11.0,11.0,0.4%
9,10,Brandon McManus(DEN),2,2,100.0,38,0,1,1,0,0,3,3,1,9.0,9.0,44.3%
10,11,Ryan Succop(TB),2,2,100.0,48,0,1,0,1,0,2,2,1,9.0,9.0,57.4%
11,12,Matt Prater(ARI),2,2,100.0,50,0,1,0,0,1,0,0,1,8.0,8.0,52.8%
12,13,Justin Tucker(BAL),2,2,100.0,43,0,1,0,1,0,1,1,1,8.0,8.0,98.0%
13,14,Dustin Hopkins(LAC),1,1,100.0,49,0,0,0,1,0,4,4,1,8.0,8.0,14.5%
14,15,Blair Walsh(FA),1,2,50.0,44,0,0,0,1,0,3,3,1,7.0,7.0,0.1%
15,16,Chandler Catanzaro(FA),2,2,100.0,25,0,2,0,0,0,1,1,1,7.0,7.0,0.0%
16,17,Graham Gano(NYG),1,1,100.0,54,0,0,0,0,1,2,2,1,7.0,7.0,31.4%
17,18,Dan Bailey(FA),1,2,50.0,22,0,1,0,0,0,3,3,1,6.0,6.0,0.0%
18,19,Nick Folk(NE),1,1,100.0,34,0,0,1,0,0,2,2,1,5.0,5.0,81.8%
19,20,Connor Barth(FA),1,2,50.0,25,0,1,0,0,0,2,2,1,5.0,5.0,0.0%
20,21,Wil Lutz(NO),0,0,0,0,0,0,0,0,0,5,5,1,5.0,5.0,3.3%
21,22,Phil Dawson(FA),1,1,100.0,36,0,0,1,0,0,2,2,1,5.0,5.0,0.1%
22,23,Josh Brown(FA),1,1,100.0,40,0,0,0,1,0,1,1,1,5.0,5.0,0.0%
23,24,Greg Zuerlein(DAL),1,1,100.0,29,0,1,0,0,0,2,2,1,5.0,5.0,74.2%
24,25,Chris Boswell(PIT),0,0,0,0,0,0,0,0,0,5,5,1,5.0,5.0,51.0%
25,26,Sebastian Janikowski(FA),0,0,0,0,0,0,0,0,0,4,4,1,4.0,4.0,20.0%
26,27,Cairo Santos(CHI),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,2.1%
27,28,Andrew Franks(FA),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%
28,29,Roberto Aguayo(FA),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%
29,30,Greg Joseph(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1%
30,31,Michael Badgley(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9%
31,32,Ryan Santoso(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
32,33,Matt Gay(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
33,34,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
34,35,Austin Seibert(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
35,36,Matthew Wright(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
36,37,Harrison Butker(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6%
37,38,Eddy Pineiro(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
38,39,Ka'imi Fairbairn(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
39,40,Jason Sanders(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6%
40,41,Jonathan Brown(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
41,42,Sam Ficken(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,43,Jake Elliott(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5%
43,44,Zane Gonzalez(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%
44,45,Chase McLaughlin(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1%
45,46,Younghoe Koo(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9%
46,47,Daniel Carlson(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3%
47,48,Joey Slye(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
48,49,Jake Verity(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,50,Cameron Nizialek(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,51,Evan McPherson(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2%
51,52,Riley Patterson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
52,53,Alex Kessman(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Jose Borregales(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Quinn Nordin(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
55,56,Chris Naggar(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
56,57,Brian Johnson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6%
57,58,Rodrigo Blankenship(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1%
58,59,Tyler Bass(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8%
59,60,JJ Molson(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
60,61,Sam Sloman(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,62,Matt Ammendola(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
62,63,Lirim Hajrullahu(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
63,64,Austin MacGinnis(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,65,Ty Long(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
65,66,Steven Weatherford(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,67,Parker Douglass(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,68,Piotr Czech(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
68,69,Robbie Gould(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5%
69,70,Stephen Gostkowski(FA),0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
70,71,Zac Derr(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
71,72,Ricky Schmit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
72,73,Andrew Wellock(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
73,74,Carlos Martinez(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,75,Garrett Rivas(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
75,76,Jason Reda(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
76,77,MacKenzie Hoambrecker(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
77,78,Mark Hickok(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
78,79,Mason Crosby(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7%
79,80,Brett Maher(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
80,81,Andrew Jacas(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
