,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
56,57,James O'Shaughnessy(JAC),24,38,214,8.9,17,0,0,0,0,0,0,14,21.4,1.5,1.7%
57,58,Nick Boyle(BAL),23,37,213,9.3,25,1,0,0,0,0,0,16,21.3,1.3,0.1%
58,59,Maxx Williams(ARI),16,17,143,8.9,25,3,1,3,8,0,0,13,21.1,1.6,0.4%
59,60,Garrett Celek(FA),5,8,90,18.0,41,2,2,0,0,0,0,15,21.0,1.4,0.0%
60,61,Mike Gesicki(MIA),22,32,202,9.2,27,1,0,0,0,0,1,16,18.2,1.1,87.6%
61,62,Jordan Leggett(FA),14,25,114,8.1,16,0,1,0,0,0,0,15,17.4,1.2,0.0%
62,63,Charles Clay(FA),21,36,184,8.8,21,2,0,0,0,0,1,13,16.4,1.3,0.0%
63,64,MyCole Pruitt(TEN),9,11,102,11.3,27,1,1,0,0,0,0,15,16.2,1.1,0.0%
64,65,Logan Paulsen(FA),9,9,91,10.1,19,0,1,0,0,0,0,15,15.1,1.0,0.0%
65,66,Austin Seferian-Jenkins(FA),11,19,90,8.2,21,1,1,0,0,0,0,5,15.0,3.0,0.0%
66,67,Scott Simonson(FA),9,14,86,9.6,24,1,1,0,0,0,0,16,14.6,0.9,0.0%
67,68,Nick O'Leary(FA),8,10,86,10.8,19,0,1,0,0,0,0,12,14.6,1.2,0.0%
68,69,Robert Tonyan(GB),4,6,77,19.3,54,1,1,0,0,0,0,16,13.7,0.9,18.6%
69,70,Seth DeValve(FA),5,7,74,14.8,26,2,1,0,0,0,0,13,13.4,1.0,0.0%
70,71,Adam Shaheen(MIA),5,6,48,9.6,23,1,1,0,0,0,0,6,12.8,2.1,0.0%
71,72,Derek Carrier(LV),7,12,67,9.6,23,1,1,0,0,0,0,16,12.7,0.8,0.0%
72,73,Dalton Schultz(DAL),12,17,116,9.7,17,0,0,0,0,0,0,11,11.6,1.1,89.9%
73,74,Chris Manhertz(JAC),2,5,52,26.0,50,1,1,0,0,0,0,16,11.2,0.7,0.0%
74,75,A.J. Derby(FA),3,5,48,16.0,19,0,1,0,0,0,0,4,10.8,2.7,0.0%
75,76,Jeremy Sprinkle(DAL),5,9,41,8.2,15,0,1,0,0,0,0,16,10.1,0.6,0.0%
76,77,Darren Waller(LV),6,6,75,12.5,44,1,0,1,21,0,0,4,9.6,2.4,92.6%
77,78,Niles Paul(FA),10,13,98,9.8,22,1,0,1,-3,0,0,6,9.5,1.6,0.0%
78,79,Luke Willson(FA),13,19,87,6.7,13,0,0,0,0,0,0,14,8.7,0.6,0.0%
79,80,Jake Butt(FA),8,13,85,10.6,22,2,0,0,0,0,0,3,8.5,2.8,0.1%
80,81,Logan Thomas(WAS),12,17,77,6.4,24,1,0,0,0,0,0,12,8.3,0.7,27.1%
81,82,Matt Lengel(FA),3,8,17,5.7,9,0,1,0,0,0,0,11,7.7,0.7,0.0%
82,83,Jermaine Gresham(FA),9,12,94,10.4,26,1,0,0,0,0,1,13,7.4,0.6,0.0%
83,84,Eric Tomlinson(BAL),8,14,72,9.0,24,1,0,0,0,0,0,15,7.2,0.5,0.0%
84,85,Blake Bell(KC),8,11,67,8.4,16,0,0,0,0,0,0,10,6.7,0.7,0.2%
85,86,Joshua Perkins(FA),5,11,67,13.4,30,1,0,0,0,0,0,9,6.7,0.7,0.0%
86,87,Xavier Grimble(BAL),6,8,86,14.3,23,2,0,0,0,0,1,16,6.6,0.4,0.0%
87,88,David Grinnage(FA),6,8,61,10.2,24,1,0,0,0,0,0,4,6.1,1.5,0.0%
88,89,Delanie Walker(FA),4,7,52,13.0,16,0,0,0,0,0,0,1,5.2,5.2,0.1%
89,90,Jacob Hollister(JAC),4,5,52,13.0,23,1,0,0,0,0,0,8,5.2,0.7,0.0%
90,91,Anthony Firkser(TEN),19,20,225,11.8,28,3,1,0,0,0,0,12,5.1,0.4,3.7%
91,92,Durham Smythe(MIA),6,11,50,8.3,21,1,0,0,0,0,0,15,5.0,0.3,0.1%
92,93,Antony Auclair(HOU),7,8,48,6.9,12,0,0,0,0,0,0,16,4.8,0.3,0.0%
93,94,Eric Saubert(DEN),5,9,48,9.6,17,0,0,0,0,0,0,16,4.8,0.3,0.0%
94,95,Neal Sterling(FA),6,8,47,7.8,12,0,0,0,0,0,0,5,4.7,0.9,0.0%
95,96,Rico Gathers(FA),3,7,45,15.0,32,1,0,0,0,0,0,15,4.5,0.3,0.0%
96,97,Ben Braunecker(FA),3,5,42,14.0,20,1,0,0,0,0,0,15,4.2,0.3,0.0%
97,98,Marcedes Lewis(GB),3,4,39,13.0,30,1,0,0,0,0,0,16,3.9,0.2,0.2%
98,99,John Phillips(FA),3,3,38,12.7,24,1,0,0,0,0,0,8,3.8,0.5,0.0%
99,100,Jordan Franks(CLE),2,3,37,18.5,32,1,0,0,0,0,0,6,3.7,0.6,0.0%
100,101,Tyler Kroft(NYJ),4,6,36,9.0,16,0,0,0,0,0,0,5,3.6,0.7,0.2%
101,102,David Morgan II(FA),5,6,36,7.2,13,0,0,0,0,0,0,11,3.6,0.3,0.0%
102,103,Brian Parker(FA),5,10,33,6.6,11,0,0,0,0,0,0,13,3.3,0.3,0.0%
103,104,Dwayne Allen(FA),3,4,27,9.0,21,1,0,0,0,0,0,13,2.7,0.2,0.0%
104,105,Sean Culkin(FA),1,1,24,24.0,24,1,0,0,0,0,0,13,2.4,0.2,0.0%
105,106,Tyrone Swoopes(FA),1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,0.0%
106,107,Orson Charles(FA),3,5,23,7.7,9,0,0,0,0,0,0,13,2.3,0.2,0.0%
107,108,Dan Arnold(JAC),12,19,150,12.5,25,4,1,0,0,0,0,10,2.0,0.2,6.7%
108,109,Matt Flanagan(FA),1,2,14,14.0,14,0,0,0,0,0,0,3,1.4,0.5,0.0%
109,110,Ross Dwelley(SF),2,2,14,7.0,8,0,0,0,0,0,0,11,1.4,0.1,0.1%
110,111,Hakeem Valles(FA),2,3,11,5.5,6,0,0,0,0,0,0,3,1.1,0.4,0.0%
111,112,Dion Sims(FA),2,4,9,4.5,9,0,0,0,0,0,0,8,0.9,0.1,0.0%
112,113,Alan Cross(FA),2,5,9,4.5,6,0,0,0,0,0,0,14,0.9,0.1,0.0%
113,114,Richard Rodgers(PHI),1,1,7,7.0,7,0,0,0,0,0,0,7,0.7,0.1,0.0%
114,115,Khari Lee(FA),1,1,5,5.0,5,0,0,0,0,0,0,2,0.5,0.3,0.0%
115,116,Johnny Mundt(LAR),1,1,5,5.0,5,0,0,0,0,0,0,10,0.5,0.1,0.0%
116,117,Adam Trautman(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%
117,118,Noah Gray(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
118,119,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
119,120,Kyle Markway(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,121,Juwan Johnson(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
121,122,Josiah Deguara(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
