player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,82,82,100,2,0,57,57,26.3,32.1,12,2013
Ben Roethlisberger,QB,PIT,1,62,62,100,0,0,66,66,10.5,16.9,12,2013
Brian Hoyer,QB,NE,1,1,1,2,100,0,100,100,-0.1,-10.0,12,2013
Danny Amendola,WR,HOU,1,22,22,39,0,23,14,23,2.3,10.5,12,2013
DeSean Jackson,WR,LV,1,42,42,48,0,10,7,10,16.2,38.6,12,2013
Jared Cook,TE,LAC,1,37,37,52,0,14,5,14,8.5,23.0,12,2013
Josh Johnson,QB,NYJ,1,1,1,1,0,0,0,0,2.0,200.0,12,2013
Marcedes Lewis,TE,GB,1,33,33,40,0,9,6,9,0.4,1.2,12,2013
Matt Ryan,QB,ATL,1,60,60,100,7,0,55,55,11.2,18.7,12,2013
Matthew Stafford,QB,LAR,1,62,62,100,2,0,63,63,23.0,37.1,12,2013
Tom Brady,QB,TB,1,67,67,100,3,0,54,54,12.2,18.2,12,2013
Emmanuel Sanders,WR,BUF,1,51,51,77,0,6,6,6,2.8,5.5,12,2013
Jimmy Graham,TE,CHI,1,14,14,20,0,21,14,21,9.4,67.1,12,2013
Rob Gronkowski,TE,TB,1,55,55,82,0,16,13,16,12.3,22.4,12,2013
Cam Newton,QB,CAR,1,40,40,73,8,0,60,60,8.2,20.5,12,2013
Randall Cobb,WR,GB,1,19,19,23,0,26,21,26,13.5,71.1,12,2013
Andy Dalton,QB,CHI,1,70,70,100,9,0,64,64,16.8,24.0,12,2013
Lee Smith,TE,ATL,1,29,29,48,0,0,0,0,0.0,0.0,12,2013
Tyrod Taylor,QB,HOU,1,57,57,100,4,0,49,49,16.3,28.6,12,2013
Ryan Tannehill,QB,TEN,1,56,56,89,9,0,46,46,9.1,16.3,12,2013
Kirk Cousins,QB,MIN,1,55,55,100,0,0,58,58,16.5,30.0,12,2013
Russell Wilson,QB,SEA,1,47,47,100,4,0,70,70,19.5,41.5,12,2013
T.Y. Hilton,WR,IND,1,42,42,61,0,12,10,12,8.8,21.0,12,2013
Marvin Jones Jr.,WR,JAC,1,71,71,97,0,10,6,10,4.3,6.1,12,2013
Brandon Bolden,RB,NE,1,19,19,32,0,21,21,21,5.4,28.4,12,2013
Cole Beasley,WR,BUF,1,46,46,70,0,11,11,11,4.6,10.0,12,2013
Marquise Goodwin,WR,CHI,1,32,32,46,0,3,0,3,0.0,0.0,12,2013
Cordarrelle Patterson,RB,ATL,1,29,29,48,55,10,62,66,25.5,87.9,12,2013
Keenan Allen,WR,LAC,1,61,61,86,0,16,11,16,8.5,13.9,12,2013
Tavon Austin,WR,JAC,1,13,13,18,0,15,15,15,8.1,62.3,12,2013
Rex Burkhead,RB,HOU,1,35,35,61,34,9,43,43,5.4,15.4,12,2013
Kyle Juszczyk,RB,SF,1,44,44,63,0,5,5,5,3.7,8.4,12,2013
Latavius Murray,RB,BAL,1,36,36,44,22,0,22,22,1.4,3.9,12,2013
Ryan Griffin,TE,NYJ,1,56,56,84,0,7,5,7,2.0,3.6,12,2013
Jack Doyle,TE,IND,1,42,42,61,0,17,14,17,14.1,33.6,12,2013
Teddy Bridgewater,QB,DEN,1,43,43,69,5,0,47,47,16.2,37.7,12,2013
Derek Carr,QB,LV,1,86,86,99,2,0,48,48,21.0,24.4,12,2013
Logan Thomas,TE,WAS,1,66,66,79,0,9,5,9,3.1,4.7,12,2013
Carlos Hyde,RB,JAC,1,32,32,44,19,3,19,22,1.6,5.0,12,2013
Devonta Freeman,RB,BAL,1,40,40,49,40,3,43,43,6.0,15.0,12,2013
Sammy Watkins,WR,BAL,1,35,35,43,0,3,3,3,0.8,2.3,12,2013
Mike Evans,WR,TB,1,66,66,99,0,9,5,9,1.6,2.4,12,2013
Brandin Cooks,WR,HOU,1,47,47,82,0,11,6,11,10.5,22.3,12,2013
Davante Adams,WR,GB,1,80,80,98,0,11,10,11,10.4,13.0,12,2013
Odell Beckham Jr.,WR,LAR,1,61,61,98,0,16,8,16,14.1,23.1,12,2013
Jarvis Landry,WR,CLE,1,56,56,93,0,18,11,18,9.1,16.3,12,2013
Jimmy Garoppolo,QB,SF,1,70,70,100,4,0,41,41,12.2,17.4,12,2013
John Brown,WR,JAC,1,3,3,4,0,33,0,33,0.0,0.0,12,2013
Albert Wilson,WR,MIA,1,35,35,47,0,17,14,17,1.7,4.9,12,2013
Keith Smith,RB,ATL,1,13,13,22,0,15,15,15,1.6,12.3,12,2013
Adam Thielen,WR,MIN,1,53,53,96,0,13,9,13,18.2,34.3,12,2013
Cameron Brate,TE,TB,1,17,17,25,0,24,18,24,2.3,13.5,12,2013
Diontae Spencer,WR,DEN,1,1,1,2,0,0,0,0,0.0,0.0,12,2013
Marcus Mariota,QB,LV,1,2,2,2,100,0,100,100,6.4,320.0,12,2013
Melvin Gordon III,RB,DEN,1,26,26,42,65,8,69,73,8.8,33.8,12,2013
Ameer Abdullah,RB,CAR,1,27,27,49,7,22,15,30,2.4,8.9,12,2013
Tevin Coleman,RB,NYJ,1,30,30,45,53,10,60,63,7.0,23.3,12,2013
Taylor Heinicke,QB,WAS,1,84,84,100,5,0,46,46,12.2,14.5,12,2013
Mike Davis,RB,ATL,1,30,30,50,17,13,27,30,4.1,13.7,12,2013
David Johnson,RB,HOU,1,22,22,39,45,14,55,59,5.5,25.0,12,2013
Jesse James,TE,CHI,1,23,23,33,0,4,0,4,0.0,0.0,12,2013
MyCole Pruitt,TE,TEN,1,27,27,43,0,7,4,7,1.0,3.7,12,2013
Nelson Agholor,WR,NE,1,50,50,85,0,6,6,6,2.0,4.0,12,2013
Tyler Lockett,WR,SEA,1,47,47,100,0,11,6,11,9.6,20.4,12,2013
Jamison Crowder,WR,NYJ,1,33,33,49,0,3,3,3,0.5,1.5,12,2013
Ty Montgomery,RB,NO,1,29,29,51,21,24,38,45,4.5,15.5,12,2013
Stefon Diggs,WR,BUF,1,54,54,82,0,17,13,17,13.4,24.8,12,2013
Chris Manhertz,TE,JAC,1,27,27,37,0,7,4,7,1.1,4.1,12,2013
C.J. Uzomah,TE,CIN,1,45,45,66,0,7,7,7,0.9,2.0,12,2013
DeAndre Carter,WR,WAS,1,61,61,73,2,8,8,10,4.6,7.5,12,2013
Darren Waller,TE,LV,1,21,21,24,0,24,10,24,3.3,15.7,12,2013
Trevor Siemian,QB,NO,1,57,57,100,5,0,56,56,9.8,17.2,12,2013
James O'Shaughnessy,TE,JAC,1,59,59,81,0,8,5,8,4.9,8.3,12,2013
Geoff Swaim,TE,TEN,1,46,46,73,0,2,2,2,0.8,1.7,12,2013
Damiere Byrd,WR,CHI,1,53,53,76,0,9,8,9,4.2,7.9,12,2013
Eric Tomlinson,TE,BAL,1,27,27,33,0,0,0,0,0.0,0.0,12,2013
Adam Humphries,WR,WAS,1,32,32,38,0,6,6,6,1.4,4.4,12,2013
Laquon Treadwell,WR,JAC,1,63,63,86,0,13,6,13,5.3,8.4,12,2013
Ezekiel Elliott,RB,DAL,1,47,47,64,19,17,32,36,10.9,23.2,12,2013
Jared Goff,QB,DET,1,49,49,100,0,0,51,51,12.8,26.1,12,2013
Carson Wentz,QB,IND,1,69,69,100,4,0,68,68,22.3,32.3,12,2013
Alex Collins,RB,SEA,1,19,19,40,37,5,42,42,0.7,3.7,12,2013
Tyler Boyd,WR,CIN,1,52,52,76,0,4,4,4,1.3,2.5,12,2013
