rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Russell Wilson,26.0,41.0,63.4,452.0,11.0,4.0,1.0,2.0,4.0,30.0,0.0,0.0,1.0,35.1,35.1,90.4,QB,8,2017,SEA
2.0,Deshaun Watson,19.0,30.0,63.3,402.0,13.4,4.0,3.0,5.0,8.0,67.0,0.0,0.0,1.0,32.8,32.8,5.0,QB,8,2017,HOU
3.0,Andy Dalton,17.0,29.0,58.6,243.0,8.4,2.0,0.0,3.0,3.0,10.0,0.0,0.0,1.0,18.7,18.7,1.6,QB,8,2017,CIN
4.0,Josh McCown,26.0,33.0,78.8,257.0,7.8,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,18.3,18.3,0.0,QB,8,2017,NYJ
5.0,Matthew Stafford,27.0,45.0,60.0,423.0,9.4,0.0,0.0,2.0,1.0,11.0,0.0,0.0,1.0,18.0,18.0,97.2,QB,8,2017,DET
6.0,Case Keenum,27.0,43.0,62.8,288.0,6.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,0.9,QB,8,2017,MIN
7.0,Tom Brady,32.0,47.0,68.1,333.0,7.1,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,17.5,17.5,99.1,QB,8,2017,NE
8.0,Carson Wentz,18.0,32.0,56.3,211.0,6.6,2.0,1.0,3.0,2.0,7.0,0.0,0.0,1.0,17.1,17.1,44.0,QB,8,2017,PHI
9.0,Tyrod Taylor,20.0,27.0,74.1,165.0,6.1,1.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,16.7,16.7,4.9,QB,8,2017,BUF
10.0,Jacoby Brissett,25.0,39.0,64.1,233.0,6.0,2.0,1.0,4.0,1.0,6.0,0.0,0.0,1.0,15.9,15.9,0.6,QB,8,2017,IND
11.0,Matt Ryan,18.0,29.0,62.1,254.0,8.8,2.0,0.0,1.0,6.0,17.0,0.0,2.0,1.0,15.9,15.9,36.3,QB,8,2017,ATL
12.0,DeShone Kizer,18.0,34.0,52.9,179.0,5.3,0.0,0.0,3.0,5.0,18.0,1.0,0.0,1.0,15.0,15.0,0.0,QB,8,2017,CLE
13.0,Ben Roethlisberger,17.0,31.0,54.8,317.0,10.2,1.0,1.0,0.0,3.0,-2.0,0.0,0.0,1.0,14.5,14.5,23.8,QB,8,2017,PIT
14.0,Alex Smith,14.0,31.0,45.2,202.0,6.5,1.0,0.0,1.0,4.0,33.0,0.0,1.0,1.0,13.4,13.4,5.0,QB,8,2017,KC
15.0,Cam Newton,18.0,32.0,56.3,154.0,4.8,1.0,1.0,0.0,11.0,44.0,0.0,0.0,1.0,12.6,12.6,20.3,QB,8,2017,CAR
16.0,Derek Carr,31.0,49.0,63.3,313.0,6.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,12.5,58.1,QB,8,2017,LV
17.0,Drew Brees,23.0,28.0,82.1,299.0,10.7,0.0,0.0,2.0,4.0,-2.0,0.0,0.0,1.0,11.8,11.8,35.7,QB,8,2017,NO
18.0,C.J. Beathard,17.0,36.0,47.2,167.0,4.6,1.0,2.0,4.0,6.0,40.0,0.0,0.0,1.0,10.7,10.7,0.0,QB,8,2017,SF
19.0,Kirk Cousins,26.0,39.0,66.7,263.0,6.7,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,10.5,10.5,70.7,QB,8,2017,WAS
20.0,Philip Rivers,17.0,30.0,56.7,212.0,7.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,20.6,QB,8,2017,LAC
21.0,Mitchell Trubisky,14.0,32.0,43.8,164.0,5.1,0.0,1.0,2.0,3.0,53.0,0.0,0.0,1.0,9.9,9.9,0.4,QB,8,2017,CHI
22.0,Joe Flacco,10.0,15.0,66.7,101.0,6.7,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,8.9,8.9,0.3,QB,8,2017,BAL
23.0,Trevor Siemian,19.0,36.0,52.8,198.0,5.5,1.0,3.0,3.0,2.0,20.0,0.0,0.0,1.0,7.9,7.9,1.1,QB,8,2017,DEN
24.0,Dak Prescott,14.0,22.0,63.6,143.0,6.5,0.0,0.0,2.0,3.0,16.0,0.0,0.0,1.0,7.3,7.3,98.2,QB,8,2017,DAL
25.0,Ryan Mallett,3.0,7.0,42.9,20.0,2.9,1.0,0.0,0.0,4.0,-3.0,0.0,0.0,1.0,4.5,4.5,0.0,QB,8,2017,BAL
26.0,Jameis Winston,21.0,38.0,55.3,210.0,5.5,0.0,2.0,3.0,3.0,13.0,0.0,1.0,1.0,3.7,3.7,5.2,QB,8,2017,TB
27.0,Matt Moore,25.0,44.0,56.8,176.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,QB,8,2017,MIA
128.0,Nick Foles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,-0.2,-0.2,0.7,QB,8,2017,PHI
