rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Stephen Gostkowski,4,4,100.0,62,0,1,0,1,2,3,3,1,20.0,20.0,0.1,FA,K,11,2017
2,Chris Boswell,4,4,100.0,50,0,2,0,1,1,4,4,1,19.0,19.0,51.0,PIT,K,11,2017
3,Nick Novak,4,5,80.0,39,0,2,2,0,0,6,6,1,18.0,18.0,0.1,FA,K,11,2017
4,Wil Lutz,4,4,100.0,52,0,2,0,1,1,2,2,1,17.0,17.0,3.3,NO,K,11,2017
5,Blair Walsh,3,4,75.0,46,0,0,2,1,0,2,2,1,12.0,12.0,0.1,FA,K,11,2017
6,Patrick Murray,3,4,75.0,35,0,0,3,0,0,3,3,1,12.0,12.0,1.0,FA,K,11,2017
7,Matt Bryant,2,2,100.0,44,1,0,0,1,0,4,4,1,11.0,11.0,1.1,FA,K,11,2017
8,Matt Prater,2,2,100.0,52,0,1,0,0,1,3,3,1,11.0,11.0,52.8,ARI,K,11,2017
9,Mike Nugent,3,3,100.0,48,0,1,0,2,0,0,0,1,11.0,11.0,1.0,FA,K,11,2017
10,Justin Tucker,3,3,100.0,39,0,1,2,0,0,2,2,1,11.0,11.0,98.0,BAL,K,11,2017
11,Harrison Butker,3,3,100.0,31,0,1,2,0,0,0,0,1,9.0,9.0,76.6,KC,K,11,2017
12,Stephen Hauschka,1,1,100.0,50,0,0,0,0,1,3,3,1,8.0,8.0,0.0,FA,K,11,2017
13,Cody Parkey,2,2,100.0,31,0,1,1,0,0,2,2,1,8.0,8.0,0.4,FA,K,11,2017
14,Ka'imi Fairbairn,1,1,100.0,34,0,0,1,0,0,4,4,1,7.0,7.0,0.8,HOU,K,11,2017
15,Nick Rose,1,1,100.0,38,0,0,1,0,0,4,4,1,7.0,7.0,0.0,FA,K,11,2017
16,Josh Lambo,2,3,66.7,39,0,0,2,0,0,1,1,1,7.0,7.0,3.2,FA,K,11,2017
17,Connor Barth,1,2,50.0,23,0,1,0,0,0,3,3,1,6.0,6.0,0.0,FA,K,11,2017
18,Aldrick Rosas,2,2,100.0,26,0,2,0,0,0,0,1,1,6.0,6.0,1.8,FA,K,11,2017
19,Kai Forbath,1,3,33.3,39,0,0,1,0,0,3,3,1,6.0,6.0,3.0,LAR,K,11,2017
20,Ryan Succop,1,2,50.0,44,0,0,0,1,0,2,2,1,6.0,6.0,57.4,TB,K,11,2017
21,Brandon McManus,1,2,50.0,45,0,0,0,1,0,2,2,1,6.0,6.0,44.3,DEN,K,11,2017
22,Phil Dawson,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1,FA,K,11,2017
23,Randy Bullock,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,10.8,TEN,K,11,2017
24,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,2.6,CAR,K,11,2017
25,Jake Elliott,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,22.5,PHI,K,11,2017
26,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,74.2,DAL,K,11,2017
27,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,11,2017
