rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Chris Boswell,4,4,100.0,46,0,1,1,2,0,2,2,1,16.0,16.0,51.0,PIT,2,K
2,Cody Parkey,4,4,100.0,54,0,1,2,0,1,1,1,1,15.0,15.0,0.4,FA,2,K
3,Ryan Succop,3,3,100.0,41,0,1,0,2,0,4,4,1,15.0,15.0,57.4,TB,2,K
4,Nick Folk,3,3,100.0,50,0,1,0,1,1,2,3,1,14.0,14.0,81.8,NE,2,K
5,Matt Bryant,2,2,100.0,53,0,0,0,0,2,4,4,1,14.0,14.0,1.1,FA,2,K
6,Stephen Gostkowski,3,3,100.0,28,0,3,0,0,0,3,4,1,12.0,12.0,0.1,FA,2,K
7,Phil Dawson,3,4,75.0,40,0,1,1,1,0,1,1,1,11.0,11.0,0.1,FA,2,K
8,Robbie Gould,3,3,100.0,40,0,0,2,1,0,0,0,1,10.0,10.0,22.5,SF,2,K
9,Dustin Hopkins,2,3,66.7,41,0,1,0,1,0,3,3,1,10.0,10.0,14.5,LAC,2,K
10,Chandler Catanzaro,2,2,100.0,46,0,0,0,2,0,2,2,1,10.0,10.0,0.0,FA,2,K
11,Cairo Santos,2,2,100.0,39,0,0,2,0,0,3,3,1,9.0,9.0,2.1,CHI,2,K
12,Giorgio Tavecchio,1,1,100.0,29,0,1,0,0,0,6,6,1,9.0,9.0,1.0,TEN,2,K
13,Randy Bullock,3,3,100.0,39,0,1,2,0,0,0,0,1,9.0,9.0,10.8,TEN,2,K
14,Graham Gano,3,3,100.0,34,0,2,1,0,0,0,0,1,9.0,9.0,31.4,NYG,2,K
15,Jake Elliott,2,3,66.7,40,0,0,1,1,0,2,2,1,9.0,9.0,22.5,PHI,2,K
16,Greg Zuerlein,2,2,100.0,40,0,0,1,1,0,2,2,1,9.0,9.0,74.2,DAL,2,K
17,Wil Lutz,2,3,66.7,46,0,0,1,1,0,2,2,1,9.0,9.0,3.3,NO,2,K
18,Matt Prater,1,1,100.0,56,0,0,0,0,1,3,3,1,8.0,8.0,52.8,ARI,2,K
19,Adam Vinatieri,2,2,100.0,46,0,1,0,1,0,1,1,1,8.0,8.0,0.2,FA,2,K
20,Ka'imi Fairbairn,2,2,100.0,42,0,1,0,1,0,1,1,1,8.0,8.0,0.8,HOU,2,K
21,Dan Bailey,1,1,100.0,56,0,0,0,0,1,2,2,1,7.0,7.0,0.0,FA,2,K
22,Blair Walsh,2,2,100.0,27,0,2,0,0,0,0,1,1,6.0,6.0,0.1,FA,2,K
23,Justin Tucker,1,2,50.0,28,0,1,0,0,0,3,3,1,6.0,6.0,98.0,BAL,2,K
24,Brandon McManus,0,1,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,44.3,DEN,2,K
25,Younghoe Koo,1,3,33.3,41,0,0,0,1,0,2,2,1,6.0,6.0,40.9,ATL,2,K
26,Mason Crosby,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,5.0,40.7,GB,2,K
27,Jason Myers,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,22.1,SEA,2,K
28,Stephen Hauschka,1,1,100.0,45,0,0,0,1,0,0,0,1,4.0,4.0,0.0,FA,2,K
29,Kai Forbath,1,1,100.0,42,0,0,0,1,0,0,1,1,4.0,4.0,3.0,LAR,2,K
30,Zane Gonzalez,1,1,100.0,38,0,0,1,0,0,1,1,1,4.0,4.0,2.6,CAR,2,K
31,Aldrick Rosas,1,1,100.0,25,0,1,0,0,0,1,1,1,4.0,4.0,1.8,FA,2,K
32,Connor Barth,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0,FA,2,K
33,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,2,K
34,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,2,K
35,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,2,K
36,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,2,K
37,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,2,K
38,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,2,K
39,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,2,K
40,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,2,K
41,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,2,K
42,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,2,K
43,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,2,K
44,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,2,K
45,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,2,K
46,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,2,K
47,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,2,K
48,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,2,K
49,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,2,K
50,Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,2,K
51,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,2,K
52,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,2,K
53,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,2,K
54,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,2,K
55,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,2,K
56,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,2,K
57,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,2,K
58,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,2,K
59,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,2,K
60,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,2,K
61,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,2,K
62,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,2,K
63,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,2,K
64,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,2,K
65,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,2,K
66,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,2,K
67,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,2,K
68,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,2,K
