rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Greg Zuerlein,4,5,80.0,50,0,1,0,2,1,2,2,1,18.0,18.0,74.2,DAL,12,K
2,Phil Dawson,4,4,100.0,57,0,0,1,2,1,1,1,1,17.0,17.0,0.1,FA,12,K
3,Justin Tucker,3,3,100.0,53,0,0,1,1,1,2,2,1,14.0,14.0,98.0,BAL,12,K
4,Matt Prater,3,3,100.0,50,0,0,2,0,1,2,2,1,13.0,13.0,52.8,ARI,12,K
5,Stephen Hauschka,3,4,75.0,56,0,0,1,1,1,1,1,1,13.0,13.0,0.0,FA,12,K
6,Randy Bullock,3,3,100.0,49,0,1,1,1,0,3,3,1,13.0,13.0,10.8,TEN,12,K
7,Matt Bryant,2,2,100.0,49,0,0,1,1,0,4,4,1,11.0,11.0,1.1,FA,12,K
8,Graham Gano,3,3,100.0,45,0,0,1,2,0,0,1,1,11.0,11.0,31.4,NYG,12,K
9,Adam Vinatieri,3,3,100.0,42,0,2,0,1,0,1,1,1,11.0,11.0,0.2,FA,12,K
10,Wil Lutz,2,2,100.0,50,0,1,0,0,1,2,2,1,10.0,10.0,3.3,NO,12,K
11,Ka'imi Fairbairn,3,3,100.0,37,0,1,2,0,0,1,1,1,10.0,10.0,0.8,HOU,12,K
12,Zane Gonzalez,3,4,75.0,39,0,2,1,0,0,1,1,1,10.0,10.0,2.6,CAR,12,K
13,Ryan Succop,2,2,100.0,45,0,1,0,1,0,2,2,1,9.0,9.0,57.4,TB,12,K
14,Chandler Catanzaro,2,2,100.0,31,1,0,1,0,0,3,3,1,9.0,9.0,0.0,FA,12,K
15,Jake Elliott,1,1,100.0,45,0,0,0,1,0,4,4,1,8.0,8.0,22.5,PHI,12,K
16,Nick Rose,2,2,100.0,33,0,1,1,0,0,2,2,1,8.0,8.0,0.0,FA,12,K
17,Patrick Murray,2,2,100.0,36,0,1,1,0,0,2,2,1,8.0,8.0,1.0,FA,12,K
18,Robbie Gould,2,2,100.0,42,0,0,1,1,0,1,1,1,8.0,8.0,22.5,SF,12,K
19,Chris Boswell,1,1,100.0,53,0,0,0,0,1,2,3,1,7.0,7.0,51.0,PIT,12,K
20,Josh Lambo,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,3.2,FA,12,K
21,Blair Walsh,1,2,50.0,34,0,0,1,0,0,3,3,1,6.0,6.0,0.1,FA,12,K
22,Kai Forbath,1,2,50.0,36,0,0,1,0,0,3,4,1,6.0,6.0,3.0,LAR,12,K
23,Harrison Butker,1,1,100.0,45,0,0,0,1,0,1,1,1,5.0,5.0,76.6,KC,12,K
24,Cody Parkey,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,5.0,0.4,FA,12,K
25,Stephen Gostkowski,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1,FA,12,K
26,Aldrick Rosas,1,1,100.0,30,0,0,1,0,0,1,1,1,4.0,4.0,1.8,FA,12,K
27,Mason Crosby,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,40.7,GB,12,K
28,Cairo Santos,1,2,50.0,38,0,0,1,0,0,0,0,1,3.0,3.0,2.1,CHI,12,K
29,Giorgio Tavecchio,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.0,TEN,12,K
30,Nick Novak,1,2,50.0,22,0,1,0,0,0,0,1,1,3.0,3.0,0.1,FA,12,K
31,Brandon McManus,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,44.3,DEN,12,K
32,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,12,K
33,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,12,K
34,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,12,K
35,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,12,K
36,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,12,K
37,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,12,K
38,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,12,K
39,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,12,K
40,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,12,K
41,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,12,K
42,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,12,K
43,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,12,K
44,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,12,K
45,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,12,K
46,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,12,K
47,Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,12,K
48,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,12,K
49,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,12,K
50,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,12,K
51,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,12,K
52,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,12,K
53,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,12,K
54,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,12,K
55,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,12,K
56,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,12,K
57,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,12,K
58,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,12,K
59,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,12,K
60,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,12,K
61,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,12,K
62,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,12,K
63,Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,81.8,NE,12,K
64,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,12,K
65,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,12,K
66,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,12,K
67,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,12,K
68,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,12,K
69,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,12,K
70,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,12,K
71,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,12,K
72,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,12,K
73,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,12,K
74,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,12,K
75,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,14.5,LAC,12,K
76,Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.9,NO,12,K
77,Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,12,K
78,Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,12,K
79,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3,MIA,12,K
80,Jason Myers,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.1,SEA,12,K
81,Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,12,K
82,Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,12,K
83,Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,12,K
84,Dan Bailey,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,12,K
85,Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,12,K
