Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Frank Gore(FA),23,81,3.5,11,0,1,1,1,2,2.0,0,0,1,14.3,14.3,12.2%
2,Mark Ingram II(NO),27,120,4.4,11,0,0,3,5,19,6.3,0,0,1,13.9,13.9,39.1%
3,Carlos Hyde(JAC),4,36,9.0,15,0,1,0,0,0,0,0,0,1,9.6,9.6,6.9%
4,LeSean McCoy(FA),12,19,1.6,6,0,1,1,3,-2,-2.0,0,0,1,7.7,7.7,2.0%
5,Le'Veon Bell(FA),11,36,3.3,8,0,0,8,10,33,4.1,0,0,1,6.9,6.9,5.4%
6,Theo Riddick(FA),3,0,0.0,3,0,0,2,3,5,2.5,1,0,1,6.5,6.5,0.0%
7,Damien Williams(CHI),7,34,4.9,19,0,0,3,3,27,9.0,0,0,1,6.1,6.1,4.4%
8,Kyle Juszczyk(SF),0,0,0,0,0,0,3,3,26,8.7,0,0,1,2.6,2.6,1.0%
9,Rex Burkhead(HOU),4,12,3.0,7,0,0,2,4,3,1.5,0,0,1,1.5,1.5,31.5%
10,Devonta Freeman(BAL),3,16,5.3,9,0,0,1,1,-2,-2.0,0,0,1,1.4,1.4,74.2%
11,Lamar Miller(FA),4,10,2.5,5,0,0,1,2,-4,-4.0,0,0,1,0.6,0.6,0.0%
12,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
13,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
14,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
15,Chuba Hubbard(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1%
16,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
17,Gabe Nabers(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
18,Deon Jackson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
