,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Derrick Henry(TEN),35,182,5.2,60,0,3,6,6,55,9.2,0,0,1,41.7,41.7,78.0%
1,2,Aaron Jones(GB),17,67,3.9,9,0,1,6,6,48,8.0,3,0,1,35.5,35.5,98.9%
2,3,Tony Pollard(DAL),13,109,8.4,28,0,1,3,3,31,10.3,0,0,1,20.0,20.0,75.3%
3,4,Christian McCaffrey(CAR),24,72,3.0,16,0,1,5,6,65,13.0,0,0,1,19.7,19.7,47.2%
4,5,Cordarrelle Patterson(ATL),7,11,1.6,10,0,1,5,7,58,11.6,1,0,1,18.9,18.9,95.1%
5,6,Nick Chubb(CLE),11,95,8.6,26,0,1,1,1,3,3.0,0,0,1,15.8,15.8,99.8%
6,7,Ezekiel Elliott(DAL),16,71,4.4,19,0,1,2,2,26,13.0,0,0,1,15.7,15.7,99.7%
7,8,J.D. McKissic(WAS),4,10,2.5,4,0,1,5,6,83,16.6,0,0,1,15.3,15.3,32.9%
8,9,Chris Carson(SEA),13,31,2.4,8,0,2,0,0,0,0,0,0,1,15.1,15.1,31.7%
9,10,Devin Singletary(BUF),13,82,6.3,46,0,1,2,3,9,4.5,0,0,1,15.1,15.1,89.1%
10,11,Dalvin Cook(MIN),22,131,6.0,16,0,0,2,3,17,8.5,0,0,1,14.8,14.8,100.0%
11,12,Darrell Henderson Jr.(LAR),13,53,4.1,13,0,1,3,5,29,9.7,0,0,1,14.2,14.2,76.0%
12,13,Najee Harris(PIT),10,38,3.8,14,0,0,5,5,43,8.6,1,0,1,14.1,14.1,99.9%
13,14,Austin Ekeler(LAC),9,54,6.0,20,0,0,9,9,61,6.8,0,0,1,13.5,13.5,99.9%
14,15,Zack Moss(BUF),8,26,3.3,10,0,2,2,2,8,4.0,0,1,1,13.4,13.4,36.8%
15,16,James White(NE),5,20,4.0,7,0,1,6,6,45,7.5,0,0,1,12.5,12.5,7.9%
16,17,Damien Harris(NE),16,62,3.9,26,0,1,1,1,2,2.0,0,0,1,12.4,12.4,89.8%
17,18,Demetric Felton(CLE),0,0,0,0,0,0,2,2,51,25.5,1,0,1,11.1,11.1,0.7%
18,19,Latavius Murray(BAL),9,36,4.0,8,0,1,0,0,0,0,0,0,1,9.6,9.6,22.2%
19,20,Ty'Son Williams(BAL),13,77,5.9,20,0,0,2,2,16,8.0,0,0,1,9.3,9.3,5.2%
20,21,Michael Carter(NYJ),11,59,5.4,14,0,0,2,3,29,14.5,0,0,1,8.8,8.8,79.1%
21,22,Phillip Lindsay(MIA),5,2,0.4,5,0,0,1,1,22,22.0,1,0,1,8.4,8.4,9.0%
22,23,David Montgomery(CHI),20,61,3.1,11,0,0,3,4,18,6.0,0,0,1,7.9,7.9,98.7%
23,24,D'Andre Swift(DET),8,37,4.6,12,0,0,4,5,41,10.3,0,0,1,7.8,7.8,97.2%
24,25,Leonard Fournette(TB),11,52,4.7,10,0,0,4,4,24,6.0,0,0,1,7.6,7.6,74.8%
25,26,Chase Edmonds(ARI),8,46,5.8,14,0,0,5,5,29,5.8,0,0,1,7.5,7.5,85.1%
26,27,Javonte Williams(DEN),13,64,4.9,16,0,0,1,1,10,10.0,0,0,1,7.4,7.4,92.7%
27,28,Antonio Gibson(WAS),13,69,5.3,14,0,0,2,2,4,2.0,0,0,1,7.3,7.3,95.9%
28,29,Joe Mixon(CIN),20,69,3.5,10,0,0,1,2,2,2.0,0,0,1,7.1,7.1,98.1%
29,30,Melvin Gordon III(DEN),13,31,2.4,8,0,0,2,2,38,19.0,0,0,1,6.9,6.9,87.8%
30,31,Saquon Barkley(NYG),13,57,4.4,41,0,0,2,3,12,6.0,0,0,1,6.9,6.9,97.6%
31,32,James Robinson(JAC),11,47,4.3,12,0,0,3,3,17,5.7,0,0,1,6.4,6.4,76.3%
32,33,Mike Davis(ATL),9,38,4.2,8,0,0,7,7,25,3.6,0,0,1,6.3,6.3,49.7%
33,34,Andy Janovich(CLE),2,0,0.0,1,0,1,0,0,0,0,0,0,1,6.0,6.0,0.1%
34,35,Miles Sanders(PHI),13,55,4.2,10,0,0,1,2,4,4.0,0,0,1,5.9,5.9,77.0%
35,36,JaMycal Hasty(SF),5,38,7.6,21,0,0,4,5,21,5.3,0,0,1,5.9,5.9,4.2%
36,37,Darrel Williams(KC),3,-2,-0.7,2,0,1,0,0,0,0,0,0,1,5.8,5.8,79.6%
37,38,Kenyan Drake(LV),7,9,1.3,5,0,0,5,6,46,9.2,0,0,1,5.5,5.5,29.4%
38,39,Jonathan Taylor(IND),15,51,3.4,13,0,0,1,1,2,2.0,0,0,1,5.3,5.3,100.0%
39,40,Elijah Mitchell(SF),17,42,2.5,10,0,0,2,2,11,5.5,0,0,1,5.3,5.3,88.5%
40,41,Kareem Hunt(CLE),13,51,3.9,13,0,0,1,1,2,2.0,0,0,1,5.3,5.3,82.1%
41,42,Kenneth Gainwell(PHI),6,14,2.3,6,0,0,2,3,18,9.0,0,0,1,5.2,5.2,12.8%
42,43,Ty Johnson(NYJ),12,50,4.2,17,0,0,0,0,0,0,0,0,1,5.0,5.0,15.8%
43,44,David Johnson(HOU),6,25,4.2,8,0,0,2,2,22,11.0,0,0,1,4.7,4.7,35.4%
44,45,Sony Michel(LAR),10,46,4.6,11,0,0,0,0,0,0,0,0,1,4.6,4.6,89.4%
45,46,Myles Gaskin(MIA),5,25,5.0,18,0,0,4,5,21,5.3,0,0,1,4.6,4.6,83.2%
46,47,Mark Ingram II(NO),14,41,2.9,8,0,0,1,2,-1,-1.0,0,0,1,4.0,4.0,39.1%
47,48,Jamaal Williams(DET),7,25,3.6,8,0,0,3,3,12,4.0,0,0,1,3.7,3.7,58.2%
48,49,Ronald Jones II(TB),6,27,4.5,10,0,0,1,3,9,9.0,0,0,1,3.6,3.6,83.5%
49,50,Peyton Barber(LV),13,32,2.5,13,0,0,0,0,0,0,0,0,1,3.2,3.2,1.2%
50,51,Alvin Kamara(NO),8,5,0.6,5,0,0,4,6,25,6.3,0,0,1,3.0,3.0,100.0%
51,52,Devonta Freeman(BAL),2,29,14.5,31,0,0,0,0,0,0,0,0,1,2.9,2.9,74.2%
52,53,Justin Jackson(LAC),4,21,5.3,7,0,0,1,1,8,8.0,0,0,1,2.9,2.9,42.5%
53,54,Jeremy McNichols(FA),1,3,3.0,3,0,0,3,3,26,8.7,0,0,1,2.9,2.9,7.6%
54,55,Alexander Mattison(MIN),3,11,3.7,6,0,0,1,1,17,17.0,0,0,1,2.8,2.8,75.0%
55,56,AJ Dillon(GB),5,18,3.6,8,0,0,1,1,8,8.0,0,0,1,2.6,2.6,87.4%
56,57,Clyde Edwards-Helaire(KC),13,46,3.5,9,0,0,0,0,0,0,0,1,1,2.6,2.6,86.8%
57,58,James Conner(ARI),8,26,3.3,9,0,0,0,0,0,0,0,0,1,2.6,2.6,94.6%
58,59,Alex Collins(SEA),1,25,25.0,25,0,0,0,0,0,0,0,0,1,2.5,2.5,18.8%
59,60,Tevin Coleman(NYJ),5,24,4.8,17,0,0,0,0,0,0,0,0,1,2.4,2.4,18.5%
60,61,Nyheim Hines(IND),1,5,5.0,5,0,0,1,2,17,17.0,0,0,1,2.2,2.2,44.8%
61,62,Malcolm Brown(MIA),5,21,4.2,12,0,0,0,0,0,0,0,0,1,2.1,2.1,3.6%
62,63,Salvon Ahmed(MIA),6,17,2.8,8,0,0,0,3,0,0,0,0,1,1.7,1.7,1.6%
63,64,Kyle Juszczyk(SF),1,2,2.0,2,0,0,2,3,15,7.5,0,0,1,1.7,1.7,1.0%
64,65,Giovani Bernard(TB),0,0,0,0,0,0,2,2,16,8.0,0,0,1,1.6,1.6,5.4%
65,66,Marlon Mack(IND),5,16,3.2,6,0,0,0,1,0,0,0,0,1,1.6,1.6,1.6%
66,67,Chris Evans(CIN),0,0,0,0,0,0,1,1,14,14.0,0,0,1,1.4,1.4,0.5%
67,68,Travis Homer(SEA),0,0,0,0,0,0,2,2,14,7.0,0,0,1,1.4,1.4,0.3%
68,69,Jerick McKinnon(KC),0,0,0,0,0,0,1,1,14,14.0,0,0,1,1.4,1.4,0.8%
69,70,Michael Burton(KC),0,0,0,0,0,0,1,1,11,11.0,0,0,1,1.1,1.1,0.1%
70,71,Devontae Booker(NYG),2,9,4.5,7,0,0,1,1,2,2.0,0,0,1,1.1,1.1,23.3%
71,72,Chuba Hubbard(CAR),8,10,1.3,9,0,0,0,1,0,0,0,0,1,1.0,1.0,58.1%
72,73,Trey Sermon(SF),1,8,8.0,8,0,0,0,0,0,0,0,0,1,0.8,0.8,13.9%
73,74,Kylin Hill(GB),2,8,4.0,5,0,0,0,0,0,0,0,0,1,0.8,0.8,0.2%
74,75,Tony Jones Jr.(NO),3,7,2.3,6,0,0,0,0,0,0,0,0,1,0.7,0.7,2.9%
75,76,Carlos Hyde(JAC),2,7,3.5,6,0,0,0,2,0,0,0,0,1,0.7,0.7,6.9%
76,77,Elijhaa Penny(NYG),2,5,2.5,3,0,0,0,0,0,0,0,0,1,0.5,0.5,0.1%
77,78,Damien Williams(CHI),2,6,3.0,6,0,0,2,3,-2,-1.0,0,0,1,0.4,0.4,4.4%
78,79,Keith Smith(ATL),2,3,1.5,3,0,0,0,1,0,0,0,0,1,0.3,0.3,0.0%
79,80,Ty Montgomery(NO),0,0,0,0,0,0,1,1,3,3.0,0,0,1,0.3,0.3,0.6%
80,81,J.J. Taylor(NE),2,3,1.5,2,0,0,0,0,0,0,0,0,1,0.3,0.3,0.7%
81,82,Patrick Ricard(BAL),1,2,2.0,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%
82,83,Reggie Gilliam(BUF),2,2,1.0,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%
83,84,Benny Snell Jr.(PIT),2,1,0.5,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.9%
84,85,Jason Huntley(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
85,86,Rico Dowdle(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
86,87,Sewo Olonilua(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
87,88,Pete Guerriero(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
88,89,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
89,90,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
90,91,Scottie Phillips(HOU),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
91,92,DeeJay Dallas(SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.3%
92,93,Darius Anderson(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
93,94,Darius Bradwell(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,95,Adrian Killins Jr.(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
95,96,Patrick Taylor Jr.(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
96,97,Raymond Calais(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
97,98,Sandro Platzgummer(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
98,99,Trey Ragas(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,100,Jaret Patterson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7%
100,101,Mekhi Sargent(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5%
101,102,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,103,Gabe Nabers(LAC),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
103,104,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
104,105,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
105,106,Josh Hokit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
106,107,Jermar Jefferson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
107,108,Deon Jackson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
108,109,Pooka Williams Jr.(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
109,110,Reggie Bonnafon(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,111,Jeff Wilson Jr.(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1%
111,112,Dalyn Dawkins(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
112,113,Dontrell Hilliard(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5%
113,114,Johnny Stanton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
114,115,Mike Boone(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
115,116,Ryan Nall(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
116,117,Godwin Igwebuike(DET),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.4%
117,118,Rashaad Penny(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9%
118,119,John Kelly(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
119,120,Bo Scarbrough(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,121,Jaylen Samuels(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
121,122,Kalen Ballage(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
122,123,Ito Smith(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
123,124,Josh Adams(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
124,125,Jason Cabinda(DET),0,0,0,0,0,0,1,1,4,4.0,0,0,1,0.0,0.0,0.0%
125,126,Gus Edwards(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6%
126,127,Buddy Howell(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
127,128,Boston Scott(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7%
128,129,Nick Bawden(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
129,130,Justice Hill(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
130,131,Joshua Kelley(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
131,132,Craig Reynolds(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7%
132,133,Austin Walter(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
133,134,Khari Blasingame(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
134,135,Andrew Beck(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
135,136,Eno Benjamin(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
136,137,Tavien Feaster(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
137,138,Javon Leake(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
138,139,Darrynton Evans(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
139,140,Michael Warren II(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
140,141,Caleb Huntley(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
141,142,Anthony McFarland Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
142,143,Ke'Shawn Vaughn(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
143,144,La'Mical Perine(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
144,145,Cam Akers(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8%
145,146,J.K. Dobbins(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3%
146,147,Travis Etienne Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
147,148,Derrick Gore(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0%
148,149,Ryquell Armstead(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
149,150,Aca'Cedric Ware(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
150,151,Qadree Ollison(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
151,152,Dexter Williams(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
152,153,Trevon Wesco(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
153,154,Patrick Laird(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
154,155,Elijah Holyfield(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
155,156,Josh Jacobs(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0%
156,157,Alec Ingold(LV),0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.1%
157,158,Cullen Gillaspia(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
158,159,Jakob Johnson(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
159,160,Sutton Smith(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
160,161,Devine Ozigbo(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
161,162,Jordan Scarlett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
162,163,Darwin Thompson(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
163,164,Mike Weber(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
164,165,Damarea Crockett(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
165,166,Trayveon Williams(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
166,167,D'Ernest Johnson(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7%
167,168,Khalil Herbert(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4%
168,169,Javian Hawkins(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
169,170,Rhamondre Stevenson(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4%
170,171,Jake Funk(LAR),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%
171,172,Nick Ralston(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
172,173,Nate McCrary(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
173,174,Josh Johnson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
174,175,Adam Prentice(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
175,176,Tre Harbison III(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
176,177,A.J. Rose Jr.(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
177,178,Kene Nwangwu(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
178,179,JaQuan Hardy(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
179,180,Tory Carter(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
180,181,Gary Brightwell(NYG),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
181,182,Gerrid Doaks(MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
182,183,Mason Stokke(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
183,184,Spencer Brown(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
184,185,Royce Freeman(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2%
185,186,Taiwan Jones(BUF),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
186,187,Shane Bannon(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
187,188,Chad Spann(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
188,189,Nick Bellore(SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
189,190,Isaac Odim(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
190,191,Jay Finley(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
191,192,Andre Anderson(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
192,193,Garrett Mills(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
193,194,Jamize Olawale(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
194,195,Brandon Bolden(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7%
195,196,Alfred Morris(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
