,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Jonathan TaylorIND,24.2,110.7,1.0,2.1,17.0,0.1,0.1,19.0
1,Alvin KamaraNO,16.4,68.2,0.6,4.3,38.9,0.2,0.1,15.1
2,Najee HarrisPIT,18.3,73.9,0.6,3.7,27.3,0.1,0.1,14.3
3,David MontgomeryCHI,18.8,73.9,0.6,3.5,25.6,0.1,0.1,14.1
4,Nick ChubbCLE,16.8,83.9,0.6,2.3,17.4,0.1,0.1,14.0
5,Dalvin CookMIN,17.3,79.2,0.4,3.2,24.4,0.3,0.1,13.9
6,Austin EkelerLAC,12.6,56.9,0.5,3.7,31.9,0.2,0.1,13.3
7,Sony MichelLAR,16.5,69.8,0.6,2.3,19.4,0.1,0.1,12.7
8,Josh JacobsLV,15.0,60.8,0.5,3.8,27.7,0.1,0.1,12.2
9,Damien HarrisNE,16.0,71.7,0.7,1.0,7.6,0.0,0.1,12.1
10,Rashaad PennySEA,15.7,72.2,0.6,0.9,7.9,0.1,0.1,11.9
11,Elijah MitchellSF,14.3,64.3,0.6,1.7,12.6,0.1,0.0,11.7
12,Ezekiel ElliottDAL,12.7,54.9,0.5,2.5,18.3,0.1,0.1,11.0
13,Darrel WilliamsKC,11.9,46.2,0.5,3.2,27.6,0.1,0.0,10.9
14,Javonte WilliamsDEN,12.0,53.8,0.4,2.7,22.2,0.1,0.1,10.6
15,Devin SingletaryBUF,14.6,59.6,0.3,3.1,20.6,0.1,0.1,10.2
16,Cordarrelle PattersonATL,10.5,48.6,0.3,3.0,26.6,0.1,0.1,9.9
17,D'Andre SwiftDET,13.1,52.5,0.2,3.7,28.0,0.1,0.1,9.9
18,Michael CarterNYJ,11.3,49.9,0.3,3.3,27.3,0.1,0.1,9.8
19,Saquon BarkleyNYG,13.1,56.8,0.2,2.6,20.3,0.1,0.1,9.4
20,D'Onta ForemanTEN,13.6,58.8,0.3,1.1,10.8,0.1,0.1,8.8
21,Rex BurkheadHOU,13.1,52.2,0.2,2.0,15.9,0.1,0.0,8.6
22,Melvin Gordon IIIDEN,12.6,52.6,0.3,1.6,11.5,0.1,0.1,8.5
23,AJ DillonGB,12.8,51.3,0.2,1.6,12.7,0.1,0.1,8.1
24,Devonta FreemanBAL,11.7,46.5,0.2,2.4,17.0,0.1,0.0,8.0
25,Jaret PattersonWAS,12.5,51.7,0.3,1.0,8.1,0.0,0.1,7.6
26,Dare OgunbowaleJAC,10.0,43.0,0.2,2.0,15.3,0.0,0.1,7.2
27,Rhamondre StevensonNE,8.5,39.8,0.3,1.1,10.3,0.0,0.1,6.7
28,Duke Johnson Jr.MIA,10.5,42.3,0.2,1.4,11.1,0.0,0.1,6.5
29,Chuba HubbardCAR,11.5,43.2,0.2,0.9,7.0,0.0,0.1,6.3
30,Devontae BookerNYG,8.5,34.7,0.1,1.9,13.6,0.0,0.0,5.7
31,Justin JacksonLAC,6.8,29.7,0.2,1.4,11.6,0.1,0.0,5.4
32,DeeJay DallasSEA,6.7,25.0,0.2,1.8,15.1,0.1,0.1,5.3
33,Mike DavisATL,7.4,28.7,0.1,2.3,16.1,0.1,0.1,5.3
34,Myles GaskinMIA,6.2,25.1,0.1,2.6,17.4,0.1,0.1,5.2
35,Jamaal WilliamsDET,8.4,33.3,0.1,1.5,10.2,0.0,0.0,5.1
36,Jonathan WilliamsWAS,7.5,26.0,0.1,1.6,13.9,0.1,0.1,5.0
37,Latavius MurrayBAL,8.1,29.0,0.2,1.1,7.9,0.0,0.0,4.9
38,Dontrell HilliardTEN,5.5,24.1,0.1,2.0,16.2,0.1,0.1,4.9
39,Brandon BoldenNE,3.3,12.5,0.1,2.7,23.8,0.1,0.0,4.8
40,Ameer AbdullahCAR,5.1,18.8,0.1,2.5,18.8,0.1,0.1,4.5
41,Ke'Shawn VaughnTB,4.9,21.7,0.1,1.4,11.1,0.1,0.0,4.4
42,Zack MossBUF,5.7,23.2,0.1,1.1,9.2,0.1,0.0,4.4
43,Jeff Wilson Jr.SF,5.9,25.5,0.1,0.8,6.8,0.0,0.1,4.1
44,Royce FreemanHOU,7.2,25.6,0.1,1.0,7.3,0.0,0.0,3.9
45,D'Ernest JohnsonCLE,4.6,18.8,0.1,1.3,11.5,0.0,0.0,3.8
46,Nyheim HinesIND,3.2,13.3,0.1,1.8,15.1,0.1,0.0,3.8
47,Derrick GoreKC,5.1,19.8,0.1,0.9,7.8,0.0,0.0,3.7
48,Craig ReynoldsDET,4.7,19.0,0.1,1.3,11.6,0.0,0.0,3.6
49,Kenneth GainwellPHI,2.1,9.8,0.1,1.7,16.3,0.1,0.0,3.6
50,Alexander MattisonMIN,4.3,18.9,0.1,1.1,8.8,0.0,0.0,3.4
51,Ty JohnsonNYJ,4.3,16.0,0.1,1.0,8.1,0.1,0.0,3.3
52,Phillip LindsayMIA,5.7,22.4,0.1,0.3,1.8,0.0,0.0,3.2
53,Peyton BarberLV,4.3,17.0,0.1,1.0,8.3,0.0,0.0,3.1
54,Samaje PerineCIN,3.1,13.2,0.1,1.3,10.1,0.0,0.0,2.9
55,Tony Jones Jr.NO,4.5,14.3,0.1,0.7,5.6,0.0,0.0,2.7
56,Ty MontgomeryNO,0.0,5.2,0.1,1.1,15.4,0.0,0.0,2.6
57,Eno BenjaminARI,2.4,14.3,0.1,0.5,4.0,0.0,0.0,2.6
58,Nathan CottrellJAC,4.4,14.8,0.1,0.6,4.6,0.0,0.0,2.4
59,Khalil HerbertCHI,3.1,12.1,0.1,0.8,6.5,0.0,0.0,2.3
60,Austin WalterNYJ,2.8,11.5,0.1,0.5,3.5,0.0,0.0,2.2
61,Jake FunkLAR,3.0,11.0,0.1,0.5,4.0,0.0,0.0,2.1
62,Travis HomerSEA,1.9,8.4,0.1,0.8,7.5,0.0,0.0,2.1
63,Ryquell ArmsteadJAC,3.1,11.3,0.1,0.6,5.2,0.0,0.0,2.1
64,Spencer BrownBUF,0.0,12.7,0.1,0.6,2.9,0.0,0.0,2.1
65,Joshua KelleyLAC,2.6,11.6,0.1,0.6,4.9,0.0,0.0,2.1
66,Jerick McKinnonKC,1.2,5.9,0.1,1.0,7.9,0.1,0.0,2.0
67,Buddy HowellLAR,2.9,10.1,0.1,0.5,3.7,0.0,0.0,2.0
68,Damien WilliamsCHI,1.7,7.8,0.1,0.7,5.3,0.0,0.0,1.9
69,Benny Snell Jr.PIT,2.8,11.1,0.1,0.4,2.8,0.0,0.0,1.8
70,Kyle JuszczykSF,0.6,1.7,0.0,1.1,10.7,0.1,0.0,1.8
71,Corey ClementDAL,1.8,8.5,0.1,0.5,3.3,0.0,0.0,1.8
72,JaMycal HastySF,1.1,5.4,0.0,1.1,8.5,0.0,0.0,1.6
73,Alex CollinsSEA,4.0,16.0,0.0,0.0,0.0,0.0,0.0,1.6
74,Jalen RichardLV,0.7,3.0,0.0,1.3,10.5,0.0,0.0,1.6
75,Qadree OllisonATL,2.0,8.6,0.1,0.4,2.5,0.0,0.0,1.4
76,Jaylen SamuelsARI,1.3,6.3,0.0,0.8,5.2,0.0,0.0,1.4
77,Dwayne WashingtonNO,3.0,8.6,0.0,0.2,2.2,0.0,0.0,1.3
78,Patrick Taylor Jr.GB,1.1,7.3,0.0,0.4,2.3,0.0,0.0,1.3
79,Demetric FeltonCLE,2.1,4.7,0.0,0.5,6.7,0.0,0.0,1.2
80,Mike BooneDEN,0.7,6.1,0.0,0.3,1.8,0.0,0.0,1.0
81,David JohnsonHOU,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
82,James ConnerARI,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
83,Elijhaa PennyNYG,1.6,5.1,0.0,0.5,2.5,0.0,0.0,1.0
84,Chris EvansCIN,0.6,2.6,0.0,0.6,4.9,0.0,0.0,1.0
85,Godwin IgwebuikeDET,0.6,4.0,0.0,0.5,4.2,0.0,0.0,0.9
86,Adam PrenticeNO,0.0,0.0,0.0,0.7,8.0,0.0,0.0,0.8
87,Kene NwangwuMIN,0.5,3.6,0.0,0.4,2.2,0.0,0.0,0.7
88,Kalen BallagePIT,1.0,3.9,0.0,0.3,1.5,0.0,0.0,0.7
89,C.J. HamMIN,0.3,1.4,0.0,0.6,3.9,0.0,0.0,0.7
90,Keith SmithATL,0.4,1.8,0.0,0.6,4.3,0.0,0.0,0.7
91,Giovanni RicciCAR,0.0,0.0,0.0,0.7,5.7,0.0,0.0,0.6
92,Deon JacksonIND,1.2,2.8,0.0,0.2,1.6,0.0,0.0,0.6
93,Patrick RicardBAL,0.1,0.0,0.0,0.8,5.1,0.0,0.0,0.5
94,Ty'Son WilliamsBAL,0.1,2.3,0.0,0.2,1.6,0.0,0.0,0.5
95,Damarea CrockettDEN,0.7,2.7,0.0,0.2,1.4,0.0,0.0,0.5
96,Larry Rountree IIILAC,1.2,4.0,0.0,0.1,1.0,0.0,0.0,0.5
97,Kenjon BarnerTB,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.4
98,Gabe NabersLAC,0.0,0.4,0.0,0.3,2.6,0.0,0.0,0.4
99,Taiwan JonesBUF,0.0,0.7,0.0,0.2,2.3,0.0,0.0,0.4
100,Nick BawdenNYJ,0.0,0.1,0.0,0.3,1.5,0.0,0.0,0.3
101,Derek WattPIT,0.0,1.3,0.0,0.2,1.0,0.0,0.0,0.3
102,Khari BlasingameTEN,0.1,1.4,0.0,0.2,1.1,0.0,0.0,0.3
103,Michael BurtonKC,0.3,1.4,0.0,0.2,1.0,0.0,0.0,0.3
104,Nick BelloreSEA,0.0,0.4,0.0,0.2,1.5,0.0,0.0,0.3
105,Jakob JohnsonNE,0.0,0.4,0.0,0.2,1.2,0.0,0.0,0.2
106,Wayne Gallman Jr.MIN,0.4,1.0,0.0,0.1,1.0,0.0,0.0,0.2
107,Cullen GillaspiaNYG,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1
108,Andy JanovichCLE,0.1,0.0,0.0,0.2,0.7,0.0,0.0,0.1
109,Reggie GilliamBUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
