,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
69,Eno BenjaminARI,2.1,6.5,0.1,0.3,2.7,0.0,0.0,1.2
70,Kene NwangwuMIN,1.5,6.3,0.0,0.4,3.2,0.0,0.0,1.2
71,Joshua KelleyLAC,1.9,7.7,0.0,0.4,3.1,0.0,0.0,1.2
72,Ty'Son WilliamsBAL,1.2,5.6,0.0,0.4,2.6,0.0,0.0,1.1
73,C.J. HamMIN,0.6,2.3,0.0,0.8,6.5,0.0,0.0,1.1
74,Trayveon WilliamsCIN,1.0,6.3,0.0,0.3,1.8,0.0,0.0,1.0
75,Tory CarterTEN,0.6,2.6,0.0,0.5,3.7,0.0,0.0,0.9
76,Andy JanovichCLE,0.3,0.1,0.0,0.4,4.2,0.0,0.0,0.9
77,Elijhaa PennyNYG,1.2,4.8,0.0,0.2,0.8,0.0,0.0,0.9
78,Trey RagasLV,0.0,3.5,0.0,0.4,3.0,0.0,0.0,0.8
79,Keith SmithATL,0.7,2.0,0.0,0.7,4.4,0.0,0.0,0.8
80,Nick BawdenNYJ,0.4,0.7,0.0,0.5,4.4,0.0,0.0,0.6
81,Damarea CrockettDEN,0.9,2.8,0.0,0.2,1.8,0.0,0.0,0.6
82,Adam PrenticeNO,0.2,0.6,0.0,0.5,5.1,0.0,0.0,0.6
83,Dwayne WashingtonNO,0.8,3.0,0.0,0.3,2.4,0.0,0.0,0.6
84,Dare OgunbowaleJAC,0.8,2.5,0.0,0.3,2.3,0.0,0.0,0.5
85,JaQuan HardyDAL,0.7,3.0,0.0,0.2,2.0,0.0,0.0,0.5
86,Taiwan JonesBUF,0.2,1.3,0.0,0.3,2.6,0.0,0.0,0.5
87,Ke'Shawn VaughnTB,0.9,3.0,0.0,0.1,1.0,0.0,0.0,0.4
88,Gary BrightwellNYG,0.5,1.7,0.0,0.1,1.1,0.0,0.0,0.3
89,Michael BurtonKC,0.5,1.3,0.0,0.1,1.1,0.0,0.0,0.3
90,Derek WattPIT,0.2,0.9,0.0,0.2,0.9,0.0,0.0,0.2
91,Gabe NabersLAC,0.1,0.3,0.0,0.3,1.9,0.0,0.0,0.2
92,Ryan NallCHI,0.2,1.0,0.0,0.1,1.0,0.0,0.0,0.2
93,Jake BargasMIN,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
94,Giovanni RicciCAR,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
95,Reggie GilliamBUF,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
96,Nick BelloreSEA,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.1
97,Cullen GillaspiaNYG,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.1
