,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Alvin KamaraNO,15.8,73.8,0.7,5.3,45.4,0.3,0.1,17.6
1,Nick ChubbCLE,19.6,100.1,1.0,1.7,14.7,0.1,0.1,17.6
2,Dalvin CookMIN,19.9,91.6,0.7,3.7,31.9,0.1,0.2,17.1
3,Najee HarrisPIT,18.7,79.2,0.7,3.0,25.1,0.1,0.2,15.0
4,Austin EkelerLAC,13.5,58.4,0.5,5.0,40.2,0.3,0.1,14.5
5,Antonio GibsonWAS,18.6,76.1,0.7,3.1,22.8,0.1,0.1,14.3
6,David MontgomeryCHI,17.8,75.8,0.6,2.8,21.1,0.1,0.1,14.0
7,Ezekiel ElliottDAL,15.8,69.1,0.6,3.2,24.0,0.1,0.1,13.7
8,Jonathan TaylorIND,15.7,66.5,0.6,2.8,23.2,0.1,0.1,13.0
9,D'Andre SwiftDET,11.8,51.3,0.5,4.5,39.4,0.2,0.1,12.9
10,Damien HarrisNE,18.7,78.8,0.6,1.0,8.5,0.0,0.1,12.3
11,Elijah MitchellSF,15.4,69.6,0.6,1.1,10.0,0.0,0.1,11.6
12,Melvin Gordon IIIDEN,13.3,61.5,0.6,2.2,15.2,0.1,0.1,11.4
13,Saquon BarkleyNYG,12.7,55.7,0.4,2.8,21.2,0.1,0.1,10.7
14,Myles GaskinMIA,12.0,53.0,0.3,3.4,26.7,0.1,0.1,10.5
15,Mike DavisATL,13.2,48.9,0.3,3.6,23.5,0.1,0.1,9.5
16,Ty'Son WilliamsBAL,10.9,50.9,0.4,1.8,14.2,0.1,0.1,9.4
17,Javonte WilliamsDEN,12.9,52.0,0.4,1.4,12.1,0.1,0.1,9.3
18,Devin SingletaryBUF,12.3,47.7,0.2,2.3,16.3,0.1,0.1,7.9
19,James ConnerARI,11.0,46.2,0.3,1.4,10.5,0.0,0.1,7.4
20,Jamaal WilliamsDET,9.3,37.0,0.2,2.6,18.7,0.1,0.1,6.9
21,Nyheim HinesIND,5.7,21.8,0.1,3.8,28.1,0.1,0.1,6.5
22,AJ DillonGB,8.9,39.2,0.3,0.6,5.9,0.0,0.1,6.0
23,Latavius MurrayBAL,9.1,37.1,0.2,0.9,6.4,0.0,0.1,5.8
24,Damien WilliamsCHI,5.9,25.2,0.2,2.0,15.3,0.1,0.1,5.6
25,Tevin ColemanNYJ,9.8,36.9,0.2,1.0,7.8,0.0,0.1,5.6
26,Tony Jones Jr.NO,7.3,27.8,0.2,1.1,8.8,0.1,0.0,4.9
27,Kenneth GainwellPHI,6.1,23.0,0.2,1.4,11.5,0.1,0.0,4.6
28,J.D. McKissicWAS,3.7,16.2,0.1,2.9,21.9,0.1,0.1,4.6
29,Peyton BarberLV,9.1,29.2,0.2,0.6,4.9,0.0,0.1,4.5
30,Larry Rountree IIILAC,6.4,25.4,0.2,0.8,6.5,0.0,0.1,4.5
31,Ty JohnsonNYJ,5.4,23.5,0.1,1.8,13.6,0.1,0.1,4.5
32,Michael CarterNYJ,6.2,23.5,0.1,1.2,9.4,0.0,0.0,4.1
33,Cordarrelle PattersonATL,4.7,18.4,0.1,1.3,11.4,0.1,0.0,4.1
34,David JohnsonHOU,3.7,14.0,0.1,2.3,17.7,0.1,0.0,4.1
35,Sony MichelLAR,5.4,23.5,0.1,0.7,5.7,0.0,0.0,3.7
36,Trey SermonSF,5.0,21.1,0.1,0.8,6.0,0.0,0.0,3.7
37,Devontae BookerNYG,6.4,23.8,0.1,1.0,6.7,0.0,0.0,3.6
38,Phillip LindsayMIA,5.2,22.3,0.1,1.0,6.7,0.0,0.0,3.6
39,Malcolm BrownMIA,5.7,20.4,0.2,0.7,4.9,0.0,0.1,3.5
40,Zack MossBUF,4.8,20.9,0.1,0.5,4.0,0.0,0.0,3.3
41,Giovani BernardTB,2.3,10.1,0.1,1.9,15.0,0.1,0.0,3.3
42,JaMycal HastySF,3.6,15.4,0.1,1.0,8.3,0.0,0.0,3.1
43,Darrel WilliamsKC,3.8,15.5,0.1,1.2,8.9,0.0,0.0,3.1
44,Salvon AhmedMIA,3.7,16.1,0.1,1.0,7.8,0.0,0.0,3.0
45,Samaje PerineCIN,3.5,15.2,0.1,0.9,6.8,0.0,0.0,2.8
46,Justin JacksonLAC,2.4,13.7,0.1,0.9,7.0,0.0,0.0,2.7
47,Alexander MattisonMIN,3.5,16.4,0.1,0.6,6.0,0.0,0.0,2.7
48,DeeJay DallasSEA,3.1,11.7,0.1,0.9,7.7,0.0,0.0,2.5
49,Trey RagasLV,2.9,11.1,0.0,0.8,8.3,0.1,0.0,2.5
50,Alex CollinsSEA,2.5,12.2,0.1,0.4,3.6,0.0,0.0,2.3
51,Devonta FreemanBAL,2.7,12.1,0.1,0.6,4.9,0.0,0.0,2.3
52,J.J. TaylorNE,3.3,14.1,0.1,0.3,2.6,0.0,0.0,2.3
53,Matt BreidaBUF,3.7,14.4,0.0,0.7,5.2,0.0,0.0,2.1
54,Kyle JuszczykSF,0.7,2.5,0.0,1.3,12.2,0.1,0.0,2.1
55,Ty MontgomeryNO,1.0,5.6,0.0,1.1,10.1,0.0,0.0,2.0
56,Marlon MackIND,1.2,11.5,0.1,0.3,2.2,0.0,0.0,1.9
57,Benny Snell Jr.PIT,2.3,11.0,0.1,0.2,1.7,0.0,0.0,1.8
58,Rex BurkheadHOU,0.4,4.6,0.0,0.9,7.0,0.0,0.0,1.6
