,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Jonathan TaylorIND,17.6,84.4,0.9,3.2,26.3,0.2,0.1,16.9
1,Austin EkelerLAC,13.6,61.8,0.5,4.8,42.5,0.3,0.1,15.3
2,Ezekiel ElliottDAL,17.6,75.8,0.7,3.2,23.0,0.1,0.1,14.5
3,D'Andre SwiftDET,16.0,68.1,0.6,4.4,35.5,0.2,0.1,14.5
4,Dalvin CookMIN,18.6,81.2,0.6,3.1,23.5,0.1,0.2,14.4
5,Najee HarrisPIT,18.3,72.1,0.5,3.9,30.2,0.1,0.1,14.2
6,David MontgomeryCHI,18.0,75.2,0.6,2.8,21.9,0.1,0.1,13.7
7,Nick ChubbCLE,15.8,79.8,0.6,1.5,12.8,0.1,0.1,13.0
8,Saquon BarkleyNYG,14.0,57.9,0.5,3.7,28.0,0.1,0.1,12.0
9,Cordarrelle PattersonATL,10.9,43.6,0.3,4.2,42.4,0.3,0.1,11.9
10,Antonio GibsonWAS,15.3,60.9,0.6,1.7,13.0,0.1,0.2,10.9
11,Elijah MitchellSF,14.2,66.1,0.5,1.2,9.8,0.0,0.1,10.9
12,Melvin Gordon IIIDEN,11.9,55.2,0.6,2.1,14.4,0.1,0.1,10.7
13,AJ DillonGB,12.5,54.0,0.5,2.5,21.0,0.1,0.1,10.7
14,Myles GaskinMIA,13.4,53.9,0.3,3.5,24.0,0.2,0.1,10.0
15,Damien HarrisNE,13.2,59.6,0.6,0.9,7.2,0.0,0.1,10.0
16,Josh JacobsLV,12.5,52.0,0.3,2.9,21.3,0.1,0.1,9.5
17,Rhamondre StevensonNE,10.6,45.7,0.5,1.9,16.7,0.1,0.1,9.3
18,Alex CollinsSEA,13.3,55.2,0.5,1.1,8.1,0.0,0.1,9.3
19,Devonta FreemanBAL,9.9,44.3,0.5,2.0,15.3,0.1,0.1,9.1
20,Tony Jones Jr.NO,11.7,48.4,0.3,2.2,17.4,0.1,0.1,8.5
21,Javonte WilliamsDEN,10.4,50.6,0.2,2.1,16.1,0.1,0.1,8.4
22,D'Onta ForemanTEN,12.5,54.9,0.2,1.4,13.4,0.0,0.1,8.2
23,Ty JohnsonNYJ,8.4,33.4,0.2,3.3,29.1,0.1,0.1,7.9
24,David JohnsonHOU,8.6,33.7,0.2,2.7,22.6,0.1,0.1,7.6
25,Tevin ColemanNYJ,10.5,43.4,0.2,1.5,11.3,0.1,0.1,7.1
26,Dontrell HilliardTEN,8.2,29.7,0.2,3.1,25.7,0.1,0.1,6.7
27,Rex BurkheadHOU,10.6,38.5,0.3,0.9,8.2,0.1,0.1,6.7
28,Devin SingletaryBUF,8.0,34.9,0.2,2.2,14.7,0.1,0.1,6.1
29,J.D. McKissicWAS,4.6,17.9,0.1,3.7,28.1,0.1,0.1,5.6
30,Jeff Wilson Jr.SF,7.1,31.3,0.2,1.1,9.7,0.1,0.1,5.6
31,Jamaal WilliamsDET,7.7,31.4,0.2,1.2,8.8,0.0,0.0,5.2
32,Matt BreidaBUF,6.6,27.9,0.1,1.4,12.7,0.1,0.1,5.2
33,Mike DavisATL,7.6,26.9,0.1,2.2,14.5,0.1,0.1,5.2
34,Latavius MurrayBAL,7.7,30.7,0.2,0.9,6.2,0.0,0.1,5.0
35,Sony MichelLAR,7.1,30.6,0.2,0.9,6.8,0.0,0.0,4.9
36,Zack MossBUF,7.2,26.0,0.1,1.5,12.5,0.1,0.1,4.6
37,Khalil HerbertCHI,6.4,26.0,0.2,0.9,7.6,0.0,0.1,4.4
38,DeeJay DallasSEA,5.1,18.8,0.1,1.7,13.4,0.0,0.0,4.3
39,Nyheim HinesIND,3.1,13.5,0.1,2.3,17.5,0.1,0.0,4.1
40,Brandon BoldenNE,2.8,12.0,0.1,2.2,18.7,0.1,0.0,4.0
41,Alexander MattisonMIN,4.8,19.5,0.1,0.9,7.5,0.0,0.0,3.5
42,Devontae BookerNYG,4.2,18.5,0.1,1.0,7.0,0.0,0.0,3.4
43,Samaje PerineCIN,4.5,18.9,0.1,1.0,8.2,0.0,0.0,3.3
44,Duke Johnson Jr.MIA,5.2,20.0,0.1,0.8,6.6,0.0,0.0,3.3
45,Ty MontgomeryNO,5.1,16.4,0.1,1.3,10.0,0.0,0.1,3.0
46,Trey SermonSF,4.1,17.1,0.1,0.5,4.3,0.0,0.0,2.9
47,Wayne Gallman Jr.MIN,4.8,17.9,0.1,0.5,4.0,0.0,0.0,2.8
48,Kenneth GainwellPHI,2.5,11.3,0.1,1.1,9.9,0.1,0.0,2.8
49,Justin JacksonLAC,3.6,17.1,0.1,0.7,5.3,0.0,0.0,2.8
50,Giovani BernardTB,2.1,8.2,0.0,1.6,11.4,0.1,0.0,2.7
51,Patrick Taylor Jr.GB,3.2,11.2,0.1,0.7,6.1,0.0,0.0,2.5
52,D'Ernest JohnsonCLE,2.6,12.0,0.1,0.6,6.0,0.0,0.0,2.4
53,Royce FreemanHOU,3.9,14.4,0.1,0.5,3.2,0.0,0.0,2.4
54,Kyle JuszczykSF,0.6,1.8,0.0,1.5,14.2,0.1,0.0,2.3
55,Chuba HubbardCAR,3.5,14.0,0.1,0.7,5.7,0.0,0.0,2.3
56,Austin WalterNYJ,2.5,10.8,0.1,0.8,6.3,0.0,0.0,2.3
57,Phillip LindsayMIA,3.5,13.6,0.1,0.5,3.3,0.0,0.1,2.3
58,Salvon AhmedMIA,2.0,12.3,0.1,0.7,5.1,0.0,0.0,2.2
59,Demetric FeltonCLE,1.4,4.3,0.0,0.9,11.5,0.1,0.0,2.2
60,Larry Rountree IIILAC,4.3,15.5,0.1,0.2,1.7,0.0,0.0,2.2
61,Dwayne WashingtonNO,3.1,11.0,0.1,0.6,5.1,0.0,0.0,2.1
62,Qadree OllisonATL,4.0,12.5,0.1,0.3,3.5,0.0,0.0,1.9
63,Jaret PattersonWAS,2.9,11.7,0.1,0.3,2.4,0.0,0.0,1.9
64,Ameer AbdullahCAR,2.0,7.8,0.0,0.9,6.8,0.0,0.0,1.8
65,Joshua KelleyLAC,2.5,10.0,0.0,0.5,4.1,0.0,0.0,1.6
66,Chris EvansCIN,0.8,3.1,0.0,0.9,8.5,0.0,0.0,1.6
67,Jermar JeffersonDET,1.3,7.7,0.1,0.4,3.0,0.0,0.0,1.5
68,Mike BooneDEN,1.7,8.1,0.1,0.2,1.2,0.0,0.0,1.5
69,Corey ClementDAL,2.2,7.9,0.1,0.2,1.8,0.0,0.0,1.5
70,Ty'Son WilliamsBAL,1.6,7.8,0.1,0.4,3.4,0.0,0.0,1.5
71,Jalen RichardLV,1.0,4.0,0.0,1.0,8.5,0.0,0.0,1.5
72,Patrick RicardBAL,0.3,0.5,0.0,0.9,7.3,0.1,0.0,1.4
73,Elijhaa PennyNYG,1.7,8.0,0.1,0.2,1.3,0.0,0.0,1.3
74,Travis HomerSEA,1.4,5.0,0.0,1.0,8.0,0.0,0.0,1.3
75,Kalen BallagePIT,1.9,5.3,0.0,0.7,4.2,0.0,0.0,1.3
76,Godwin IgwebuikeDET,0.9,4.9,0.0,0.4,3.7,0.0,0.0,1.2
77,Patrick LairdMIA,1.1,3.5,0.0,0.7,5.7,0.0,0.0,1.1
78,Anthony McFarland Jr.PIT,0.9,6.9,0.0,0.3,1.0,0.0,0.0,1.0
