,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Alvin KamaraNO,16.7,75.2,0.8,5.1,45.2,0.3,0.1,18.0
1,Dalvin CookMIN,18.1,81.5,0.7,3.4,29.1,0.1,0.1,16.0
2,Austin EkelerLAC,13.0,59.1,0.5,5.3,44.9,0.3,0.1,15.1
3,Nick ChubbCLE,16.3,82.2,0.7,1.9,14.5,0.1,0.1,14.3
4,David MontgomeryCHI,17.3,70.8,0.6,2.9,24.6,0.1,0.1,13.7
5,Antonio GibsonWAS,17.0,71.3,0.6,2.2,19.7,0.1,0.1,13.1
6,Jonathan TaylorIND,16.2,72.2,0.6,2.5,21.1,0.1,0.1,13.1
7,Ezekiel ElliottDAL,15.8,65.6,0.6,2.6,20.1,0.1,0.1,12.7
8,Najee HarrisPIT,15.0,59.2,0.3,5.0,40.8,0.2,0.1,12.7
9,Saquon BarkleyNYG,15.8,62.1,0.5,3.8,28.5,0.1,0.1,12.6
10,D'Andre SwiftDET,12.4,49.4,0.4,4.8,41.3,0.2,0.1,12.6
11,Trey SermonSF,14.0,58.1,0.7,1.5,13.7,0.1,0.1,11.4
12,Melvin Gordon IIIDEN,12.4,53.2,0.5,2.3,16.7,0.1,0.1,10.5
13,Chuba HubbardCAR,14.0,54.3,0.4,3.1,24.2,0.1,0.1,10.3
14,Elijah MitchellSF,11.0,50.0,0.6,1.0,10.0,0.1,0.0,10.2
15,Zack MossBUF,11.8,49.5,0.6,1.4,11.1,0.1,0.1,9.9
16,Myles GaskinMIA,11.9,51.1,0.3,3.3,24.9,0.1,0.1,9.6
17,Mike DavisATL,13.0,50.2,0.3,3.7,23.2,0.1,0.1,9.3
18,Damien HarrisNE,14.0,59.3,0.4,1.2,9.3,0.0,0.1,9.1
19,Cordarrelle PattersonATL,7.9,33.4,0.2,2.9,26.0,0.1,0.1,8.1
20,Devin SingletaryBUF,10.5,47.8,0.3,1.9,14.0,0.1,0.1,8.0
21,Michael CarterNYJ,10.4,45.2,0.3,1.8,15.6,0.1,0.1,7.9
22,Ty'Son WilliamsBAL,12.0,50.0,0.3,2.5,11.0,0.0,0.0,7.6
23,Jamaal WilliamsDET,9.9,38.3,0.2,2.8,20.7,0.1,0.1,7.3
24,Nyheim HinesIND,6.3,25.4,0.2,3.7,30.3,0.1,0.1,7.3
25,Sony MichelLAR,9.2,39.2,0.4,1.0,7.9,0.1,0.1,7.2
26,Javonte WilliamsDEN,10.4,41.0,0.2,1.8,14.6,0.1,0.1,7.2
27,Josh JacobsLV,8.2,38.2,0.3,1.1,8.7,0.0,0.1,6.7
28,James ConnerARI,9.5,38.3,0.3,0.8,5.6,0.0,0.1,6.2
29,Latavius MurrayBAL,9.7,40.5,0.3,0.7,5.0,0.0,0.1,6.2
30,Peyton BarberLV,9.9,35.8,0.2,0.6,4.5,0.0,0.1,5.4
31,J.D. McKissicWAS,4.2,17.4,0.1,3.2,24.4,0.1,0.0,5.4
32,Ty JohnsonNYJ,6.8,28.4,0.1,1.6,12.5,0.1,0.1,5.2
33,Kenneth GainwellPHI,4.9,21.1,0.1,2.0,17.7,0.1,0.0,5.1
34,Kyle JuszczykSF,2.6,9.1,0.1,2.2,21.7,0.2,0.0,4.5
35,David JohnsonHOU,4.1,17.0,0.1,2.2,18.3,0.1,0.0,4.3
36,AJ DillonGB,6.4,27.1,0.1,0.9,7.4,0.0,0.0,4.2
37,Brandon BoldenNE,3.6,13.2,0.2,1.8,15.8,0.0,0.0,4.1
38,Tony Jones Jr.NO,4.9,20.9,0.1,1.0,9.2,0.0,0.0,4.1
39,Darrel WilliamsKC,4.8,18.5,0.2,1.0,7.6,0.1,0.0,4.0
40,Alexander MattisonMIN,5.4,22.3,0.1,1.0,8.5,0.0,0.0,4.0
41,Malcolm BrownMIA,6.4,24.0,0.2,0.4,3.1,0.0,0.1,3.8
42,Damien WilliamsCHI,3.4,14.2,0.1,1.7,13.3,0.1,0.0,3.7
43,Royce FreemanHOU,5.5,19.5,0.1,1.3,8.2,0.0,0.0,3.7
44,Phillip LindsayMIA,5.2,21.9,0.1,0.8,6.2,0.0,0.0,3.6
45,J.J. TaylorNE,3.1,13.0,0.1,1.6,11.1,0.1,0.0,3.3
46,Justin JacksonLAC,3.9,17.9,0.1,0.8,6.2,0.0,0.0,3.1
47,Rhamondre StevensonNE,3.1,11.9,0.2,1.0,7.0,0.0,0.0,2.9
48,Larry Rountree IIILAC,4.0,16.6,0.1,0.7,5.2,0.0,0.0,2.8
49,Salvon AhmedMIA,3.7,14.8,0.1,0.8,6.2,0.0,0.0,2.8
50,Tevin ColemanNYJ,4.1,16.1,0.1,0.4,3.0,0.0,0.0,2.6
51,Samaje PerineCIN,2.7,11.7,0.1,0.8,5.7,0.0,0.0,2.4
52,Devonta FreemanBAL,3.0,12.7,0.0,0.6,4.3,0.0,0.0,2.2
