,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Alvin KamaraNO,14.7,66.4,0.6,5.3,45.9,0.2,0.1,16.1
1,Nick ChubbCLE,17.5,87.1,0.9,1.8,14.7,0.1,0.1,15.6
2,Jonathan TaylorIND,17.1,76.4,0.7,2.7,23.1,0.1,0.1,14.5
3,Najee HarrisPIT,17.0,70.7,0.6,3.5,29.3,0.2,0.1,14.1
4,Austin EkelerLAC,12.9,57.3,0.5,5.3,42.8,0.2,0.1,14.1
5,Ezekiel ElliottDAL,15.4,66.7,0.7,2.8,22.0,0.1,0.1,13.4
6,Saquon BarkleyNYG,15.8,66.8,0.6,3.0,22.9,0.1,0.1,13.0
7,Antonio GibsonWAS,17.0,72.4,0.6,2.7,19.6,0.1,0.1,12.9
8,David MontgomeryCHI,17.3,70.4,0.5,2.8,21.3,0.1,0.1,12.8
9,D'Andre SwiftDET,10.2,43.6,0.3,4.8,40.9,0.3,0.1,12.0
10,Damien HarrisNE,17.9,75.2,0.6,1.0,8.3,0.0,0.1,11.9
11,Alexander MattisonMIN,15.3,66.1,0.5,2.0,17.7,0.1,0.1,11.4
12,Elijah MitchellSF,14.0,59.0,0.7,1.0,12.0,0.0,0.0,11.3
13,Ty'Son WilliamsBAL,11.7,53.4,0.5,2.0,16.2,0.1,0.1,10.3
14,Dalvin CookMIN,11.0,51.0,0.4,2.0,19.5,0.1,0.0,10.1
15,Melvin Gordon IIIDEN,12.1,53.4,0.4,2.2,15.8,0.1,0.1,9.7
16,Trey SermonSF,12.4,57.4,0.4,1.6,13.6,0.1,0.1,9.6
17,Myles GaskinMIA,10.7,47.1,0.3,3.4,26.5,0.1,0.1,9.4
18,Mike DavisATL,12.3,47.8,0.3,3.8,24.6,0.1,0.1,9.3
19,Sony MichelLAR,14.3,58.7,0.3,1.5,13.0,0.1,0.1,9.3
20,Devin SingletaryBUF,12.4,52.0,0.4,2.0,14.8,0.1,0.1,9.0
21,Javonte WilliamsDEN,12.1,49.3,0.4,1.4,10.9,0.1,0.1,8.7
22,James ConnerARI,11.9,48.1,0.3,1.0,7.3,0.0,0.1,7.2
23,Jamaal WilliamsDET,8.7,33.5,0.2,2.8,20.2,0.1,0.1,6.7
24,Tevin ColemanNYJ,11.0,42.0,0.3,1.0,7.0,0.0,0.0,6.7
25,Nyheim HinesIND,4.8,19.6,0.1,3.5,27.7,0.1,0.1,6.3
26,Cordarrelle PattersonATL,7.3,30.8,0.2,1.6,14.7,0.1,0.1,6.2
27,Michael CarterNYJ,9.5,36.4,0.2,1.6,12.9,0.0,0.1,6.0
28,Latavius MurrayBAL,8.2,34.3,0.2,0.8,6.1,0.0,0.1,5.6
29,Ty JohnsonNYJ,7.9,35.2,0.1,1.4,10.3,0.0,0.1,5.5
30,Peyton BarberLV,10.7,36.6,0.3,0.4,2.9,0.0,0.1,5.5
31,Kenneth GainwellPHI,6.1,24.8,0.2,1.6,14.5,0.1,0.0,5.4
32,J.D. McKissicWAS,3.9,15.7,0.1,3.5,25.9,0.1,0.1,5.0
33,David JohnsonHOU,4.9,19.3,0.1,2.3,18.3,0.1,0.0,4.8
34,AJ DillonGB,6.5,28.3,0.2,0.9,7.5,0.0,0.0,4.7
35,Zack MossBUF,6.3,26.2,0.2,0.7,5.7,0.0,0.1,4.4
36,Damien WilliamsCHI,3.9,16.4,0.1,2.0,14.6,0.1,0.0,4.1
37,Tony Jones Jr.NO,5.8,23.5,0.1,0.9,7.6,0.0,0.0,4.0
38,Ameer AbdullahCAR,5.2,19.9,0.1,1.0,8.0,0.1,0.1,3.6
39,Salvon AhmedMIA,4.5,19.1,0.1,1.0,8.1,0.0,0.0,3.5
40,Justin JacksonLAC,3.8,18.4,0.1,1.0,7.1,0.1,0.0,3.5
41,Phillip LindsayMIA,5.2,22.3,0.1,0.8,5.2,0.0,0.0,3.4
42,Malcolm BrownMIA,5.6,21.1,0.2,0.5,3.4,0.0,0.0,3.4
43,Darrel WilliamsKC,3.9,15.0,0.1,0.9,7.6,0.0,0.0,3.3
44,Devontae BookerNYG,6.5,24.5,0.0,1.0,6.0,0.0,0.0,3.1
45,Trenton CannonSF,4.5,12.9,0.1,0.9,7.7,0.1,0.1,2.9
46,Larry Rountree IIILAC,4.1,16.7,0.1,0.6,5.1,0.0,0.0,2.8
47,Jake FunkLAR,3.2,11.8,0.1,1.1,9.0,0.1,0.0,2.8
48,Devonta FreemanBAL,2.8,11.7,0.1,0.7,5.3,0.1,0.0,2.5
49,Giovani BernardTB,1.3,5.5,0.0,1.7,12.3,0.1,0.0,2.4
50,Kyle JuszczykSF,0.8,3.2,0.0,1.4,12.9,0.1,0.0,2.3
51,Chuba HubbardCAR,3.0,11.3,0.1,0.7,5.5,0.0,0.0,2.3
52,Samaje PerineCIN,2.8,12.0,0.1,0.8,5.7,0.0,0.0,2.3
