,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Jonathan TaylorIND,18.9,90.0,0.9,2.5,23.2,0.1,0.1,17.0
1,Najee HarrisPIT,21.1,80.4,0.7,4.1,34.2,0.2,0.1,16.3
2,Dalvin CookMIN,18.9,90.1,0.7,3.0,22.8,0.1,0.1,15.4
3,Austin EkelerLAC,13.8,63.6,0.6,4.7,41.9,0.3,0.1,15.3
4,D'Andre SwiftDET,15.0,59.6,0.3,5.4,46.3,0.3,0.2,14.3
5,Ezekiel ElliottDAL,17.3,74.8,0.7,2.7,20.5,0.1,0.1,14.0
6,D'Ernest JohnsonCLE,18.5,79.2,0.6,2.1,18.5,0.1,0.1,13.8
7,James ConnerARI,17.0,71.4,0.7,2.1,16.2,0.1,0.1,13.3
8,Cordarrelle PattersonATL,9.7,43.5,0.3,4.6,45.0,0.3,0.1,12.0
9,Josh JacobsLV,14.5,59.4,0.6,2.4,19.4,0.1,0.1,11.7
10,Elijah MitchellSF,15.0,66.0,0.5,1.4,10.8,0.1,0.1,11.1
11,Melvin Gordon IIIDEN,12.6,54.7,0.6,2.0,14.5,0.1,0.1,10.6
12,Darrel WilliamsKC,12.6,49.6,0.5,2.5,19.6,0.1,0.1,10.3
13,Michael CarterNYJ,11.2,46.9,0.2,3.6,28.5,0.2,0.1,10.3
14,Rhamondre StevensonNE,11.7,51.1,0.3,2.3,20.0,0.1,0.1,9.4
15,Myles GaskinMIA,11.2,46.4,0.2,3.6,26.1,0.1,0.1,9.3
16,Javonte WilliamsDEN,10.2,47.5,0.4,2.1,16.6,0.1,0.1,8.9
17,Zack MossBUF,10.0,38.9,0.5,2.1,17.6,0.1,0.1,8.9
18,Alex CollinsSEA,12.2,52.2,0.3,1.0,8.8,0.0,0.1,8.0
19,Antonio GibsonWAS,11.3,46.2,0.3,2.0,14.6,0.1,0.1,8.0
20,AJ DillonGB,9.6,41.2,0.4,1.4,12.4,0.1,0.1,7.7
21,Devonta FreemanBAL,8.9,39.8,0.2,1.9,14.1,0.1,0.1,7.3
22,Brandon BoldenNE,7.7,29.0,0.1,2.8,24.1,0.1,0.1,6.7
23,Mike DavisATL,9.2,32.5,0.2,2.8,17.7,0.1,0.1,6.5
24,J.D. McKissicWAS,4.2,17.6,0.1,4.8,33.2,0.1,0.1,6.4
25,Devin SingletaryBUF,8.0,33.4,0.2,1.8,13.1,0.1,0.1,5.8
26,Nyheim HinesIND,5.0,20.2,0.2,2.5,19.9,0.1,0.0,5.5
27,Sony MichelLAR,7.5,32.4,0.2,0.8,6.5,0.0,0.1,5.1
28,Eno BenjaminARI,7.5,27.7,0.2,0.9,7.3,0.0,0.1,4.7
29,Ty JohnsonNYJ,4.6,18.3,0.1,2.4,20.3,0.1,0.0,4.7
30,Salvon AhmedMIA,6.8,25.3,0.1,1.3,11.2,0.0,0.1,4.5
31,J.J. TaylorNE,7.1,23.8,0.2,0.6,5.2,0.0,0.1,4.2
32,Tony Jones Jr.NO,5.9,22.2,0.2,0.8,6.6,0.0,0.0,4.1
33,Kenneth GainwellPHI,3.1,13.9,0.1,1.9,18.0,0.1,0.0,4.1
34,Alexander MattisonMIN,5.6,24.2,0.1,1.0,7.7,0.0,0.0,4.0
35,Chuba HubbardCAR,4.8,19.9,0.1,1.4,11.2,0.0,0.0,3.8
36,Brian HillSF,4.1,21.7,0.1,0.8,7.1,0.0,0.0,3.7
37,Rashaad PennySEA,5.2,22.3,0.2,0.6,5.3,0.0,0.0,3.7
38,D'Onta ForemanTEN,6.1,22.9,0.1,0.5,4.6,0.0,0.0,3.6
39,Derrick GoreKC,4.9,19.7,0.2,0.6,4.9,0.0,0.0,3.5
40,Jeff Wilson Jr.SF,2.3,14.1,0.1,1.1,9.8,0.1,0.1,3.5
41,Giovani BernardTB,2.4,9.5,0.0,1.9,14.5,0.1,0.0,3.2
42,JaMycal HastySF,2.0,8.0,0.0,3.0,23.0,0.0,0.0,3.1
43,Joshua KelleyLAC,4.5,16.8,0.1,0.8,6.6,0.0,0.0,3.0
44,Jermar JeffersonDET,4.1,15.1,0.1,1.1,8.8,0.0,0.0,2.9
45,Jerick McKinnonKC,1.5,6.8,0.1,1.5,11.4,0.1,0.0,2.5
46,Larry Rountree IIILAC,3.7,13.5,0.1,0.4,3.4,0.0,0.0,2.5
47,Jaret PattersonWAS,3.7,13.4,0.1,0.4,2.9,0.0,0.0,2.3
48,Trey SermonSF,3.0,12.5,0.1,0.4,2.8,0.0,0.0,2.2
49,Ty'Son WilliamsBAL,2.2,10.1,0.1,0.5,4.8,0.0,0.0,2.2
50,Kyle JuszczykSF,0.7,2.2,0.0,1.4,13.4,0.1,0.0,2.1
51,Dwayne WashingtonNO,3.7,13.5,0.0,0.6,4.6,0.0,0.0,2.1
52,Godwin IgwebuikeDET,2.8,11.4,0.1,0.7,5.8,0.0,0.0,2.1
53,Johnny StantonCLE,4.7,9.1,0.1,0.7,5.0,0.0,0.0,2.0
54,Travis HomerSEA,2.0,9.0,0.0,1.0,8.2,0.0,0.0,2.0
