,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Alvin KamaraNO,20.1,88.2,0.7,4.8,43.7,0.3,0.1,18.8
1,Chuba HubbardCAR,17.4,70.7,0.6,2.9,24.0,0.1,0.1,13.7
2,Jonathan TaylorIND,15.4,71.4,0.6,2.4,21.2,0.1,0.1,13.1
3,Josh JacobsLV,17.2,67.7,0.7,2.6,19.9,0.1,0.1,13.0
4,Damien HarrisNE,17.6,73.8,0.6,1.1,9.2,0.0,0.2,11.9
5,Darrel WilliamsKC,14.7,56.1,0.6,2.4,19.5,0.1,0.1,11.7
6,James ConnerARI,14.2,62.0,0.7,1.0,8.0,0.0,0.1,11.6
7,D'Andre SwiftDET,10.7,43.8,0.3,5.3,43.4,0.2,0.1,11.4
8,Elijah MitchellSF,14.7,61.4,0.5,1.6,14.2,0.1,0.1,11.0
9,Antonio GibsonWAS,13.8,59.0,0.5,1.9,15.2,0.1,0.1,10.8
10,D'Ernest JohnsonCLE,14.9,62.3,0.5,1.4,10.8,0.0,0.1,10.7
11,Devontae BookerNYG,14.8,58.0,0.4,2.5,17.0,0.1,0.1,10.5
12,Cordarrelle PattersonATL,9.4,37.8,0.2,3.9,36.9,0.3,0.1,10.3
13,Alex CollinsSEA,13.7,52.9,0.5,1.4,11.2,0.0,0.1,9.4
14,Mike DavisATL,13.0,48.7,0.3,2.9,20.1,0.1,0.1,8.8
15,Melvin Gordon IIIDEN,10.9,48.3,0.4,1.9,13.3,0.0,0.1,8.8
16,Michael CarterNYJ,12.6,49.4,0.3,1.9,15.3,0.0,0.1,8.4
17,Myles GaskinMIA,9.1,38.7,0.2,3.7,27.9,0.1,0.1,8.4
18,Javonte WilliamsDEN,10.3,43.6,0.2,1.9,15.3,0.1,0.1,7.5
19,Khalil HerbertCHI,10.6,42.9,0.2,1.7,12.9,0.1,0.1,7.2
20,Devonta FreemanBAL,8.4,38.5,0.3,1.7,12.3,0.1,0.1,7.0
21,J.D. McKissicWAS,5.6,23.5,0.1,4.1,29.0,0.2,0.1,6.9
22,AJ DillonGB,9.4,39.7,0.2,1.2,10.8,0.1,0.1,6.7
23,Damien WilliamsCHI,9.3,33.2,0.2,1.9,15.0,0.1,0.1,6.5
24,Jamaal WilliamsDET,8.9,34.2,0.2,2.0,14.5,0.1,0.1,6.1
25,Sony MichelLAR,8.4,36.4,0.2,0.6,5.3,0.0,0.0,5.6
26,Demetric FeltonCLE,6.4,22.8,0.2,2.3,19.1,0.1,0.1,5.5
27,Kenneth GainwellPHI,3.6,16.1,0.1,2.6,22.4,0.1,0.0,5.1
28,Nyheim HinesIND,3.9,15.5,0.1,2.7,20.7,0.1,0.0,4.8
29,Rhamondre StevensonNE,6.3,22.3,0.1,2.0,19.0,0.0,0.1,4.7
30,Ty JohnsonNYJ,6.3,24.3,0.1,1.9,14.5,0.0,0.0,4.6
31,Ty'Son WilliamsBAL,5.7,23.1,0.2,0.9,7.9,0.0,0.1,4.3
32,David JohnsonHOU,3.3,14.2,0.1,2.6,20.6,0.1,0.0,4.1
33,JaMycal HastySF,5.3,21.4,0.2,1.0,8.1,0.0,0.1,4.0
34,Rashaad PennySEA,5.1,20.9,0.2,0.8,5.8,0.0,0.1,3.8
35,Brandon BoldenNE,3.0,11.1,0.1,2.1,17.2,0.0,0.0,3.8
36,Malcolm BrownMIA,6.2,22.9,0.2,0.5,3.5,0.0,0.0,3.7
37,Salvon AhmedMIA,4.7,17.6,0.1,1.3,10.1,0.0,0.0,3.7
38,Jerick McKinnonKC,3.9,14.4,0.1,1.5,11.8,0.1,0.0,3.6
39,Samaje PerineCIN,4.1,17.1,0.1,1.1,8.8,0.1,0.0,3.4
40,Trey SermonSF,5.7,22.7,0.1,0.6,5.4,0.0,0.0,3.4
41,Phillip LindsayMIA,5.0,21.6,0.1,0.9,5.9,0.0,0.0,3.4
42,Kyle JuszczykSF,1.1,3.2,0.0,2.3,21.6,0.1,0.0,3.3
43,Giovani BernardTB,1.6,6.5,0.0,2.0,14.9,0.1,0.0,3.1
44,John KellyCLE,5.4,16.6,0.2,0.4,3.7,0.0,0.0,3.0
45,DeeJay DallasSEA,3.4,11.6,0.1,1.7,13.4,0.0,0.0,2.9
46,La'Mical PerineNYJ,2.2,17.1,0.1,0.6,4.3,0.0,0.0,2.9
47,Royce FreemanHOU,4.0,14.8,0.1,1.0,6.9,0.0,0.0,2.8
48,Jaret PattersonWAS,3.6,13.8,0.1,0.9,6.8,0.0,0.0,2.7
49,Marlon MackIND,4.1,17.8,0.1,0.3,2.5,0.0,0.0,2.6
50,Ty MontgomeryNO,1.9,7.1,0.0,1.2,11.3,0.0,0.0,2.3
51,Tevin ColemanNYJ,3.6,14.0,0.1,0.3,3.0,0.0,0.0,2.3
52,J.J. TaylorNE,2.3,10.8,0.1,0.7,5.4,0.0,0.0,2.2
53,Devine OzigboNE,2.2,8.1,0.0,0.8,8.0,0.0,0.0,2.0
54,Chris EvansCIN,1.6,5.8,0.0,1.1,10.7,0.0,0.0,2.0
55,Eno BenjaminARI,2.1,10.7,0.1,0.3,2.8,0.0,0.0,2.0
56,Elijhaa PennyNYG,2.5,9.6,0.1,0.7,4.4,0.0,0.0,1.9
57,Buddy HowellLAR,0.0,10.5,0.1,0.5,2.9,0.0,0.0,1.8
58,Jalen RichardLV,1.3,4.4,0.0,1.1,9.2,0.0,0.0,1.7
59,Travis HomerSEA,1.3,5.3,0.0,0.9,7.6,0.0,0.0,1.6
60,Derrick GoreKC,1.4,7.2,0.0,0.4,3.5,0.0,0.0,1.3
61,Patrick RicardBAL,0.2,0.3,0.0,1.0,7.7,0.1,0.0,1.3
62,Rex BurkheadHOU,0.9,4.1,0.0,0.7,5.1,0.0,0.0,1.2
63,Dwayne WashingtonNO,1.6,5.4,0.0,0.4,3.7,0.0,0.0,1.2
64,Andy JanovichCLE,1.1,4.0,0.0,0.5,3.6,0.0,0.0,1.1
