player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Adrian Peterson,RB,TEN,1,19,19,33,53,5,58,58,8.6,45.3,9,2011
Ben Roethlisberger,QB,PIT,1,72,72,100,3,0,44,44,16.2,22.5,9,2011
Brian Hoyer,QB,NE,1,6,6,10,50,0,50,50,-0.3,-5.0,9,2011
Danny Amendola,WR,HOU,1,34,34,49,0,21,12,24,4.9,14.4,9,2011
Jared Cook,TE,LAC,1,29,29,42,0,14,14,14,6.8,23.4,9,2011
Josh Johnson,QB,NYJ,1,63,63,82,6,0,71,71,25.5,40.5,9,2011
Marcedes Lewis,TE,GB,1,29,29,46,0,3,3,3,-0.1,-0.3,9,2011
Matt Ryan,QB,ATL,1,59,59,100,8,0,59,59,28.5,48.3,9,2011
Matthew Slater,WR,NE,1,3,3,5,0,0,0,0,0.0,0.0,9,2011
Matthew Stafford,QB,LAR,1,78,78,100,3,0,64,64,15.1,19.4,9,2011
Andre Roberts,WR,LAC,1,2,2,3,50,0,50,50,0.9,45.0,9,2011
Colt McCoy,QB,ARI,1,68,68,97,10,0,49,49,16.3,24.0,9,2011
Emmanuel Sanders,WR,BUF,1,66,66,99,0,12,6,12,6.5,9.8,9,2011
Jimmy Graham,TE,CHI,1,18,18,29,0,17,6,17,2.8,15.6,9,2011
Julio Jones,WR,TEN,1,43,43,74,0,9,9,9,3.5,8.1,9,2011
Mark Ingram II,RB,NO,1,26,26,34,35,19,54,54,6.4,24.6,9,2011
Randall Cobb,WR,GB,1,33,33,52,0,15,9,15,5.0,15.2,9,2011
Kyle Rudolph,TE,NYG,1,31,31,55,0,16,13,16,2.0,6.5,9,2011
Luke Stocker,TE,MIN,1,18,18,33,0,6,6,6,0.5,2.8,9,2011
Tyrod Taylor,QB,HOU,1,69,69,100,4,0,67,67,8.9,12.9,9,2011
Ryan Tannehill,QB,TEN,1,57,57,98,4,0,51,51,15.0,26.3,9,2011
Kirk Cousins,QB,MIN,1,54,54,100,2,0,54,54,21.6,40.0,9,2011
Mohamed Sanu Sr.,WR,SF,1,33,33,56,0,9,3,9,0.5,1.5,9,2011
Marvin Jones Jr.,WR,JAC,1,51,51,84,0,10,6,10,2.1,4.1,9,2011
Brandon Bolden,RB,NE,1,29,29,47,28,7,34,34,8.1,27.9,9,2011
Josh Gordon,WR,KC,1,19,19,29,0,5,0,5,0.0,0.0,9,2011
Cole Beasley,WR,BUF,1,45,45,67,0,24,18,24,3.3,7.3,9,2011
Travis Kelce,TE,KC,1,56,56,86,0,14,9,14,12.8,22.9,9,2011
Marquise Goodwin,WR,CHI,1,32,32,52,0,13,3,13,5.0,15.6,9,2011
Robert Woods,WR,LAR,1,78,78,100,1,13,10,14,10.4,13.3,9,2011
Kenny Stills,WR,NO,1,25,25,33,0,20,8,20,9.0,36.0,9,2011
Cordarrelle Patterson,RB,ATL,1,33,33,56,27,18,45,45,13.6,41.2,9,2011
Keenan Allen,WR,LAC,1,62,62,90,0,21,19,21,10.4,16.8,9,2011
Le'Veon Bell,RB,BAL,1,23,23,23,48,0,48,48,10.8,47.0,9,2011
Rex Burkhead,RB,HOU,1,21,21,30,10,0,10,10,0.9,4.3,9,2011
Zach Ertz,TE,ARI,1,56,56,80,0,9,5,9,2.7,4.8,9,2011
Kyle Juszczyk,RB,SF,1,24,24,41,0,8,8,8,1.4,5.8,9,2011
Ryan Griffin,TE,NYJ,1,48,48,62,0,15,8,15,8.8,18.3,9,2011
Jack Doyle,TE,IND,1,42,42,68,0,5,2,5,6.1,14.5,9,2011
Teddy Bridgewater,QB,DEN,1,78,78,100,4,0,40,40,21.9,28.1,9,2011
Derek Carr,QB,LV,1,68,68,99,3,0,71,71,12.3,18.1,9,2011
Carlos Hyde,RB,JAC,1,48,48,79,44,4,46,48,5.3,11.0,9,2011
Devonta Freeman,RB,BAL,1,57,57,58,23,5,26,28,14.3,25.1,9,2011
Brandin Cooks,WR,HOU,1,67,67,97,0,21,9,21,5.6,8.4,9,2011
Davante Adams,WR,GB,1,58,58,92,0,24,10,24,4.2,7.2,9,2011
Allen Robinson II,WR,CHI,1,48,48,77,0,13,8,13,6.8,14.2,9,2011
Jarvis Landry,WR,CLE,1,32,32,67,3,16,13,19,1.1,3.4,9,2011
Jimmy Garoppolo,QB,SF,1,59,59,100,2,0,69,69,20.3,34.4,9,2011
Jerick McKinnon,RB,KC,1,20,20,31,0,15,15,15,2.6,13.0,9,2011
Albert Wilson,WR,MIA,1,17,17,23,0,12,6,12,1.1,6.5,9,2011
Willie Snead IV,WR,CAR,1,17,17,29,0,12,6,12,0.6,3.5,9,2011
Adam Thielen,WR,MIN,1,48,48,89,0,15,4,15,6.6,13.8,9,2011
Marcus Mariota,QB,LV,1,1,1,1,100,0,100,100,0.6,60.0,9,2011
Amari Cooper,WR,DAL,1,36,36,58,0,14,6,14,3.7,10.3,9,2011
Kevin White,WR,NO,1,15,15,20,0,0,0,0,0.0,0.0,9,2011
Melvin Gordon III,RB,DEN,1,41,41,53,51,5,56,56,15.5,37.8,9,2011
Ameer Abdullah,RB,CAR,1,22,22,37,5,23,23,27,3.0,13.6,9,2011
Mike Davis,RB,ATL,1,33,33,56,27,6,30,33,1.8,5.5,9,2011
David Johnson,RB,HOU,1,31,31,45,13,16,23,29,4.0,12.9,9,2011
Tyler Kroft,TE,NYJ,1,15,15,19,0,20,13,20,3.8,25.3,9,2011
MyCole Pruitt,TE,TEN,1,27,27,47,0,0,0,0,0.0,0.0,9,2011
Blake Bell,TE,KC,1,26,26,40,0,4,0,4,0.0,0.0,9,2011
Nelson Agholor,WR,NE,1,54,54,87,0,0,0,0,0.0,0.0,9,2011
Jamison Crowder,WR,NYJ,1,61,61,79,0,11,8,11,3.8,6.2,9,2011
Stefon Diggs,WR,BUF,1,59,59,88,0,14,10,14,8.5,14.4,9,2011
Chris Manhertz,TE,JAC,1,27,27,44,0,4,4,4,0.9,3.3,9,2011
C.J. Uzomah,TE,CIN,1,48,48,64,0,10,8,10,2.4,5.0,9,2011
Darren Waller,TE,LV,1,61,61,88,0,18,11,18,9.2,15.1,9,2011
Trevor Siemian,QB,NO,1,73,73,96,0,0,56,56,16.0,21.9,9,2011
Chris Conley,WR,HOU,1,27,27,39,0,11,7,11,3.8,14.1,9,2011
Geoff Swaim,TE,TEN,1,42,42,72,0,10,10,10,8.9,21.2,9,2011
Eric Tomlinson,TE,BAL,1,34,34,35,0,3,3,3,0.7,2.1,9,2011
Laquon Treadwell,WR,JAC,1,19,19,31,0,5,0,5,0.0,0.0,9,2011
Ezekiel Elliott,RB,DAL,1,33,33,53,30,9,39,39,9.6,29.1,9,2011
Carson Wentz,QB,IND,1,62,62,100,6,0,55,55,24.2,39.0,9,2011
Tyler Boyd,WR,CIN,1,59,59,79,0,3,2,3,1.1,1.9,9,2011
Devontae Booker,RB,NYG,1,41,41,73,51,7,59,59,12.2,29.8,9,2011
Pharoh Cooper,WR,NYG,1,2,2,4,0,0,0,0,0.0,0.0,9,2011
Hunter Henry,TE,NE,1,35,35,56,0,9,6,9,7.9,22.6,9,2011
Austin Hooper,TE,CLE,1,35,35,73,0,6,6,6,1.4,4.0,9,2011
Jordan Howard,RB,PHI,1,23,23,40,74,0,74,74,13.1,57.0,9,2011
Tajae Sharpe,WR,ATL,1,47,47,80,0,2,2,2,1.2,2.6,9,2011
Dak Prescott,QB,DAL,1,62,62,100,3,0,66,66,19.9,32.1,9,2011
Tyler Higbee,TE,LAR,1,76,76,97,0,13,7,13,5.1,6.7,9,2011
Kenyan Drake,RB,LV,1,31,31,45,13,26,32,39,10.0,32.3,9,2011
Jacoby Brissett,QB,MIA,1,74,74,99,1,0,59,59,10.5,14.2,9,2011
Chris Moore,WR,HOU,1,16,16,23,0,6,6,6,0.4,2.5,9,2011
Demarcus Robinson,WR,KC,1,14,14,22,0,7,7,7,0.2,1.4,9,2011
Jakeem Grant Sr.,WR,CHI,1,1,1,2,0,0,0,0,-2.0,-200.0,9,2011
Robby Anderson,WR,CAR,1,54,54,92,0,6,2,6,0.2,0.4,9,2011
Alex Erickson,WR,CAR,1,2,2,3,0,0,0,0,0.0,0.0,9,2011
Brandon Allen,QB,CIN,1,6,6,8,17,0,50,50,0.2,3.3,9,2011
Stephen Anderson,TE,LAC,1,31,31,45,0,13,13,13,9.9,31.9,9,2011
Andy Janovich,RB,CLE,1,4,4,8,0,0,0,0,0.0,0.0,9,2011
Derek Watt,RB,PIT,1,7,7,10,0,14,14,14,0.3,4.3,9,2011
Tyreek Hill,WR,KC,1,54,54,83,2,20,9,22,3.3,6.1,9,2011
Marcus Johnson,WR,TEN,1,3,3,5,33,0,33,33,-0.7,-23.3,9,2011
Mike Thomas,WR,CIN,1,10,10,13,0,10,10,10,1.6,16.0,9,2011
Chester Rogers,WR,TEN,1,19,19,33,0,5,0,5,0.0,0.0,9,2011
Jalen Richard,RB,LV,1,5,5,7,0,60,40,60,1.8,36.0,9,2011
C.J. Ham,RB,MIN,1,21,21,39,0,5,5,5,2.7,12.9,9,2011
Elijhaa Penny,RB,NYG,1,16,16,29,31,13,44,44,2.7,16.9,9,2011
Dalvin Cook,RB,MIN,1,43,43,80,40,7,47,47,12.2,28.4,9,2011
Mike Williams,WR,LAC,1,57,57,83,0,9,4,9,5.8,10.2,9,2011
Christian McCaffrey,RB,CAR,1,29,29,49,48,17,62,66,10.6,36.6,9,2011
David Njoku,TE,CLE,1,35,35,73,0,9,3,9,7.8,22.3,9,2011
D'Onta Foreman,RB,TEN,1,12,12,21,42,0,42,42,2.9,24.2,9,2011
Evan Engram,TE,NYG,1,46,46,82,0,7,7,7,9.8,21.3,9,2011
Patrick Mahomes II,QB,KC,1,65,65,100,3,0,60,60,10.4,16.0,9,2011
C.J. Beathard,QB,JAC,1,6,6,10,0,0,33,33,1.3,21.7,9,2011
Joe Mixon,RB,CIN,1,47,47,63,28,11,38,38,23.0,48.9,9,2011
Alvin Kamara,RB,NO,1,52,52,68,25,13,33,38,16.4,31.5,9,2011
Samaje Perine,RB,CIN,1,25,25,33,20,12,28,32,3.7,14.8,9,2011
Zay Jones,WR,LV,1,66,66,96,0,6,2,6,2.0,3.0,9,2011
Cooper Kupp,WR,LAR,1,78,78,100,0,17,14,17,9.5,12.2,9,2011
Dede Westbrook,WR,MIN,1,2,2,4,0,50,0,50,0.0,0.0,9,2011
Noah Brown,WR,DAL,1,25,25,40,0,4,0,4,0.0,0.0,9,2011
Jeremy McNichols,RB,TEN,1,26,26,45,27,12,38,38,3.5,13.5,9,2011
Corey Clement,RB,DAL,1,5,5,8,0,0,0,0,0.0,0.0,9,2011
James Conner,RB,ARI,1,54,54,77,39,9,48,48,35.3,65.4,9,2011
Adam Shaheen,TE,MIA,1,36,36,48,0,6,3,6,1.1,3.1,9,2011
Jonnu Smith,TE,NE,1,28,28,45,4,7,7,11,0.8,2.9,9,2011
Austin Ekeler,RB,LAC,1,46,46,67,37,7,43,43,8.2,17.8,9,2011
Kenny Golladay,WR,NYG,1,31,31,55,0,10,6,10,2.8,9.0,9,2011
Mack Hollins,WR,MIA,1,60,60,80,0,10,5,10,8.2,13.7,9,2011
George Kittle,TE,SF,1,43,43,73,0,19,14,19,14.1,32.8,9,2011
Antony Auclair,TE,HOU,1,36,36,52,0,6,6,6,2.3,6.4,9,2011
Cethan Carter,TE,MIA,1,4,4,5,0,0,0,0,0.0,0.0,9,2011
Tim Patrick,WR,DEN,1,48,48,62,0,10,8,10,14.5,30.2,9,2011
Mo Alie-Cox,TE,IND,1,38,38,61,0,3,3,3,2.8,7.4,9,2011
Darrell Daniels,TE,ARI,1,32,32,46,0,6,3,6,0.0,0.0,9,2011
Isaiah McKenzie,WR,BUF,1,19,19,28,0,11,11,11,1.0,5.3,9,2011
