player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Adrian Peterson,RB,SEA,1,18,18,26,61,0,61,61,7.6,42.2,13,2011
Ben Roethlisberger,QB,PIT,1,60,60,100,2,0,53,53,19.3,32.2,13,2011
DeSean Jackson,WR,LV,1,24,24,41,0,4,4,4,1.4,5.8,13,2011
Jared Cook,TE,LAC,1,35,35,55,0,11,9,11,2.9,8.3,13,2011
Matt Ryan,QB,ATL,1,71,71,100,4,0,62,62,12.1,17.0,13,2011
Matthew Slater,WR,NE,1,2,2,4,0,0,0,0,0.0,0.0,13,2011
Matthew Stafford,QB,LAR,1,63,63,93,2,0,62,62,24.0,38.1,13,2011
Tom Brady,QB,TB,1,70,70,100,1,0,74,74,29.6,42.3,13,2011
Emmanuel Sanders,WR,BUF,1,46,46,79,0,13,7,13,2.2,4.8,13,2011
Jimmy Graham,TE,CHI,1,21,21,28,0,5,5,5,8.1,38.6,13,2011
Rob Gronkowski,TE,TB,1,58,58,83,0,14,7,14,17.8,30.7,13,2011
A.J. Green,WR,ARI,1,36,36,68,0,3,3,3,1.4,3.9,13,2011
Mark Ingram II,RB,NO,1,30,30,43,33,7,37,40,2.6,8.7,13,2011
Kyle Rudolph,TE,NYG,1,27,27,42,0,15,7,15,1.8,6.7,13,2011
Andy Dalton,QB,CHI,1,76,76,100,3,0,57,57,15.8,20.8,13,2011
Luke Stocker,TE,MIN,1,13,13,17,0,0,0,0,0.0,0.0,13,2011
Lee Smith,TE,ATL,1,16,16,23,0,0,0,0,0.0,0.0,13,2011
Tyrod Taylor,QB,HOU,1,29,29,56,10,0,55,55,2.3,7.9,13,2011
Kirk Cousins,QB,MIN,1,76,76,100,3,0,55,55,20.2,26.6,13,2011
Russell Wilson,QB,SEA,1,70,70,100,4,0,57,57,17.7,25.3,13,2011
T.Y. Hilton,WR,IND,1,32,32,44,0,6,6,6,2.2,6.9,13,2011
Travis Benjamin,WR,SF,1,3,3,5,0,0,0,0,-2.0,-66.7,13,2011
Marvin Jones Jr.,WR,JAC,1,49,49,84,0,6,4,6,1.1,2.2,13,2011
Brandon Bolden,RB,NE,1,6,6,12,67,17,83,83,5.5,91.7,13,2011
Cole Beasley,WR,BUF,1,40,40,69,0,8,3,8,1.1,2.8,13,2011
Travis Kelce,TE,KC,1,44,44,77,0,18,7,18,2.7,6.1,13,2011
DeAndre Hopkins,WR,ARI,1,39,39,74,0,5,5,5,9.2,23.6,13,2011
Kenny Stills,WR,NO,1,11,11,16,0,45,0,45,0.0,0.0,13,2011
Cordarrelle Patterson,RB,ATL,1,34,34,48,38,15,47,53,9.6,28.2,13,2011
Keenan Allen,WR,LAC,1,53,53,83,0,15,9,15,17.4,32.8,13,2011
Tavon Austin,WR,JAC,1,16,16,28,0,13,6,13,0.9,5.6,13,2011
Giovani Bernard,RB,TB,1,7,7,10,14,29,29,43,1.0,14.3,13,2011
Rex Burkhead,RB,HOU,1,24,24,46,33,8,38,42,4.5,18.8,13,2011
Mike Glennon,QB,NYG,1,65,65,100,0,0,68,68,6.5,10.0,13,2011
Zach Ertz,TE,ARI,1,41,41,77,0,5,2,5,1.0,2.4,13,2011
Kyle Juszczyk,RB,SF,1,32,32,55,0,9,6,9,2.1,6.6,13,2011
Latavius Murray,RB,BAL,1,14,14,19,14,14,29,29,3.5,25.0,13,2011
Ryan Griffin,TE,NYJ,1,32,32,54,0,6,6,6,7.5,23.4,13,2011
Demetrius Harris,TE,ARI,1,17,17,32,0,12,12,12,0.7,4.1,13,2011
Jack Doyle,TE,IND,1,42,42,58,0,2,2,2,1.3,3.1,13,2011
Teddy Bridgewater,QB,DEN,1,77,77,100,5,0,57,57,14.0,18.2,13,2011
Derek Carr,QB,LV,1,59,59,100,3,0,68,68,12.4,21.0,13,2011
Logan Thomas,TE,WAS,1,43,43,64,0,12,7,12,10.8,25.1,13,2011
Carlos Hyde,RB,JAC,1,29,29,50,31,3,34,34,6.3,21.7,13,2011
Devonta Freeman,RB,BAL,1,51,51,69,27,16,37,43,15.7,30.8,13,2011
Sammy Watkins,WR,BAL,1,34,34,46,0,18,12,18,9.9,29.1,13,2011
Mike Evans,WR,TB,1,65,65,93,0,15,11,15,9.9,15.2,13,2011
Brandin Cooks,WR,HOU,1,43,43,83,2,14,9,16,5.4,12.6,13,2011
Odell Beckham Jr.,WR,LAR,1,36,36,53,0,14,6,14,8.8,24.4,13,2011
Jimmy Garoppolo,QB,SF,1,58,58,100,3,0,55,55,18.0,31.0,13,2011
Albert Wilson,WR,MIA,1,40,40,58,0,20,10,20,2.6,6.5,13,2011
Keith Smith,RB,ATL,1,21,21,30,0,5,5,5,0.2,1.0,13,2011
Adam Thielen,WR,MIN,1,6,6,8,0,33,17,33,0.0,0.0,13,2011
Cameron Brate,TE,TB,1,13,13,19,0,8,8,8,6.3,48.5,13,2011
