player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,63,63,98,2,0,60,60,29.6,47.0,14,2011
Ben Roethlisberger,QB,PIT,1,74,74,100,1,0,55,55,25.8,34.9,14,2011
Chad Henne,QB,KC,1,4,4,6,75,0,75,75,-0.2,-5.0,14,2011
Chase Daniel,QB,LAC,1,5,5,7,40,0,40,40,-0.2,-4.0,14,2011
DeSean Jackson,WR,LV,1,32,32,51,0,6,3,6,1.9,5.9,14,2011
Jared Cook,TE,LAC,1,31,31,44,0,16,6,16,6.8,21.9,14,2011
Marcedes Lewis,TE,GB,1,36,36,56,0,11,11,11,5.1,14.2,14,2011
Matt Ryan,QB,ATL,1,69,69,100,6,0,46,46,11.9,17.2,14,2011
Matthew Stafford,QB,LAR,1,58,58,100,0,0,52,52,23.5,40.5,14,2011
Tom Brady,QB,TB,1,83,83,100,8,0,64,64,30.1,36.3,14,2011
Emmanuel Sanders,WR,BUF,1,25,25,32,0,4,4,4,2.5,10.0,14,2011
Jimmy Graham,TE,CHI,1,12,12,19,0,25,17,25,0.9,7.5,14,2011
Rob Gronkowski,TE,TB,1,73,73,88,0,12,7,12,6.2,8.5,14,2011
A.J. Green,WR,ARI,1,56,56,72,0,18,13,18,10.2,18.2,14,2011
Julio Jones,WR,TEN,1,32,32,45,0,19,13,19,3.3,10.3,14,2011
Cam Newton,QB,CAR,1,48,48,75,21,0,69,69,14.8,30.8,14,2011
Kyle Rudolph,TE,NYG,1,25,25,36,0,8,8,8,6.6,26.4,14,2011
Lee Smith,TE,ATL,1,34,34,49,0,3,3,3,1.2,3.5,14,2011
Ryan Tannehill,QB,TEN,1,68,68,96,6,0,51,51,16.5,24.3,14,2011
Kirk Cousins,QB,MIN,1,70,70,100,3,0,47,47,16.0,22.9,14,2011
Russell Wilson,QB,SEA,1,61,61,100,3,0,49,49,21.2,34.8,14,2011
Travis Benjamin,WR,SF,1,2,2,3,0,50,0,50,0.0,0.0,14,2011
Marvin Jones Jr.,WR,JAC,1,54,54,98,0,13,11,13,7.0,13.0,14,2011
Josh Gordon,WR,KC,1,24,24,36,0,13,8,13,6.9,28.8,14,2011
Cole Beasley,WR,BUF,1,63,63,81,0,17,14,17,6.4,10.2,14,2011
Travis Kelce,TE,KC,1,49,49,74,0,8,6,8,2.7,5.5,14,2011
DeAndre Hopkins,WR,ARI,1,68,68,87,0,19,7,19,5.4,7.9,14,2011
Cordarrelle Patterson,RB,ATL,1,34,34,49,47,15,53,62,11.9,35.0,14,2011
Tavon Austin,WR,JAC,1,26,26,47,0,19,12,19,1.7,6.5,14,2011
Rex Burkhead,RB,HOU,1,36,36,44,31,11,42,42,6.6,18.3,14,2011
Mike Glennon,QB,NYG,1,69,69,100,1,0,54,54,19.3,28.0,14,2011
