Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Alshon Jeffery(FA),10,13,218,21.8,58,5,1,0,0,0,0,1,27.8,27.8,0.1%
2,T.Y. Hilton(IND),5,6,140,28.0,73,2,2,0,0,0,0,1,26.0,26.0,16.8%
3,Dez Bryant(FA),6,10,141,23.5,79,2,2,0,0,0,1,1,24.1,24.1,2.6%
4,DeSean Jackson(LV),7,12,132,18.9,56,3,1,0,0,0,0,1,19.2,19.2,4.4%
5,Josh Gordon(KC),4,6,86,21.5,37,1,1,0,0,0,0,1,14.6,14.6,1.8%
6,Golden Tate(FA),5,11,61,12.2,27,1,1,0,0,0,0,1,12.1,12.1,0.1%
7,Randall Cobb(GB),4,8,35,8.8,22,1,0,2,72,0,0,1,10.7,10.7,7.6%
8,Cole Beasley(BUF),4,4,47,11.8,23,1,1,0,0,0,0,1,10.7,10.7,63.2%
9,Julio Jones(TEN),8,11,99,12.4,46,2,0,0,0,0,0,1,9.9,9.9,60.7%
10,Ted Ginn Jr.(FA),4,5,78,19.5,32,2,0,0,0,0,0,1,7.8,7.8,0.0%
11,Robert Woods(LAR),5,13,64,12.8,24,1,0,0,0,0,0,1,6.4,6.4,29.9%
12,A.J. Green(ARI),5,8,61,12.2,18,0,0,0,0,0,0,1,6.1,6.1,51.8%
13,Danny Amendola(HOU),4,9,55,13.8,21,1,0,0,0,0,0,1,5.5,5.5,0.1%
14,Marvin Jones Jr.(JAC),2,2,39,19.5,28,1,0,1,8,0,0,1,4.7,4.7,55.4%
15,Larry Fitzgerald(FA),3,6,43,14.3,19,0,0,0,0,0,0,1,4.3,4.3,0.3%
16,Julian Edelman(FA),2,7,35,17.5,18,0,0,1,7,0,0,1,4.2,4.2,13.1%
17,Mohamed Sanu Sr.(SF),2,2,28,14.0,17,0,0,0,0,0,0,1,2.8,2.8,0.1%
18,DeAndre Hopkins(ARI),2,4,23,11.5,18,0,0,0,0,0,0,1,2.3,2.3,69.3%
19,Chris Hogan(FA),2,5,16,8.0,9,0,0,0,0,0,0,1,1.6,1.6,0.0%
20,Dwayne Harris(FA),1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%
21,Laviska Shenault Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3%
22,Justin Jefferson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
23,Brandon Aiyuk(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8%
24,KJ Hamler(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
25,Devin Duvernay(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
26,DeVonta Smith(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6%
27,CeeDee Lamb(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7%
28,Jalen Reagor(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3%
29,Tee Higgins(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2%
30,Jerry Jeudy(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4%
31,Gunner Olszewski(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
32,Michael Pittman Jr.(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6%
33,Antonio Gandy-Golden(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
34,Donovan Peoples-Jones(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3%
35,Van Jefferson(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1%
36,Jauan Jennings(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
37,Lynn Bowden Jr.(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,Juwan Johnson(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
39,Quartney Davis(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,Tarik Black(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,Tyler Vaughns(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
