Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,DeSean Jackson(LV),9,15,193,21.4,61,4,1,0,0,0,0,1,25.3,25.3,4.4%
2,Julio Jones(TEN),11,14,182,16.5,81,2,1,0,0,0,0,1,24.2,24.2,60.7%
3,Dez Bryant(FA),9,13,141,15.7,53,2,1,0,0,0,0,1,20.1,20.1,2.6%
4,Randall Cobb(GB),9,10,128,14.2,35,2,1,0,0,0,0,1,18.8,18.8,7.6%
5,DeAndre Hopkins(ARI),7,13,117,16.7,28,3,1,0,0,0,0,1,17.7,17.7,69.3%
6,T.Y. Hilton(IND),6,12,124,20.7,47,3,0,0,0,0,0,1,12.4,12.4,16.8%
7,Ted Ginn Jr.(FA),3,8,62,20.7,40,1,1,0,0,0,0,1,12.2,12.2,0.0%
8,Robert Woods(LAR),4,6,68,17.0,28,1,0,1,3,0,0,1,9.1,9.1,29.9%
9,Julian Edelman(FA),13,18,78,6.0,10,0,0,1,4,0,0,1,8.2,8.2,13.1%
10,Emmanuel Sanders(BUF),5,10,78,15.6,43,1,0,0,0,0,0,1,7.8,7.8,46.6%
11,Antonio Brown(FA),6,9,57,9.5,18,0,0,0,0,0,0,1,5.7,5.7,84.1%
12,Mohamed Sanu Sr.(SF),5,8,40,8.0,14,0,0,1,4,0,0,1,4.4,4.4,0.1%
13,Alshon Jeffery(FA),1,5,11,11.0,11,0,0,2,30,0,0,1,4.1,4.1,0.1%
14,A.J. Green(ARI),6,14,41,6.8,10,0,0,0,0,0,0,1,4.1,4.1,51.8%
15,Andre Roberts(LAC),3,8,36,12.0,19,0,0,0,0,0,0,1,3.6,3.6,0.1%
16,Marvin Jones Jr.(JAC),3,4,35,11.7,16,0,0,0,0,0,0,1,3.5,3.5,55.4%
17,Larry Fitzgerald(FA),2,5,33,16.5,22,1,0,0,0,0,0,1,3.3,3.3,0.3%
18,Travis Benjamin(SF),1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,0.0%
19,Golden Tate(FA),1,2,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.1%
