team,opponent,week,home,year
ARI,TEN,1,False,2021
ARI,MIN,2,True,2021
ARI,JAC,3,False,2021
ARI,LAR,4,False,2021
ARI,SF,5,True,2021
ARI,CLE,6,False,2021
ARI,HOU,7,True,2021
ARI,GB,8,True,2021
ARI,SF,9,False,2021
ARI,CAR,10,True,2021
ARI,SEA,11,False,2021
ARI,BYE,12,,2021
ARI,CHI,13,False,2021
ARI,LAR,14,True,2021
ARI,DET,15,False,2021
ARI,IND,16,True,2021
ARI,DAL,17,False,2021
ARI,SEA,18,True,2021
ATL,PHI,1,True,2021
ATL,TB,2,False,2021
ATL,NYG,3,False,2021
ATL,WAS,4,True,2021
ATL,NYJ,5,True,2021
ATL,BYE,6,,2021
ATL,MIA,7,False,2021
ATL,CAR,8,True,2021
ATL,NO,9,False,2021
ATL,DAL,10,False,2021
ATL,NE,11,True,2021
ATL,JAC,12,False,2021
ATL,TB,13,True,2021
ATL,CAR,14,False,2021
ATL,SF,15,False,2021
ATL,DET,16,True,2021
ATL,BUF,17,False,2021
ATL,NO,18,True,2021
BAL,LV,1,False,2021
BAL,KC,2,True,2021
BAL,DET,3,False,2021
BAL,DEN,4,False,2021
BAL,IND,5,True,2021
BAL,LAC,6,True,2021
BAL,CIN,7,True,2021
BAL,BYE,8,,2021
BAL,MIN,9,True,2021
BAL,MIA,10,False,2021
BAL,CHI,11,False,2021
BAL,CLE,12,True,2021
BAL,PIT,13,False,2021
BAL,CLE,14,False,2021
BAL,GB,15,True,2021
BAL,CIN,16,False,2021
BAL,LAR,17,True,2021
BAL,PIT,18,True,2021
BUF,PIT,1,True,2021
BUF,MIA,2,False,2021
BUF,WAS,3,True,2021
BUF,HOU,4,True,2021
BUF,KC,5,False,2021
BUF,TEN,6,False,2021
BUF,BYE,7,,2021
BUF,MIA,8,True,2021
BUF,JAC,9,False,2021
BUF,NYJ,10,False,2021
BUF,IND,11,True,2021
BUF,NO,12,False,2021
BUF,NE,13,True,2021
BUF,TB,14,False,2021
BUF,CAR,15,True,2021
BUF,NE,16,False,2021
BUF,ATL,17,True,2021
BUF,NYJ,18,True,2021
CAR,NYJ,1,True,2021
CAR,NO,2,True,2021
CAR,HOU,3,False,2021
CAR,DAL,4,False,2021
CAR,PHI,5,True,2021
