,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,vsWAS,@LAR,vsCHI,vsSEA,@SF,@MIN,vsDEN,vsSF,BYE,@KC,vsLV,@LAC,@GB,vsDET,@ATL,vsLAR,@SEA
ATL,@PHI,vsCAR,vsNO,vsCIN,@PIT,vsTB,vsNYG,BYE,@WAS,@CLE,vsDAL,@NO,vsBAL,@GB,vsARI,@CAR,@TB
BAL,vsBUF,@CIN,vsDEN,@PIT,@CLE,@TEN,vsNO,@CAR,vsPIT,BYE,vsCIN,vsLV,@ATL,@KC,vsTB,@LAC,vsCLE
BUF,@BAL,vsLAC,@MIN,@GB,vsTEN,@HOU,@IND,vsNE,vsCHI,@NYJ,BYE,vsJAC,@MIA,vsNYJ,vsDET,@NE,vsMIA
CAR,vsDAL,@ATL,vsCIN,BYE,vsNYG,@WAS,@PHI,vsBAL,vsTB,@PIT,@DET,vsSEA,@TB,@CLE,vsNO,vsATL,@NO
CHI,@GB,vsSEA,@ARI,vsTB,BYE,@MIA,vsNE,vsNYJ,@BUF,vsDET,vsMIN,@DET,@NYG,vsLAR,vsGB,@SF,@MIN
CIN,@IND,vsBAL,@CAR,@ATL,vsMIA,vsPIT,@KC,vsTB,BYE,vsNO,@BAL,vsCLE,vsDEN,@LAC,vsLV,@CLE,@PIT
CLE,vsPIT,@NO,vsNYJ,@LV,vsBAL,vsLAC,@TB,@PIT,vsKC,vsATL,BYE,@CIN,@HOU,vsCAR,@DEN,vsCIN,@BAL
DAL,@CAR,vsNYG,@SEA,vsDET,@HOU,vsJAC,@WAS,BYE,vsTEN,@PHI,@ATL,vsWAS,vsNO,vsPHI,@IND,vsTB,@NYG
DEN,vsSEA,vsLV,@BAL,vsKC,@NYJ,vsLAR,@ARI,@KC,vsHOU,BYE,@LAC,vsPIT,@CIN,@SF,vsCLE,@LV,vsLAC
DET,vsNYJ,@SF,vsNE,@DAL,vsGB,BYE,@MIA,vsSEA,@MIN,@CHI,vsCAR,vsCHI,vsLAR,@ARI,@BUF,vsMIN,@GB
GB,vsCHI,vsMIN,@WAS,vsBUF,@DET,vsSF,BYE,@LAR,@NE,vsMIA,@SEA,@MIN,vsARI,vsATL,@CHI,@NYJ,vsDET
HOU,@NE,@TEN,vsNYG,@IND,vsDAL,vsBUF,@JAC,vsMIA,@DEN,BYE,@WAS,vsTEN,vsCLE,vsIND,@NYJ,@PHI,vsJAC
IND,vsCIN,@WAS,@PHI,vsHOU,@NE,@NYJ,vsBUF,@LV,BYE,vsJAC,vsTEN,vsMIA,@JAC,@HOU,vsDAL,vsNYG,@TEN
JAC,@NYG,vsNE,vsTEN,vsNYJ,@KC,@DAL,vsHOU,vsPHI,BYE,@IND,vsPIT,@BUF,vsIND,@TEN,vsWAS,@MIA,@HOU
KC,@LAC,@PIT,vsSF,@DEN,vsJAC,@NE,vsCIN,vsDEN,@CLE,vsARI,@LAR,BYE,@LV,vsBAL,vsLAC,@SEA,vsLV
MIA,vsTEN,@NYJ,vsLV,@NE,@CIN,vsCHI,vsDET,@HOU,vsNYJ,@GB,BYE,@IND,vsBUF,vsNE,@MIN,vsJAC,@BUF
MIN,vsSF,@GB,vsBUF,@LAR,@PHI,vsARI,@NYJ,vsNO,vsDET,BYE,@CHI,vsGB,@NE,@SEA,vsMIA,@DET,vsCHI
NE,vsHOU,@JAC,@DET,vsMIA,vsIND,vsKC,@CHI,@BUF,vsGB,@TEN,BYE,@NYJ,vsMIN,@MIA,@PIT,vsBUF,vsNYJ
NO,vsTB,vsCLE,@ATL,@NYG,vsWAS,BYE,@BAL,@MIN,vsLAR,@CIN,vsPHI,vsATL,@DAL,@TB,@CAR,vsPIT,vsCAR
NYG,vsJAC,@DAL,@HOU,vsNO,@CAR,vsPHI,@ATL,vsWAS,BYE,@SF,vsTB,@PHI,vsCHI,@WAS,vsTEN,@IND,vsDAL
NYJ,@DET,vsMIA,@CLE,@JAC,vsDEN,vsIND,vsMIN,@CHI,@MIA,vsBUF,BYE,vsNE,@TEN,@BUF,vsHOU,vsGB,@NE
LV,vsLAR,@DEN,@MIA,vsCLE,@LAC,vsSEA,-,vsIND,@SF,vsLAC,@ARI,@BAL,vsKC,vsPIT,@CIN,vsDEN,@KC
PHI,vsATL,@TB,vsIND,@TEN,vsMIN,@NYG,vsCAR,@JAC,BYE,vsDAL,@NO,vsNYG,vsWAS,@DAL,@LAR,vsHOU,@WAS
PIT,@CLE,vsKC,@TB,vsBAL,vsATL,@CIN,BYE,vsCLE,@BAL,vsCAR,@JAC,@DEN,vsLAC,@LV,vsNE,@NO,vsCIN
LAC,vsKC,@BUF,@LAR,vsSF,vsLV,@CLE,vsTEN,BYE,@SEA,@LV,vsDEN,vsARI,@PIT,vsCIN,@KC,vsBAL,@DEN
SEA,@DEN,@CHI,vsDAL,@ARI,vsLAR,@LV,BYE,@DET,vsLAC,@LAR,vsGB,@CAR,vsSF,vsMIN,@SF,vsKC,vsARI
SF,@MIN,vsDET,@KC,@LAC,vsARI,@GB,vsLAR,@ARI,vsLV,vsNYG,BYE,@TB,@SEA,vsDEN,vsSEA,vsCHI,@LAR
LAR,@LV,vsARI,vsLAC,vsMIN,@SEA,@DEN,@SF,vsGB,@NO,vsSEA,vsKC,BYE,@DET,@CHI,vsPHI,@ARI,vsSF
TB,@NO,vsPHI,vsPIT,@CHI,BYE,@ATL,vsCLE,@CIN,@CAR,vsWAS,@NYG,vsSF,vsCAR,vsNO,@BAL,@DAL,vsATL
TEN,@MIA,vsHOU,@JAC,vsPHI,@BUF,vsBAL,@LAC,BYE,@DAL,vsNE,@IND,@HOU,vsNYJ,vsJAC,@NYG,vsWAS,vsIND
WAS,@ARI,vsIND,vsGB,BYE,@NO,vsCAR,vsDAL,@NYG,vsATL,@TB,vsHOU,@DAL,@PHI,vsNYG,@JAC,@TEN,vsPHI
