team,opponent,week,home,year
ARI,LAR,1,False,2010
ARI,ATL,2,False,2010
ARI,LV,3,True,2010
ARI,LAC,4,False,2010
ARI,NO,5,True,2010
ARI,BYE,6,,2010
ARI,SEA,7,False,2010
ARI,TB,8,True,2010
ARI,MIN,9,False,2010
ARI,SEA,10,True,2010
ARI,KC,11,False,2010
ARI,SF,12,True,2010
ARI,LAR,13,True,2010
ARI,DEN,14,True,2010
ARI,CAR,15,False,2010
ARI,DAL,16,True,2010
ARI,SF,17,False,2010
ATL,PIT,1,False,2010
ATL,ARI,2,True,2010
ATL,NO,3,False,2010
ATL,SF,4,True,2010
ATL,CLE,5,False,2010
ATL,PHI,6,False,2010
ATL,CIN,7,True,2010
ATL,BYE,8,,2010
ATL,TB,9,True,2010
ATL,BAL,10,True,2010
ATL,LAR,11,False,2010
ATL,GB,12,True,2010
ATL,TB,13,False,2010
ATL,CAR,14,False,2010
ATL,SEA,15,False,2010
ATL,NO,16,True,2010
ATL,CAR,17,True,2010
BAL,NYJ,1,False,2010
BAL,CIN,2,False,2010
BAL,CLE,3,True,2010
BAL,PIT,4,False,2010
BAL,DEN,5,True,2010
BAL,NE,6,False,2010
BAL,BUF,7,True,2010
BAL,BYE,8,,2010
BAL,MIA,9,True,2010
BAL,ATL,10,False,2010
BAL,CAR,11,False,2010
BAL,TB,12,True,2010
BAL,PIT,13,True,2010
BAL,HOU,14,False,2010
BAL,NO,15,True,2010
BAL,CLE,16,False,2010
BAL,CIN,17,True,2010
BUF,MIA,1,True,2010
BUF,GB,2,False,2010
BUF,NE,3,False,2010
BUF,NYJ,4,True,2010
BUF,JAC,5,True,2010
BUF,BYE,6,,2010
BUF,BAL,7,False,2010
BUF,KC,8,False,2010
BUF,CHI,9,True,2010
BUF,DET,10,True,2010
BUF,CIN,11,False,2010
BUF,PIT,12,True,2010
BUF,MIN,13,False,2010
BUF,CLE,14,True,2010
BUF,MIA,15,False,2010
BUF,NE,16,True,2010
BUF,NYJ,17,False,2010
CAR,NYG,1,False,2010
CAR,TB,2,True,2010
CAR,CIN,3,True,2010
CAR,NO,4,False,2010
CAR,CHI,5,True,2010
CAR,BYE,6,,2010
CAR,SF,7,True,2010
CAR,LAR,8,False,2010
CAR,NO,9,True,2010
CAR,TB,10,False,2010
CAR,BAL,11,True,2010
CAR,CLE,12,False,2010
CAR,SEA,13,False,2010
CAR,ATL,14,True,2010
CAR,ARI,15,True,2010
CAR,PIT,16,False,2010
CAR,ATL,17,False,2010
CHI,DET,1,True,2010
CHI,DAL,2,False,2010
CHI,GB,3,True,2010
CHI,NYG,4,False,2010
CHI,CAR,5,False,2010
CHI,SEA,6,True,2010
CHI,WAS,7,True,2010
CHI,BYE,8,,2010
CHI,BUF,9,False,2010
CHI,MIN,10,True,2010
CHI,MIA,11,False,2010
CHI,PHI,12,True,2010
CHI,DET,13,False,2010
CHI,NE,14,True,2010
CHI,MIN,15,False,2010
CHI,NYJ,16,True,2010
CHI,GB,17,False,2010
CIN,NE,1,False,2010
CIN,BAL,2,True,2010
CIN,CAR,3,False,2010
CIN,CLE,4,False,2010
CIN,TB,5,True,2010
CIN,BYE,6,,2010
CIN,ATL,7,False,2010
CIN,MIA,8,True,2010
CIN,PIT,9,True,2010
CIN,IND,10,False,2010
CIN,BUF,11,True,2010
CIN,NYJ,12,False,2010
CIN,NO,13,True,2010
CIN,PIT,14,False,2010
CIN,CLE,15,True,2010
CIN,LAC,16,True,2010
CIN,BAL,17,False,2010
CLE,TB,1,False,2010
CLE,KC,2,True,2010
CLE,BAL,3,False,2010
CLE,CIN,4,True,2010
CLE,ATL,5,True,2010
CLE,PIT,6,False,2010
CLE,NO,7,False,2010
CLE,BYE,8,,2010
CLE,NE,9,True,2010
CLE,NYJ,10,True,2010
CLE,JAC,11,False,2010
CLE,CAR,12,True,2010
CLE,MIA,13,False,2010
CLE,BUF,14,False,2010
CLE,CIN,15,False,2010
CLE,BAL,16,True,2010
CLE,PIT,17,True,2010
DAL,WAS,1,False,2010
DAL,CHI,2,True,2010
DAL,HOU,3,False,2010
DAL,BYE,4,,2010
DAL,TEN,5,True,2010
DAL,MIN,6,False,2010
DAL,NYG,7,True,2010
DAL,JAC,8,True,2010
DAL,GB,9,False,2010
DAL,NYG,10,False,2010
DAL,DET,11,True,2010
DAL,NO,12,True,2010
DAL,IND,13,False,2010
DAL,PHI,14,True,2010
DAL,WAS,15,True,2010
DAL,ARI,16,False,2010
DAL,PHI,17,False,2010
DEN,JAC,1,False,2010
DEN,SEA,2,True,2010
DEN,IND,3,True,2010
DEN,TEN,4,False,2010
DEN,BAL,5,False,2010
DEN,NYJ,6,True,2010
DEN,LV,7,True,2010
DEN,SF,8,False,2010
DEN,BYE,9,,2010
DEN,KC,10,True,2010
DEN,LAC,11,False,2010
DEN,LAR,12,True,2010
DEN,KC,13,False,2010
DEN,ARI,14,False,2010
DEN,LV,15,False,2010
DEN,HOU,16,True,2010
DEN,LAC,17,True,2010
DET,CHI,1,False,2010
DET,PHI,2,True,2010
DET,MIN,3,False,2010
DET,GB,4,False,2010
DET,LAR,5,True,2010
DET,NYG,6,False,2010
DET,BYE,7,,2010
DET,WAS,8,True,2010
DET,NYJ,9,True,2010
DET,BUF,10,False,2010
DET,DAL,11,False,2010
DET,NE,12,True,2010
DET,CHI,13,True,2010
DET,GB,14,True,2010
DET,TB,15,False,2010
DET,MIA,16,False,2010
DET,MIN,17,True,2010
GB,PHI,1,False,2010
GB,BUF,2,True,2010
GB,CHI,3,False,2010
GB,DET,4,True,2010
GB,WAS,5,False,2010
GB,MIA,6,True,2010
GB,MIN,7,True,2010
GB,NYJ,8,False,2010
GB,DAL,9,True,2010
GB,BYE,10,,2010
GB,MIN,11,False,2010
GB,ATL,12,False,2010
GB,SF,13,True,2010
GB,DET,14,False,2010
GB,NE,15,False,2010
GB,NYG,16,True,2010
GB,CHI,17,True,2010
HOU,IND,1,True,2010
HOU,WAS,2,False,2010
HOU,DAL,3,True,2010
HOU,LV,4,False,2010
HOU,NYG,5,True,2010
HOU,KC,6,True,2010
HOU,BYE,7,,2010
HOU,IND,8,False,2010
HOU,LAC,9,True,2010
HOU,JAC,10,False,2010
HOU,NYJ,11,False,2010
HOU,TEN,12,True,2010
HOU,PHI,13,False,2010
HOU,BAL,14,True,2010
HOU,TEN,15,False,2010
HOU,DEN,16,False,2010
HOU,JAC,17,True,2010
IND,HOU,1,False,2010
IND,NYG,2,True,2010
IND,DEN,3,False,2010
IND,JAC,4,False,2010
IND,KC,5,True,2010
IND,WAS,6,False,2010
IND,BYE,7,,2010
IND,HOU,8,True,2010
IND,PHI,9,False,2010
IND,CIN,10,True,2010
IND,NE,11,False,2010
IND,LAC,12,True,2010
IND,DAL,13,True,2010
IND,TEN,14,False,2010
IND,JAC,15,True,2010
IND,LV,16,False,2010
IND,TEN,17,True,2010
JAC,DEN,1,True,2010
JAC,LAC,2,False,2010
JAC,PHI,3,True,2010
JAC,IND,4,True,2010
JAC,BUF,5,False,2010
JAC,TEN,6,True,2010
JAC,KC,7,False,2010
JAC,DAL,8,False,2010
JAC,BYE,9,,2010
JAC,HOU,10,True,2010
JAC,CLE,11,True,2010
JAC,NYG,12,False,2010
JAC,TEN,13,False,2010
JAC,LV,14,True,2010
JAC,IND,15,False,2010
JAC,WAS,16,True,2010
JAC,HOU,17,False,2010
KC,LAC,1,True,2010
KC,CLE,2,False,2010
KC,SF,3,True,2010
KC,BYE,4,,2010
KC,IND,5,False,2010
KC,HOU,6,False,2010
KC,JAC,7,True,2010
KC,BUF,8,True,2010
KC,LV,9,False,2010
KC,DEN,10,False,2010
KC,ARI,11,True,2010
KC,SEA,12,False,2010
KC,DEN,13,True,2010
KC,LAC,14,False,2010
KC,LAR,15,False,2010
KC,TEN,16,True,2010
KC,LV,17,True,2010
MIA,BUF,1,False,2010
MIA,MIN,2,False,2010
MIA,NYJ,3,True,2010
MIA,NE,4,True,2010
MIA,BYE,5,,2010
MIA,GB,6,False,2010
MIA,PIT,7,True,2010
MIA,CIN,8,False,2010
MIA,BAL,9,False,2010
MIA,TEN,10,True,2010
MIA,CHI,11,True,2010
MIA,LV,12,False,2010
MIA,CLE,13,True,2010
MIA,NYJ,14,False,2010
MIA,BUF,15,True,2010
MIA,DET,16,True,2010
MIA,NE,17,False,2010
MIN,NO,1,False,2010
MIN,MIA,2,True,2010
MIN,DET,3,True,2010
MIN,BYE,4,,2010
MIN,NYJ,5,False,2010
MIN,DAL,6,True,2010
MIN,GB,7,False,2010
MIN,NE,8,False,2010
MIN,ARI,9,True,2010
MIN,CHI,10,False,2010
MIN,GB,11,True,2010
MIN,WAS,12,False,2010
MIN,BUF,13,True,2010
MIN,NYG,14,True,2010
MIN,CHI,15,True,2010
MIN,PHI,16,False,2010
MIN,DET,17,False,2010
NE,CIN,1,True,2010
NE,NYJ,2,False,2010
NE,BUF,3,True,2010
NE,MIA,4,False,2010
NE,BYE,5,,2010
NE,BAL,6,True,2010
NE,LAC,7,False,2010
NE,MIN,8,True,2010
NE,CLE,9,False,2010
NE,PIT,10,False,2010
NE,IND,11,True,2010
NE,DET,12,False,2010
NE,NYJ,13,True,2010
NE,CHI,14,False,2010
NE,GB,15,True,2010
NE,BUF,16,False,2010
NE,MIA,17,True,2010
NO,MIN,1,True,2010
NO,SF,2,False,2010
NO,ATL,3,True,2010
