team,opponent,week,home,year
ARI,SF,1,True,2009
ARI,JAC,2,False,2009
ARI,IND,3,True,2009
ARI,BYE,4,,2009
ARI,HOU,5,True,2009
ARI,SEA,6,False,2009
ARI,NYG,7,False,2009
ARI,CAR,8,True,2009
ARI,CHI,9,False,2009
ARI,SEA,10,True,2009
ARI,LAR,11,False,2009
ARI,TEN,12,False,2009
ARI,MIN,13,True,2009
ARI,SF,14,False,2009
ARI,DET,15,False,2009
ARI,LAR,16,True,2009
ARI,GB,17,True,2009
ATL,MIA,1,True,2009
ATL,CAR,2,True,2009
ATL,NE,3,False,2009
ATL,BYE,4,,2009
ATL,SF,5,False,2009
ATL,CHI,6,True,2009
ATL,DAL,7,False,2009
ATL,NO,8,False,2009
ATL,WAS,9,True,2009
ATL,CAR,10,False,2009
ATL,NYG,11,False,2009
ATL,TB,12,True,2009
ATL,PHI,13,True,2009
ATL,NO,14,True,2009
ATL,NYJ,15,False,2009
ATL,BUF,16,True,2009
ATL,TB,17,False,2009
BAL,KC,1,True,2009
BAL,LAC,2,False,2009
BAL,CLE,3,True,2009
BAL,NE,4,False,2009
BAL,CIN,5,True,2009
BAL,MIN,6,False,2009
BAL,BYE,7,,2009
BAL,DEN,8,True,2009
BAL,CIN,9,False,2009
BAL,CLE,10,False,2009
BAL,IND,11,True,2009
BAL,PIT,12,True,2009
BAL,GB,13,False,2009
BAL,DET,14,True,2009
BAL,CHI,15,True,2009
BAL,PIT,16,False,2009
BAL,LV,17,False,2009
BUF,NE,1,False,2009
BUF,TB,2,True,2009
BUF,NO,3,True,2009
BUF,MIA,4,False,2009
BUF,CLE,5,True,2009
BUF,NYJ,6,False,2009
BUF,CAR,7,False,2009
BUF,HOU,8,True,2009
BUF,BYE,9,,2009
BUF,TEN,10,False,2009
BUF,JAC,11,False,2009
BUF,MIA,12,True,2009
BUF,NYJ,13,True,2009
BUF,KC,14,False,2009
BUF,NE,15,True,2009
BUF,ATL,16,False,2009
BUF,IND,17,True,2009
CAR,PHI,1,True,2009
CAR,ATL,2,False,2009
CAR,DAL,3,False,2009
CAR,BYE,4,,2009
CAR,WAS,5,True,2009
CAR,TB,6,False,2009
CAR,BUF,7,True,2009
CAR,ARI,8,False,2009
CAR,NO,9,False,2009
CAR,ATL,10,True,2009
CAR,MIA,11,True,2009
CAR,NYJ,12,False,2009
CAR,TB,13,True,2009
CAR,NE,14,False,2009
CAR,MIN,15,True,2009
CAR,NYG,16,False,2009
CAR,NO,17,True,2009
CHI,GB,1,False,2009
CHI,PIT,2,True,2009
CHI,SEA,3,False,2009
CHI,DET,4,True,2009
CHI,BYE,5,,2009
CHI,ATL,6,False,2009
CHI,CIN,7,False,2009
CHI,CLE,8,True,2009
CHI,ARI,9,True,2009
CHI,SF,10,False,2009
CHI,PHI,11,True,2009
CHI,MIN,12,False,2009
CHI,LAR,13,True,2009
CHI,GB,14,True,2009
CHI,BAL,15,False,2009
CHI,MIN,16,True,2009
CHI,DET,17,False,2009
CIN,DEN,1,True,2009
CIN,GB,2,False,2009
CIN,PIT,3,True,2009
CIN,CLE,4,False,2009
CIN,BAL,5,False,2009
CIN,HOU,6,True,2009
CIN,CHI,7,True,2009
CIN,BYE,8,,2009
CIN,BAL,9,True,2009
CIN,PIT,10,False,2009
CIN,LV,11,False,2009
CIN,CLE,12,True,2009
CIN,DET,13,True,2009
CIN,MIN,14,False,2009
CIN,LAC,15,False,2009
CIN,KC,16,True,2009
CIN,NYJ,17,False,2009
CLE,MIN,1,True,2009
CLE,DEN,2,False,2009
CLE,BAL,3,False,2009
CLE,CIN,4,True,2009
CLE,BUF,5,False,2009
CLE,PIT,6,False,2009
CLE,GB,7,True,2009
CLE,CHI,8,False,2009
CLE,BYE,9,,2009
CLE,BAL,10,True,2009
CLE,DET,11,False,2009
CLE,CIN,12,False,2009
CLE,LAC,13,True,2009
CLE,PIT,14,True,2009
CLE,KC,15,False,2009
CLE,LV,16,True,2009
CLE,JAC,17,True,2009
DAL,TB,1,False,2009
DAL,NYG,2,True,2009
DAL,CAR,3,True,2009
DAL,DEN,4,False,2009
DAL,KC,5,False,2009
DAL,BYE,6,,2009
DAL,ATL,7,True,2009
DAL,SEA,8,True,2009
DAL,PHI,9,False,2009
DAL,GB,10,False,2009
DAL,WAS,11,True,2009
DAL,LV,12,True,2009
DAL,NYG,13,False,2009
DAL,LAC,14,True,2009
DAL,NO,15,False,2009
DAL,WAS,16,False,2009
DAL,PHI,17,True,2009
DEN,CIN,1,False,2009
DEN,CLE,2,True,2009
DEN,LV,3,False,2009
DEN,DAL,4,True,2009
DEN,NE,5,True,2009
DEN,LAC,6,False,2009
DEN,BYE,7,,2009
DEN,BAL,8,False,2009
DEN,PIT,9,True,2009
DEN,WAS,10,False,2009
DEN,LAC,11,True,2009
DEN,NYG,12,True,2009
DEN,KC,13,False,2009
DEN,IND,14,False,2009
DEN,LV,15,True,2009
DEN,PHI,16,False,2009
DEN,KC,17,True,2009
DET,NO,1,False,2009
DET,MIN,2,True,2009
DET,WAS,3,True,2009
DET,CHI,4,False,2009
DET,PIT,5,True,2009
