team,opponent,week,home,year
HOU,BAL,16,True,2014
HOU,JAC,17,True,2014
IND,DEN,1,False,2014
IND,PHI,2,True,2014
IND,JAC,3,False,2014
IND,TEN,4,True,2014
IND,BAL,5,True,2014
IND,HOU,6,False,2014
IND,CIN,7,True,2014
IND,PIT,8,False,2014
IND,NYG,9,False,2014
IND,BYE,10,,2014
IND,NE,11,True,2014
IND,JAC,12,True,2014
IND,WAS,13,True,2014
IND,CLE,14,False,2014
IND,HOU,15,True,2014
IND,DAL,16,False,2014
IND,TEN,17,False,2014
JAC,PHI,1,False,2014
JAC,WAS,2,False,2014
JAC,IND,3,True,2014
JAC,LAC,4,False,2014
JAC,PIT,5,True,2014
JAC,TEN,6,False,2014
JAC,CLE,7,True,2014
JAC,MIA,8,True,2014
JAC,CIN,9,False,2014
JAC,DAL,10,True,2014
JAC,BYE,11,,2014
JAC,IND,12,False,2014
JAC,NYG,13,True,2014
JAC,HOU,14,True,2014
JAC,BAL,15,False,2014
JAC,TEN,16,True,2014
JAC,HOU,17,False,2014
KC,TEN,1,True,2014
KC,DEN,2,False,2014
KC,MIA,3,False,2014
KC,NE,4,True,2014
KC,SF,5,False,2014
KC,BYE,6,,2014
KC,LAC,7,False,2014
KC,LAR,8,True,2014
KC,NYJ,9,True,2014
KC,BUF,10,False,2014
KC,SEA,11,True,2014
KC,LV,12,False,2014
KC,DEN,13,True,2014
KC,ARI,14,False,2014
KC,LV,15,True,2014
KC,PIT,16,False,2014
KC,LAC,17,True,2014
MIA,NE,1,True,2014
MIA,BUF,2,False,2014
MIA,KC,3,True,2014
MIA,LV,4,False,2014
MIA,BYE,5,,2014
MIA,GB,6,True,2014
MIA,CHI,7,False,2014
MIA,JAC,8,False,2014
MIA,LAC,9,True,2014
MIA,DET,10,False,2014
MIA,BUF,11,True,2014
MIA,DEN,12,False,2014
MIA,NYJ,13,False,2014
MIA,BAL,14,True,2014
MIA,NE,15,False,2014
MIA,MIN,16,True,2014
MIA,NYJ,17,True,2014
MIN,LAR,1,False,2014
MIN,NE,2,True,2014
MIN,NO,3,False,2014
MIN,ATL,4,True,2014
MIN,GB,5,False,2014
MIN,DET,6,True,2014
MIN,BUF,7,False,2014
MIN,TB,8,False,2014
MIN,WAS,9,True,2014
MIN,BYE,10,,2014
MIN,CHI,11,False,2014
MIN,GB,12,True,2014
MIN,CAR,13,True,2014
MIN,NYJ,14,True,2014
MIN,DET,15,False,2014
MIN,MIA,16,False,2014
MIN,CHI,17,True,2014
NE,MIA,1,False,2014
NE,MIN,2,False,2014
NE,LV,3,True,2014
NE,KC,4,False,2014
NE,CIN,5,True,2014
NE,BUF,6,False,2014
NE,NYJ,7,True,2014
NE,CHI,8,True,2014
NE,DEN,9,True,2014
NE,BYE,10,,2014
NE,IND,11,False,2014
NE,DET,12,True,2014
NE,GB,13,False,2014
NE,LAC,14,False,2014
NE,MIA,15,True,2014
NE,NYJ,16,False,2014
NE,BUF,17,True,2014
NO,ATL,1,False,2014
NO,CLE,2,False,2014
NO,MIN,3,True,2014
NO,DAL,4,False,2014
NO,TB,5,True,2014
NO,BYE,6,,2014
NO,DET,7,False,2014
NO,GB,8,True,2014
NO,CAR,9,False,2014
NO,SF,10,True,2014
NO,CIN,11,True,2014
NO,BAL,12,True,2014
NO,PIT,13,False,2014
NO,CAR,14,True,2014
NO,CHI,15,False,2014
NO,ATL,16,True,2014
NO,TB,17,False,2014
NYG,DET,1,False,2014
NYG,ARI,2,True,2014
NYG,HOU,3,True,2014
NYG,WAS,4,False,2014
NYG,ATL,5,True,2014
NYG,PHI,6,False,2014
NYG,DAL,7,False,2014
NYG,BYE,8,,2014
NYG,IND,9,True,2014
NYG,SEA,10,False,2014
NYG,SF,11,True,2014
NYG,DAL,12,True,2014
NYG,JAC,13,False,2014
NYG,TEN,14,False,2014
NYG,WAS,15,True,2014
NYG,LAR,16,False,2014
NYG,PHI,17,True,2014
NYJ,LV,1,True,2014
NYJ,GB,2,False,2014
NYJ,CHI,3,True,2014
NYJ,DET,4,True,2014
NYJ,LAC,5,False,2014
NYJ,DEN,6,True,2014
NYJ,NE,7,False,2014
NYJ,BUF,8,True,2014
NYJ,KC,9,False,2014
NYJ,PIT,10,True,2014
NYJ,BYE,11,,2014
NYJ,BUF,12,False,2014
NYJ,MIA,13,True,2014
NYJ,MIN,14,False,2014
NYJ,TEN,15,False,2014
NYJ,NE,16,True,2014
NYJ,MIA,17,False,2014
LV,NYJ,1,False,2014
LV,HOU,2,True,2014
LV,NE,3,False,2014
LV,MIA,4,True,2014
LV,BYE,5,,2014
LV,LAC,6,True,2014
LV,ARI,7,True,2014
LV,CLE,8,False,2014
LV,SEA,9,False,2014
LV,DEN,10,True,2014
LV,LAC,11,False,2014
LV,KC,12,True,2014
LV,LAR,13,False,2014
LV,SF,14,True,2014
LV,KC,15,False,2014
LV,BUF,16,True,2014
LV,DEN,17,False,2014
PHI,JAC,1,True,2014
PHI,IND,2,False,2014
PHI,WAS,3,True,2014
PHI,SF,4,False,2014
PHI,LAR,5,True,2014
PHI,NYG,6,True,2014
PHI,BYE,7,,2014
PHI,ARI,8,False,2014
PHI,HOU,9,False,2014
PHI,CAR,10,True,2014
PHI,GB,11,False,2014
PHI,TEN,12,True,2014
PHI,DAL,13,False,2014
PHI,SEA,14,True,2014
PHI,DAL,15,True,2014
PHI,WAS,16,False,2014
PHI,NYG,17,False,2014
PIT,CLE,1,True,2014
PIT,BAL,2,False,2014
PIT,CAR,3,False,2014
PIT,TB,4,True,2014
PIT,JAC,5,False,2014
PIT,CLE,6,False,2014
PIT,HOU,7,True,2014
PIT,IND,8,True,2014
PIT,BAL,9,True,2014
PIT,NYJ,10,False,2014
PIT,TEN,11,False,2014
PIT,BYE,12,,2014
PIT,NO,13,True,2014
PIT,CIN,14,False,2014
PIT,ATL,15,False,2014
PIT,KC,16,True,2014
PIT,CIN,17,True,2014
LAC,ARI,1,False,2014
LAC,SEA,2,True,2014
LAC,BUF,3,False,2014
LAC,JAC,4,True,2014
LAC,NYJ,5,True,2014
LAC,LV,6,False,2014
LAC,KC,7,True,2014
LAC,DEN,8,False,2014
LAC,MIA,9,False,2014
LAC,BYE,10,,2014
LAC,LV,11,True,2014
LAC,LAR,12,True,2014
LAC,BAL,13,False,2014
LAC,NE,14,True,2014
LAC,DEN,15,True,2014
LAC,SF,16,False,2014
LAC,KC,17,False,2014
SEA,GB,1,True,2014
SEA,LAC,2,False,2014
SEA,DEN,3,True,2014
SEA,BYE,4,,2014
SEA,WAS,5,False,2014
SEA,DAL,6,True,2014
SEA,LAR,7,False,2014
SEA,CAR,8,False,2014
SEA,LV,9,True,2014
SEA,NYG,10,True,2014
SEA,KC,11,False,2014
SEA,ARI,12,True,2014
SEA,SF,13,False,2014
SEA,PHI,14,False,2014
SEA,SF,15,True,2014
SEA,ARI,16,False,2014
SEA,LAR,17,True,2014
SF,DAL,1,False,2014
SF,CHI,2,True,2014
SF,ARI,3,False,2014
SF,PHI,4,True,2014
SF,KC,5,True,2014
SF,LAR,6,False,2014
SF,DEN,7,False,2014
SF,BYE,8,,2014
SF,LAR,9,True,2014
SF,NO,10,False,2014
SF,NYG,11,False,2014
SF,WAS,12,True,2014
SF,SEA,13,True,2014
SF,LV,14,False,2014
SF,SEA,15,False,2014
SF,LAC,16,True,2014
SF,ARI,17,True,2014
LAR,MIN,1,True,2014
LAR,TB,2,False,2014
LAR,DAL,3,True,2014
LAR,BYE,4,,2014
LAR,PHI,5,False,2014
LAR,SF,6,True,2014
LAR,SEA,7,True,2014
LAR,KC,8,False,2014
LAR,SF,9,False,2014
LAR,ARI,10,False,2014
LAR,DEN,11,True,2014
LAR,LAC,12,False,2014
LAR,LV,13,True,2014
LAR,WAS,14,False,2014
LAR,ARI,15,True,2014
LAR,NYG,16,True,2014
LAR,SEA,17,False,2014
TB,CAR,1,True,2014
TB,LAR,2,True,2014
TB,ATL,3,False,2014
TB,PIT,4,False,2014
TB,NO,5,False,2014
TB,BAL,6,True,2014
TB,BYE,7,,2014
TB,MIN,8,True,2014
TB,CLE,9,False,2014
TB,ATL,10,True,2014
TB,WAS,11,False,2014
TB,CHI,12,False,2014
TB,CIN,13,True,2014
TB,DET,14,False,2014
TB,CAR,15,False,2014
TB,GB,16,True,2014
TB,NO,17,True,2014
TEN,KC,1,False,2014
TEN,DAL,2,True,2014
TEN,CIN,3,False,2014
TEN,IND,4,False,2014
TEN,CLE,5,True,2014
TEN,JAC,6,True,2014
TEN,WAS,7,False,2014
TEN,HOU,8,True,2014
TEN,BYE,9,,2014
TEN,BAL,10,False,2014
TEN,PIT,11,True,2014
TEN,PHI,12,False,2014
TEN,HOU,13,False,2014
TEN,NYG,14,True,2014
TEN,NYJ,15,True,2014
TEN,JAC,16,False,2014
TEN,IND,17,True,2014
WAS,HOU,1,False,2014
WAS,JAC,2,True,2014
WAS,PHI,3,False,2014
WAS,NYG,4,True,2014
WAS,SEA,5,True,2014
WAS,ARI,6,False,2014
WAS,TEN,7,True,2014
WAS,DAL,8,False,2014
WAS,MIN,9,False,2014
WAS,BYE,10,,2014
WAS,TB,11,True,2014
WAS,SF,12,False,2014
WAS,IND,13,False,2014
WAS,LAR,14,True,2014
WAS,NYG,15,False,2014
WAS,PHI,16,True,2014
WAS,DAL,17,True,2014
