,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,vsDET,@BAL,vsCAR,vsSEA,@CIN,vsATL,@NYG,@NO,vsSF,@TB,@SF,BYE,vsLAR,vsPIT,vsCLE,@SEA,@LAR
ATL,@MIN,vsPHI,@IND,vsTEN,@HOU,@ARI,vsLAR,vsSEA,BYE,@NO,@CAR,vsTB,vsNO,vsCAR,@SF,vsJAC,@TB
BAL,@MIA,vsARI,@KC,vsCLE,@PIT,vsCIN,@SEA,BYE,vsNE,@CIN,vsHOU,@LAR,vsSF,@BUF,vsNYJ,@CLE,vsPIT
BUF,@NYJ,@NYG,vsCIN,vsNE,@TEN,BYE,vsMIA,vsPHI,vsWAS,@CLE,@MIA,vsDEN,@DAL,vsBAL,@PIT,@NE,vsNYJ
CAR,vsLAR,vsTB,@ARI,@HOU,vsJAC,@TB,BYE,@SF,vsTEN,@GB,vsATL,@NO,vsWAS,@ATL,vsSEA,@IND,vsNO
CHI,vsGB,@DEN,@WAS,vsMIN,@LV,BYE,vsNO,vsLAC,@PHI,vsDET,@LAR,vsNYG,@DET,vsDAL,@GB,vsKC,@MIN
CIN,@SEA,vsSF,@BUF,@PIT,vsARI,@BAL,vsJAC,@LAR,BYE,vsBAL,@LV,vsPIT,vsNYJ,@CLE,vsNE,@MIA,vsCLE
CLE,vsTEN,@NYJ,vsLAR,@BAL,@SF,vsSEA,BYE,@NE,@DEN,vsBUF,vsPIT,vsMIA,@PIT,vsCIN,@ARI,vsBAL,@CIN
DAL,vsNYG,@WAS,vsMIA,@NO,vsGB,@NYJ,vsPHI,BYE,@NYG,vsMIN,@DET,@NE,vsBUF,@CHI,vsLAR,@PHI,vsWAS
DEN,@LV,vsCHI,@GB,vsJAC,@LAC,vsTEN,vsKC,@IND,vsCLE,BYE,@MIN,@BUF,vsLAC,@HOU,@KC,vsDET,vsLV
DET,@ARI,vsLAC,@PHI,vsKC,BYE,@GB,vsMIN,vsNYG,@LV,@CHI,vsDAL,@WAS,vsCHI,@MIN,vsTB,@DEN,vsGB
GB,@CHI,vsMIN,vsDEN,vsPHI,@DAL,vsDET,vsLV,@KC,@LAC,vsCAR,BYE,@SF,@NYG,vsWAS,vsCHI,@MIN,@DET
HOU,@NO,vsJAC,@LAC,vsCAR,vsATL,@KC,@IND,vsLV,@JAC,BYE,@BAL,vsIND,vsNE,vsDEN,@TEN,@TB,vsTEN
IND,@LAC,@TEN,vsATL,vsLV,@KC,BYE,vsHOU,vsDEN,@PIT,vsMIA,vsJAC,@HOU,vsTEN,@TB,@NO,vsCAR,@JAC
