,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,@DET,@IND,vsDAL,vsSF,@PHI,vsTB,@LAR,BYE,@SF,vsSEA,@HOU,vsJAC,vsLAR,vsTEN,@WAS,vsNYG,@SEA
ATL,@CHI,vsGB,@DET,vsBUF,BYE,vsMIA,@NE,@NYJ,@CAR,vsDAL,@SEA,vsTB,vsMIN,vsNO,@TB,@NO,vsCAR
BAL,@CIN,vsCLE,@JAC,vsPIT,@LV,vsCHI,@MIN,vsMIA,@TEN,BYE,@GB,vsHOU,vsDET,@PIT,@CLE,vsIND,vsCIN
BUF,vsNYJ,@CAR,vsDEN,@ATL,@CIN,BYE,vsTB,vsLV,@NYJ,vsNO,@LAC,@KC,vsNE,vsIND,vsMIA,@NE,@MIA
CAR,@SF,vsBUF,vsNO,@NE,@DET,vsPHI,@CHI,@TB,vsATL,vsMIA,BYE,@NYJ,@NO,vsMIN,vsGB,vsTB,@ATL
CHI,vsATL,@TB,vsPIT,@GB,vsMIN,@BAL,vsCAR,@NO,BYE,vsGB,vsDET,@PHI,vsSF,@CIN,@DET,vsCLE,@MIN
CIN,vsBAL,vsHOU,@GB,@CLE,vsBUF,BYE,@PIT,vsIND,@JAC,@TEN,@DEN,vsCLE,vsPIT,vsCHI,@MIN,vsDET,@BAL
CLE,vsPIT,@BAL,@IND,vsCIN,vsNYJ,@HOU,vsTEN,vsMIN,BYE,@DET,vsJAC,@CIN,@LAC,vsGB,vsBAL,@CHI,@PIT
DAL,vsNYG,@DEN,@ARI,vsLAR,vsGB,BYE,@SF,@WAS,vsKC,@ATL,vsPHI,vsLAC,vsWAS,@NYG,@LV,vsSEA,@PHI
DEN,vsLAC,vsDAL,@BUF,vsLV,BYE,vsNYG,@LAC,@KC,@PHI,vsNE,vsCIN,@LV,@MIA,vsNYJ,@IND,@WAS,vsKC
DET,vsARI,@NYG,vsATL,@MIN,vsCAR,@NO,BYE,vsPIT,@GB,vsCLE,@CHI,vsMIN,@BAL,@TB,vsCHI,@CIN,vsGB
GB,vsSEA,@ATL,vsCIN,vsCHI,@DAL,@MIN,vsNO,BYE,vsDET,@CHI,vsBAL,@PIT,vsTB,@CLE,@CAR,vsMIN,@DET
HOU,vsJAC,@CIN,@NE,vsTEN,vsKC,vsCLE,BYE,@SEA,vsIND,@LAR,vsARI,@BAL,@TEN,vsSF,@JAC,vsPIT,@IND
IND,@LAR,vsARI,vsCLE,@SEA,vsSF,@TEN,vsJAC,@CIN,@HOU,vsPIT,BYE,vsTEN,@JAC,@BUF,vsDEN,@BAL,vsHOU
JAC,@HOU,vsTEN,vsBAL,@NYJ,@PIT,vsLAR,@IND,BYE,vsCIN,vsLAC,@CLE,@ARI,vsIND,vsSEA,vsHOU,@SF,@TEN
KC,@NE,vsPHI,@LAC,vsWAS,@HOU,vsPIT,@LV,vsDEN,@DAL,BYE,@NYG,vsBUF,@NYJ,vsLV,vsLAC,vsMIA,@DEN
MIA,vsTB,@LAC,@NYJ,vsNO,vsTEN,@ATL,vsNYJ,@BAL,vsLV,@CAR,vsTB,@NE,vsDEN,vsNE,@BUF,@KC,vsBUF
MIN,vsNO,@PIT,vsTB,vsDET,@CHI,vsGB,vsBAL,@CLE,BYE,@WAS,vsLAR,@DET,@ATL,@CAR,vsCIN,@GB,vsCHI
NE,vsKC,@NO,vsHOU,vsCAR,@TB,@NYJ,vsATL,vsLAC,BYE,@DEN,@LV,vsMIA,@BUF,@MIA,@PIT,vsBUF,vsNYJ
NO,@MIN,vsNE,@CAR,@MIA,BYE,vsDET,@GB,vsCHI,vsTB,@BUF,vsWAS,@LAR,vsCAR,@ATL,vsNYJ,vsATL,@TB
NYG,@DAL,vsDET,@PHI,@TB,vsLAC,@DEN,vsSEA,BYE,vsLAR,@SF,vsKC,@WAS,@LV,vsDAL,vsPHI,@ARI,vsWAS
NYJ,@BUF,@LV,vsMIA,vsJAC,@CLE,vsNE,@MIA,vsATL,vsBUF,@TB,BYE,vsCAR,vsKC,@DEN,@NO,vsLAC,@NE
LV,@TEN,vsNYJ,@WAS,@DEN,vsBAL,vsLAC,vsKC,@BUF,@MIA,-,vsNE,vsDEN,vsNYG,@KC,vsDAL,@PHI,@LAC
PHI,@WAS,@KC,vsNYG,@LAC,vsARI,@CAR,vsWAS,vsSF,vsDEN,BYE,@DAL,vsCHI,@SEA,@LAR,@NYG,vsLV,vsDAL
PIT,@CLE,vsMIN,@CHI,@BAL,vsJAC,@KC,vsCIN,@DET,BYE,@IND,vsTEN,vsGB,@CIN,vsBAL,vsNE,@HOU,vsCLE
LAC,@DEN,vsMIA,vsKC,vsPHI,@NYG,@LV,vsDEN,@NE,BYE,@JAC,vsBUF,@DAL,vsCLE,vsWAS,@KC,@NYJ,vsLV
SEA,@GB,vsSF,@TEN,vsIND,@LAR,BYE,@NYG,vsHOU,vsWAS,@ARI,vsATL,@SF,vsPHI,@JAC,vsLAR,@DAL,vsARI
SF,vsCAR,@SEA,vsLAR,@ARI,@IND,@WAS,vsDAL,@PHI,vsARI,vsNYG,BYE,vsSEA,@CHI,@HOU,vsTEN,vsJAC,@LAR
LAR,vsIND,vsWAS,@SF,@DAL,vsSEA,@JAC,vsARI,BYE,@NYG,vsHOU,@MIN,vsNO,@ARI,vsPHI,@SEA,@TEN,vsSF
TB,@MIA,vsCHI,@MIN,vsNYG,vsNE,@ARI,@BUF,vsCAR,@NO,vsNYJ,@MIA,@ATL,@GB,vsDET,vsATL,@CAR,vsNO
TEN,vsLV,@JAC,vsSEA,@HOU,@MIA,vsIND,@CLE,BYE,vsBAL,vsCIN,@PIT,@IND,vsHOU,@ARI,@SF,vsLAR,vsJAC
WAS,vsPHI,@LAR,vsLV,@KC,BYE,vsSF,@PHI,vsDAL,@SEA,vsMIN,@NO,vsNYG,@DAL,@LAC,vsARI,vsDEN,@NYG
