,Player,FG,FGA,XPT,FPTS
0,Ryan SuccopTB,2.0,2.4,3.0,8.9
1,Tyler BassBUF,2.0,2.4,2.9,8.8
2,Nick FolkNE,1.9,2.3,2.8,8.6
3,Robbie GouldSF,1.8,2.2,2.9,8.4
4,Greg ZuerleinDAL,1.8,2.2,2.7,8.2
5,Matt GayLAR,1.9,2.2,2.7,8.2
6,Mason CrosbyGB,1.7,2.2,3.0,8.2
7,Harrison ButkerKC,1.8,2.1,2.6,8.1
8,Chris NaggarDAL,2.0,2.0,2.0,8.0
9,Matt PraterARI,1.9,2.4,2.3,7.9
10,Dustin HopkinsLAC,1.8,2.2,2.3,7.8
11,Chris BoswellPIT,1.9,2.3,2.0,7.7
12,Evan McPhersonCIN,1.8,2.3,2.2,7.7
13,Jake ElliottPHI,1.8,2.1,2.2,7.6
14,Justin TuckerBAL,1.8,2.0,2.0,7.4
15,Michael BadgleyIND,1.6,1.9,2.6,7.3
16,Randy BullockTEN,1.8,2.1,1.9,7.2
17,Brett MaherNO,1.6,1.9,2.2,7.0
18,Daniel CarlsonLV,1.7,2.0,1.8,7.0
19,Brandon McManusDEN,1.7,2.0,1.9,6.9
20,Jason MyersSEA,1.5,1.7,2.5,6.9
21,Cairo SantosCHI,1.6,1.8,2.2,6.8
22,Chase McLaughlinCLE,1.5,1.9,2.1,6.7
23,Jason SandersMIA,1.6,1.9,1.6,6.5
24,Brian JohnsonWAS,1.5,1.6,1.9,6.4
25,Joey SlyeWAS,1.5,1.9,1.7,6.3
26,Riley PattersonDET,1.6,1.8,1.4,6.3
27,Graham GanoNYG,1.6,1.8,1.4,6.3
28,Ka'imi FairbairnHOU,1.6,1.9,1.5,6.2
29,Greg JosephMIN,1.5,1.7,1.7,6.1
30,Lirim HajrullahuCAR,1.6,1.9,1.1,6.0
31,Eddy PineiroNYJ,1.4,1.6,1.6,5.9
32,Younghoe KooATL,1.4,1.6,1.6,5.9
33,Matthew WrightJAC,1.4,1.7,0.9,5.3
